"Dataset","Score_Distribution","Mean_Cov","SD_Cov","Mean_Width","SD_Width"
"LogNormal","RSA-CP Beta",0.94869,0.0277892301644236,8.5283495880971,2.18859141229135
"LogNormal","RSA-CP Gamma",0.948425,0.027889154240357,8.53241746809062,2.26206055622867
"LogNormal","RSA-CP Normal",0.9487,0.0276673968505324,8.5482513820641,2.22532271404259
"LogNormal","SCP",0.957585,0.0271140553025455,9.47440290745948,3.08795847695622
"Student-t","RSA-CP Beta",0.94262,0.041784869911672,6.68470259854459,1.78870953165222
"Student-t","RSA-CP Gamma",0.94168,0.0416755457206155,6.62805752089718,1.77027154073493
"Student-t","RSA-CP Normal",0.942525,0.0418161787234355,6.67860947846775,1.78931226335319
"Student-t","SCP",0.95411,0.0395637562433196,7.60469343740328,2.38228456683173
