"Dataset","N_cal","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time"
"LogNormal",20,"SCP",0.950825,0.0464716909048461,11.0543388986622,4.64198346101638,0.0300000000000153,0.000300000000000153
"LogNormal",20,"RSA-CP (OT) (Ours)",0.922265,0.053636611902353,8.46882539192275,2.38099942349445,0.650000000000077,0.00650000000000077
"LogNormal",20,"SPI",0.967725,0.0160817631514895,10.8629058183388,2.03287991524214,2.6099999999999,0.026099999999999
"LogNormal",20,"Synthetic-only",0.963375,0.0172940076911109,10.3857326366929,1.99640793185202,0.329999999999998,0.00329999999999998
"LogNormal",30,"SCP",0.961035,0.0367933936071588,11.8880381234379,5.19575655855379,0.039999999999992,0.00039999999999992
"LogNormal",30,"RSA-CP (OT) (Ours)",0.92665,0.0482163422147062,8.50171951096228,2.04221295305547,0.609999999999957,0.00609999999999957
"LogNormal",30,"SPI",0.968925,0.0162594766461926,11.0261191287062,2.09431418819362,3.68000000000004,0.0368000000000004
"LogNormal",30,"Synthetic-only",0.966615,0.0170791169963127,10.7664882238377,2.06192021832808,0.239999999999924,0.00239999999999924
"LogNormal",40,"SCP",0.937175,0.0387099662864615,8.97122374860576,2.21998148280735,0.019999999999996,0.00019999999999996
"LogNormal",40,"RSA-CP (OT) (Ours)",0.922755,0.0420934203332722,8.17986338526853,1.72908955652643,0.600000000000009,0.00600000000000009
"LogNormal",40,"SPI",0.95537,0.0239152142944084,9.68977281884263,1.62668450109687,5.1899999999998,0.051899999999998
"LogNormal",40,"Synthetic-only",0.96489,0.0163006134853876,10.5047010868885,1.91448294983391,0.429999999999922,0.00429999999999922
"LogNormal",80,"SCP",0.945325,0.0224068639149938,8.8435186949274,1.12654670329423,0.0299999999999727,0.000299999999999727
"LogNormal",80,"RSA-CP (OT) (Ours)",0.937775,0.0249709300684786,8.46448533327673,1.07457307451506,0.910000000000139,0.00910000000000139
"LogNormal",80,"SPI",0.958335,0.015506442942444,9.71281792041773,1.31503431567278,9.30000000000001,0.0930000000000001
"LogNormal",80,"Synthetic-only",0.962815,0.0184075158947138,10.3881429207654,2.05761445525003,0.220000000000027,0.00220000000000027
"LogNormal",160,"SCP",0.940995,0.0204971659780398,8.58448034139445,1.03581574493125,0.0199999999999818,0.000199999999999818
"LogNormal",160,"RSA-CP (OT) (Ours)",0.93679,0.0215013718143515,8.37870071276853,0.992049283921771,1.02999999999997,0.0102999999999997
"LogNormal",160,"SPI",0.95046,0.014975515370299,9.04932536578515,1.01994671529528,18.0599999999999,0.180599999999999
"LogNormal",160,"Synthetic-only",0.96335,0.0185713883338447,10.4585072619603,2.07800527537381,0.240000000000066,0.00240000000000066
"Student-t",20,"SCP",0.963865,0.0391692684500118,8.37525203174176,3.42501951121912,0.0200000000000102,0.000200000000000102
"Student-t",20,"RSA-CP (OT) (Ours)",0.940085,0.0464873206890705,6.2397646290795,1.8309907110746,0.650000000000091,0.00650000000000091
"Student-t",20,"SPI",0.99259,0.00181099336544808,11.6103264655475,0.693672804329614,2.63999999999986,0.0263999999999986
"Student-t",20,"Synthetic-only",0.99243,0.00182576952089641,11.5448308375288,0.710112568234119,0.210000000000008,0.00210000000000008
"Student-t",30,"SCP",0.97528,0.0251285905017783,9.32314935449959,3.6663445485593,0,0
"Student-t",30,"RSA-CP (OT) (Ours)",0.941975,0.0386301012453012,6.12076584503286,1.61175338450803,0.67999999999995,0.0067999999999995
"Student-t",30,"SPI",0.992585,0.0015109950564466,11.5898209836303,0.578410883304196,3.71000000000006,0.0371000000000006
"Student-t",30,"Synthetic-only",0.992485,0.00151666666666667,11.5450661555012,0.568653749133191,0.130000000000024,0.00130000000000024
"Student-t",40,"SCP",0.95501,0.0304220298302053,6.91951731888855,2.23381477395276,0.019999999999996,0.00019999999999996
"Student-t",40,"RSA-CP (OT) (Ours)",0.94225,0.0346301162212163,6.11322996310378,1.7028427143941,0.580000000000027,0.00580000000000027
"Student-t",40,"SPI",0.97762,0.0209989321517822,9.06601103605431,2.27122868800952,4.86000000000006,0.0486000000000006
"Student-t",40,"Synthetic-only",0.99247,0.00175927556256844,11.5483545337996,0.690456466605066,0.180000000000035,0.00180000000000035
"Student-t",80,"SCP",0.963045,0.0216001420449875,7.00025143007881,1.43872630729332,0.0199999999999818,0.000199999999999818
"Student-t",80,"RSA-CP (OT) (Ours)",0.957095,0.0232095956079124,6.5671742579516,1.27245412015573,0.88999999999993,0.0088999999999993
"Student-t",80,"SPI",0.981105,0.0129307196281186,9.03794881330593,1.86552816507041,9.3000000000001,0.093000000000001
"Student-t",80,"Synthetic-only",0.992395,0.0013433243100682,11.5531325383143,0.523297328097342,0.189999999999998,0.00189999999999998
"Student-t",160,"SCP",0.96427,0.0132181425672934,6.82785172989722,1.02373057807879,0,0
"Student-t",160,"RSA-CP (OT) (Ours)",0.961095,0.0138335514769218,6.60802792828865,0.95451252435548,1.0200000000001,0.010200000000001
"Student-t",160,"SPI",0.975055,0.0108138274277133,7.79810664137326,1.23950390742148,18.0499999999999,0.180499999999999
"Student-t",160,"Synthetic-only",0.99241,0.00151153811554571,11.535188849295,0.542045792049149,0.189999999999912,0.00189999999999912
