"Dataset","N_syn","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time"
"LogNormal",50,"SCP",0.952795,0.0281004776371211,10.0684175638074,2.2030920170423,0.00999999999999801,9.99999999999801e-05
"LogNormal",50,"RSA-CP (OT) (Ours)",0.952605,0.0282407842302475,10.0565233339756,2.20243354520064,0.390000000000018,0.00390000000000018
"LogNormal",50,"SPI",0.991965,0.0180724209498866,21.8638509471493,5.25081360050319,0.38000000000001,0.0038000000000001
"LogNormal",50,"Synthetic-only",0.97575,0.0353623737148325,16.1359564005703,5.55181083481141,0.210000000000003,0.00210000000000003
"LogNormal",100,"SCP",0.952795,0.0281004776371211,10.0684175638074,2.2030920170423,0,0
"LogNormal",100,"RSA-CP (OT) (Ours)",0.94331,0.0330243849299272,9.35233222599291,1.91604944181564,0.429999999999999,0.00429999999999999
"LogNormal",100,"SPI",0.96511,0.0264361800599409,11.7574966676514,3.25626564168486,0.239999999999997,0.00239999999999997
"LogNormal",100,"Synthetic-only",0.961865,0.0364130939236274,12.951117724979,4.82115220598715,0.100000000000002,0.00100000000000002
"LogNormal",250,"SCP",0.952795,0.0281004776371211,10.0684175638074,2.2030920170423,0,0
"LogNormal",250,"RSA-CP (OT) (Ours)",0.943675,0.0319535154007293,9.35219708292697,1.87126767056297,0.339999999999996,0.00339999999999996
"LogNormal",250,"SPI",0.96589,0.0235128999624986,11.5524631088325,2.96127671390491,0.570000000000001,0.00570000000000001
"LogNormal",250,"Synthetic-only",0.9691,0.0273056955615676,12.7831825478666,3.92384745066448,0.169999999999998,0.00169999999999998
"LogNormal",500,"SCP",0.952795,0.0281004776371211,10.0684175638074,2.2030920170423,0,0
"LogNormal",500,"RSA-CP (OT) (Ours)",0.94141,0.0316414077889826,9.1603614551009,1.78687827108368,0.329999999999999,0.00329999999999999
"LogNormal",500,"SPI",0.963145,0.0228146124315983,11.0458202370483,2.60296182074859,1.03999999999999,0.0103999999999999
"LogNormal",500,"Synthetic-only",0.964665,0.0258124602868577,11.743964839726,3.35849425984816,0.109999999999998,0.00109999999999998
