"Dataset","N_syn","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time","Experiment","Noise","N_cal","Score_Distribution","Shock_Probability"
"Student-t",50,"Synthetic-only",0.98837,0.0203408605044282,13.2587518487192,4.03921999174415,0.0399999999999976,0.000399999999999976,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",100,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0.0199999999999996,0.000199999999999996,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",100,"RSA-CP (OT) (Ours)",0.94157,0.040237114130307,6.88086125486742,2.31645261946144,0.250000000000006,0.00250000000000006,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",100,"SPI",0.975445,0.0246907023559129,9.67673297258317,3.14367482602909,0.259999999999989,0.00259999999999989,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",100,"Synthetic-only",0.989145,0.0138897707800825,12.1199202406118,3.03090825149172,0.0399999999999974,0.000399999999999974,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",250,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",250,"RSA-CP (OT) (Ours)",0.94233,0.0394747854569051,6.90057381212197,2.27517328637654,0.430000000000006,0.00430000000000006,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",250,"SPI",0.97523,0.0237809256388902,9.26972396282098,2.63311477103629,0.440000000000005,0.00440000000000005,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",250,"Synthetic-only",0.991055,0.00673783790217305,11.6990771578316,2.19257897182813,0.0699999999999985,0.000699999999999985,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",500,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",500,"RSA-CP (OT) (Ours)",0.93879,0.0411366397669174,6.69639855670929,2.13984867520176,0.349999999999999,0.00349999999999999,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",500,"SPI",0.976235,0.0241691696718415,9.42430512267729,2.55993954039598,0.859999999999991,0.00859999999999991,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",500,"Synthetic-only",0.993025,0.0030078810622843,11.8799962403008,1.46619116022117,0.0399999999999956,0.000399999999999956,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",1000,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",1000,"RSA-CP (OT) (Ours)",0.93857,0.0407184853660478,6.64107177937123,2.02983225624983,0.439999999999999,0.00439999999999999,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",1000,"SPI",0.97619,0.0241081087829574,9.34008587409918,2.39650385071329,1.68,0.0168,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",1000,"Synthetic-only",0.99283,0.00190058470535313,11.5589413124912,1.02776193371278,0.0599999999999996,0.000599999999999996,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",2000,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0.0399999999999991,0.000399999999999991,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",2000,"RSA-CP (OT) (Ours)",0.938205,0.0407465122136332,6.59697771940591,1.96348540366493,0.570000000000003,0.00570000000000003,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",2000,"SPI",0.976215,0.0241145472461933,9.33154188848895,2.35673856557767,3.18000000000001,0.0318000000000001,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",2000,"Synthetic-only",0.99308,0.00167982683090198,11.6235501571971,0.811916038332188,0.160000000000002,0.00160000000000002,"Figure 3 reference score size",NA,NA,NA,NA
"Student-t",3000,"SCP",0.95057,0.036660538055313,7.61869167592749,3.08479339525677,0,0,"Figure 3 reference score size",NA,NA,NA,NA
