figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,8,857393,0.9989333333333333,29.982733333333332,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,9,4233261,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,9,4233261,0.9076,2.9441333333333333,prediction_set_size,standard_reference,0.9968208811823831
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,9,4233261,0.9678,8.802933333333334,prediction_set_size,spi_fast_form,0.9999600558557984
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,9,4233261,0.9312,23.8176,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,10,9504621,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,10,9504621,0.8950666666666667,2.454266666666667,prediction_set_size,standard_reference,0.9937072862071046
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,10,9504621,0.9732,9.805733333333333,prediction_set_size,spi_fast_form,0.9999768621010648
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,10,9504621,0.9206,22.624466666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,11,5118207,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,11,5118207,0.8858666666666667,2.1931333333333334,prediction_set_size,standard_reference,0.9907863112351181
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,11,5118207,0.9976,27.5104,prediction_set_size,spi_fast_form,0.9999992845033506
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,11,5118207,0.9784,12.956266666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,12,8690244,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,12,8690244,0.9022666666666667,2.6734,prediction_set_size,standard_reference,0.9955249974428971
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,12,8690244,0.9796666666666667,11.926733333333333,prediction_set_size,spi_fast_form,0.9999921874872741
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,12,8690244,0.9421333333333334,21.813533333333332,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,13,8229426,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,10,1000,15000,13,8229426,0.9105333333333333,2.8468,prediction_set_size,standard_reference,0.9964093624686606
Figure 5,ImageNet,SPI,0.05,0.95,10,1000,15000,13,8229426,0.9109333333333334,2.8714,prediction_set_size,spi_fast_form,0.9965162337050071
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,10,1000,15000,13,8229426,0.9879333333333333,29.739466666666665,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,10,1000,15000,14,348525,1.0,30.0,prediction_set_size,standard_real,1.0
