figure,dataset,age_group,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,4,1441594,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,4,1441594,0.925,2.7827039870261796,interval_width,standard_reference,0.13604378700256348
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,4,1441594,0.925,2.832985988521541,interval_width,spi_fast_form,0.16118478775024414
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,4,1441594,0.935,3.1533134336797617,interval_width,rsa_cp_barycentric_ot_betabin,0.3213485103293547
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,5,7551662,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,5,7551662,0.945,3.1737901492370293,interval_width,standard_reference,0.16836512088775635
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,5,7551662,0.95,3.262879304434173,interval_width,spi_fast_form,0.21290969848632812
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,5,7551662,0.945,3.1194971850552804,interval_width,rsa_cp_barycentric_ot_betabin,0.14121863879688168
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,6,4731878,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,6,4731878,0.93,3.1418335531794583,interval_width,standard_reference,0.25927305221557617
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,6,4731878,0.935,3.156915912493423,interval_width,spi_fast_form,0.2668142318725586
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,6,4731878,0.905,2.623287448748306,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,7,9486483,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,7,9486483,0.95,2.8728126836701993,interval_width,standard_reference,0.14314484596252441
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,7,9486483,0.985,4.654241497604525,interval_width,spi_fast_form,1.0338592529296875
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,7,9486483,0.985,4.873530153614536,interval_width,rsa_cp_barycentric_ot_betabin,1.1435035809346927
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,8,857393,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,8,857393,0.935,3.091595884996059,interval_width,standard_reference,0.1743069887161255
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,8,857393,0.935,3.1123042075210834,interval_width,spi_fast_form,0.1846611499786377
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,8,857393,0.92,2.742981907563808,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,9,4233261,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,9,4233261,0.975,3.0038933239743346,interval_width,standard_reference,0.14052355289459229
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,9,4233261,0.975,3.0965284786984557,interval_width,spi_fast_form,0.18684113025665283
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,9,4233261,0.975,3.5791243137471946,interval_width,rsa_cp_barycentric_ot_betabin,0.42813904778102224
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,10,9504621,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,10,9504621,0.985,3.069267081976286,interval_width,standard_reference,0.23612046241760254
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,10,9504621,0.985,3.0839722630981123,interval_width,spi_fast_form,0.24347305297851562
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,10,9504621,0.985,3.256977555646795,interval_width,rsa_cp_barycentric_ot_betabin,0.32997569925285714
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,11,5118207,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,11,5118207,0.95,3.3901485102437436,interval_width,standard_reference,0.37818288803100586
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,11,5118207,0.95,3.4203365938924253,interval_width,spi_fast_form,0.3932769298553467
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,11,5118207,0.945,2.9599305428316733,interval_width,rsa_cp_barycentric_ot_betabin,0.16307390432497051
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,12,8690244,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,12,8690244,0.945,3.0056323651756975,interval_width,standard_reference,0.1846611499786377
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,12,8690244,0.945,3.0315603856529925,interval_width,spi_fast_form,0.19762516021728516
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,12,8690244,0.945,3.0659252086851194,interval_width,rsa_cp_barycentric_ot_betabin,0.2148075717333484
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,13,8229426,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,13,8229426,0.935,3.013367057069554,interval_width,standard_reference,0.14052355289459229
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,13,8229426,0.935,3.0323244335496566,interval_width,spi_fast_form,0.15000224113464355
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,13,8229426,0.92,2.8588551835969134,interval_width,rsa_cp_barycentric_ot_betabin,0.06326761615827194
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,14,348525,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,14,348525,0.935,3.1223411292792296,interval_width,standard_reference,0.22478199005126953
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,14,348525,0.935,3.1468729705573057,interval_width,spi_fast_form,0.23704791069030762
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,14,348525,0.92,2.6727771491766905,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,15,8277021,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,15,8277021,0.95,3.0264459988317687,interval_width,standard_reference,0.1543436050415039
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,15,8277021,0.955,3.06360806433775,interval_width,spi_fast_form,0.17292463779449463
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,15,8277021,0.96,3.1503809679201606,interval_width,rsa_cp_barycentric_ot_betabin,0.21631108958569972
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,16,3118312,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,16,3118312,0.955,3.232979409301188,interval_width,standard_reference,0.1590719223022461
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,16,3118312,0.98,3.9784835501550697,interval_width,spi_fast_form,0.531823992729187
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,16,3118312,0.985,4.441683867344438,interval_width,rsa_cp_barycentric_ot_betabin,0.7634241513238713
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,17,4091990,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,17,4091990,0.915,2.5059913463713017,interval_width,standard_reference,0.007802009582519531
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,17,4091990,0.915,2.5287503070951787,interval_width,spi_fast_form,0.019181489944458008
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,17,4091990,0.915,2.581773883879322,interval_width,rsa_cp_barycentric_ot_betabin,0.04569327833652973
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,18,2569919,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,18,2569919,0.965,3.210647625666752,interval_width,standard_reference,0.2537049651145935
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,18,2569919,0.965,3.2217837998687173,interval_width,spi_fast_form,0.25927305221557617
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,18,2569919,0.965,3.145651913945635,interval_width,rsa_cp_barycentric_ot_betabin,0.22120710925403464
Figure 9,MEPS,20-40,SCP,0.05,0.95,15,1000,200,19,5495936,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,20-40,Synthetic-only,0.05,0.95,15,1000,200,19,5495936,0.925,2.7768095948494738,interval_width,standard_reference,0.10045599937438965
Figure 9,MEPS,20-40,SPI,0.05,0.95,15,1000,200,19,5495936,0.93,2.7920302369393175,interval_width,spi_fast_form,0.10806632041931152
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,19,5495936,0.92,2.5758975961006945,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,0,2492284,0.865,2.353015256661456,interval_width,standard_real,0.01737912930548191
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,0,2492284,0.885,2.4530850738170558,interval_width,standard_reference,0.06741403788328171
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,0,2492284,0.885,2.455583849537652,interval_width,spi_fast_form,0.06866342574357986
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,0,2492284,0.86,2.3250263861716998,interval_width,rsa_cp_barycentric_ot_betabin,0.0033846940606039604
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,1,6438288,0.975,3.675779321824666,interval_width,standard_real,0.6455504894256592
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,1,6438288,0.9,2.4703704282990655,interval_width,standard_reference,0.04284604266285896
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,1,6438288,0.9,2.4730256960145196,interval_width,spi_fast_form,0.044173676520586014
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,1,6438288,0.91,2.5589942043756086,interval_width,rsa_cp_barycentric_ot_betabin,0.08715793070113045
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,2,275592,0.93,2.637723259348422,interval_width,standard_real,0.07608911395072937
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,2,275592,0.915,2.5896450203843413,interval_width,standard_reference,0.052049994468688965
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,2,275592,0.915,2.592646471876651,interval_width,spi_fast_form,0.05355072021484375
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,2,275592,0.88,2.4855450314469634,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,3,2731692,0.86,2.2322189460950903,interval_width,standard_real,-0.005690904799848795
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,3,2731692,0.915,2.30301582417218,interval_width,standard_reference,0.0297075342386961
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,3,2731692,0.915,2.3067809639009647,interval_width,spi_fast_form,0.03159010410308838
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,3,2731692,0.885,2.243600755694788,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,4,1441594,0.99,4.763869390062755,interval_width,standard_real,1.2732187509536743
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,4,1441594,0.9,2.335090503267711,interval_width,standard_reference,0.058829307556152344
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,4,1441594,0.9,2.335097178987926,interval_width,spi_fast_form,0.058832645416259766
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,4,1441594,0.875,2.2456505186368743,interval_width,rsa_cp_barycentric_ot_betabin,0.014109315240733694
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,5,7551662,0.94,3.053062802607892,interval_width,standard_real,0.2980196475982666
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,5,7551662,0.885,2.541492423469899,interval_width,standard_reference,0.04223445802927017
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,5,7551662,0.885,2.5465882778714874,interval_width,spi_fast_form,0.04478238523006439
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,5,7551662,0.845,2.4570235074113587,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,6,4731878,0.835,2.3030286892445293,interval_width,standard_real,-0.0034519603941589594
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,6,4731878,0.875,2.428314110276988,interval_width,standard_reference,0.05919075012207031
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,6,4731878,0.88,2.444033211109927,interval_width,spi_fast_form,0.06705030053853989
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,6,4731878,0.845,2.3099326100328472,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,7,9486483,0.985,5.260268836098257,interval_width,standard_real,1.4880750179290771
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,7,9486483,0.885,2.3338199209445154,interval_width,standard_reference,0.02485056035220623
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,7,9486483,0.96,3.6082355070882475,interval_width,spi_fast_form,0.6620583534240723
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,7,9486483,0.985,5.035135830132669,interval_width,rsa_cp_barycentric_ot_betabin,1.3755085149462831
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,8,857393,0.91,2.7749298839282712,interval_width,standard_real,0.1901085376739502
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,8,857393,0.895,2.4908983437728605,interval_width,standard_reference,0.04809276759624481
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,8,857393,0.895,2.4923137454700193,interval_width,spi_fast_form,0.04880046844482422
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,8,857393,0.895,2.504854909937654,interval_width,rsa_cp_barycentric_ot_betabin,0.05507105067864159
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,9,4233261,0.985,4.802221487131901,interval_width,standard_real,1.2117143869400024
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,9,4233261,0.915,2.4760984879406167,interval_width,standard_reference,0.04865288734436035
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,9,4233261,0.915,2.4841048222454263,interval_width,spi_fast_form,0.05265605449676514
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,9,4233261,0.93,2.656972123090162,interval_width,rsa_cp_barycentric_ot_betabin,0.13908970491913325
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,10,9504621,0.985,3.8898260659677906,interval_width,standard_real,0.7852026224136353
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,10,9504621,0.935,2.507845408390276,interval_width,standard_reference,0.09421229362487793
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,10,9504621,0.935,2.5129132337076587,interval_width,spi_fast_form,0.09674620628356934
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,10,9504621,0.9,2.31942082114052,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,11,5118207,0.94,3.1118470491515473,interval_width,standard_real,0.40020179748535156
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,11,5118207,0.91,2.522147318874486,interval_width,standard_reference,0.10535193234682083
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,11,5118207,0.91,2.530749505911954,interval_width,spi_fast_form,0.10965302586555481
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,11,5118207,0.845,2.311443454180844,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,12,8690244,0.95,3.404522655319888,interval_width,standard_real,0.5282278060913086
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,12,8690244,0.92,2.4533791521308013,interval_width,standard_reference,0.05265605449676514
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,12,8690244,0.92,2.4573612192389556,interval_width,spi_fast_form,0.054647088050842285
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,12,8690244,0.93,2.67906005124054,interval_width,rsa_cp_barycentric_ot_betabin,0.1654965040516343
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,13,8229426,0.96,3.81604569992749,interval_width,standard_real,0.7041301727294922
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,13,8229426,0.89,2.501547275397461,interval_width,standard_reference,0.04688096046447754
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,13,8229426,0.89,2.501707418176811,interval_width,spi_fast_form,0.04696103185415268
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,13,8229426,0.845,2.411479647704709,interval_width,rsa_cp_barycentric_ot_betabin,0.001847146618101544
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,14,348525,0.905,2.682402166374959,interval_width,standard_real,0.16798539459705353
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,14,348525,0.88,2.4173246648395432,interval_width,standard_reference,0.0354466438293457
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,14,348525,0.885,2.4213224675739182,interval_width,spi_fast_form,0.0374455451965332
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,14,348525,0.895,2.502809621098984,interval_width,rsa_cp_barycentric_ot_betabin,0.07818912195906588
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,15,8277021,0.985,4.3430849871994,interval_width,standard_real,0.961517333984375
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,15,8277021,0.91,2.5057424045563677,interval_width,standard_reference,0.04284604266285896
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,15,8277021,0.91,2.509889144396875,interval_width,spi_fast_form,0.04491941258311272
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,15,8277021,0.905,2.472297213464233,interval_width,rsa_cp_barycentric_ot_betabin,0.026123447116791522
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,16,3118312,0.985,4.807716272035614,interval_width,standard_real,1.1375360488891602
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,16,3118312,0.91,2.622482999423519,interval_width,standard_reference,0.04491941258311272
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,16,3118312,0.91,2.6239138759765774,interval_width,spi_fast_form,0.04563485085964203
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,16,3118312,0.95,3.1657512141089437,interval_width,rsa_cp_barycentric_ot_betabin,0.3165535199258251
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,17,4091990,0.975,4.2136380836111496,interval_width,standard_real,1.0019826889038086
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,17,4091990,0.875,2.2664068095129917,interval_width,standard_reference,0.028367051854729652
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,17,4091990,0.875,2.2765720054251144,interval_width,spi_fast_form,0.033449649810791016
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,17,4091990,0.85,2.2096727058035324,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,18,2569919,0.975,3.810630687968805,interval_width,standard_real,0.7173912525177002
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,18,2569919,0.9,2.5171441673208026,interval_width,standard_reference,0.07064799219369888
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,18,2569919,0.9,2.521515735881403,interval_width,spi_fast_form,0.07283377647399902
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,18,2569919,0.875,2.375848182933405,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,20-40,SCP,0.1,0.9,15,1000,200,19,5495936,0.91,2.77559794214787,interval_width,standard_real,0.2458503097295761
Figure 9,MEPS,20-40,Synthetic-only,0.1,0.9,15,1000,200,19,5495936,0.88,2.3704918446880767,interval_width,standard_reference,0.043297260999679565
Figure 9,MEPS,20-40,SPI,0.1,0.9,15,1000,200,19,5495936,0.88,2.3706778707844207,interval_width,spi_fast_form,0.04339027404785156
Figure 9,MEPS,20-40,RSA-CP (OT) (Ours),0.1,0.9,15,1000,200,19,5495936,0.88,2.37398692340305,interval_width,rsa_cp_barycentric_ot_betabin,0.04504480035716616
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,0,2492284,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,0,2492284,0.95,3.6171236217141267,interval_width,standard_reference,0.4451802968978882
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,0,2492284,0.95,3.633523720514786,interval_width,spi_fast_form,0.4533803462982178
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,0,2492284,0.88,2.8414177700087366,interval_width,rsa_cp_barycentric_ot_betabin,0.05732737104519293
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,1,6438288,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,1,6438288,0.955,3.78573395827465,interval_width,standard_reference,0.5774469375610352
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,1,6438288,0.955,3.8178322515790932,interval_width,spi_fast_form,0.5934960842132568
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,1,6438288,0.965,4.065142074786028,interval_width,rsa_cp_barycentric_ot_betabin,0.7171509958167247
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,2,275592,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,2,275592,0.98,3.8713412355148464,interval_width,standard_reference,0.5934960842132568
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,2,275592,0.98,3.8844504426681667,interval_width,spi_fast_form,0.600050687789917
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,2,275592,0.98,3.8527660345260855,interval_width,rsa_cp_barycentric_ot_betabin,0.5842084837188767
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,3,2731692,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,3,2731692,0.975,3.7967680038692198,interval_width,standard_reference,0.5070276260375977
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,3,2731692,0.975,3.8044040741206846,interval_width,spi_fast_form,0.5108456611633301
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,3,2731692,0.925,3.019922296402226,interval_width,rsa_cp_barycentric_ot_betabin,0.11860477230410073
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,4,1441594,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,4,1441594,0.96,3.6437265072917215,interval_width,standard_reference,0.5070276260375977
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,4,1441594,0.965,3.6689039860820047,interval_width,spi_fast_form,0.5196163654327393
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,4,1441594,0.945,3.4537281124196464,interval_width,rsa_cp_barycentric_ot_betabin,0.4120284286015604
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,5,7551662,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,5,7551662,0.98,3.884646527416771,interval_width,standard_reference,0.5931048393249512
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,5,7551662,0.985,3.952418915875023,interval_width,spi_fast_form,0.6269910335540771
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,5,7551662,0.87,2.698436848766869,interval_width,rsa_cp_barycentric_ot_betabin,0.0
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,6,4731878,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,6,4731878,0.955,3.7911047284014057,interval_width,standard_reference,0.5108456611633301
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,6,4731878,0.955,3.801956111610634,interval_width,spi_fast_form,0.5162713527679443
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,6,4731878,0.895,2.908504457231372,interval_width,rsa_cp_barycentric_ot_betabin,0.0695455255783136
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,7,9486483,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,7,9486483,0.965,3.937627810861741,interval_width,standard_reference,0.5931048393249512
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,7,9486483,0.965,3.9515195077916725,interval_width,spi_fast_form,0.600050687789917
Figure 9,MEPS,40-60,RSA-CP (OT) (Ours),0.05,0.95,15,1000,200,7,9486483,0.955,3.4205621097710064,interval_width,rsa_cp_barycentric_ot_betabin,0.3345719887795842
Figure 9,MEPS,40-60,SCP,0.05,0.95,15,1000,200,8,857393,1.0,inf,interval_width,standard_real,inf
Figure 9,MEPS,40-60,Synthetic-only,0.05,0.95,15,1000,200,8,857393,0.96,3.727792657823884,interval_width,standard_reference,0.5222747325897217
Figure 9,MEPS,40-60,SPI,0.05,0.95,15,1000,200,8,857393,0.96,3.7485174312308662,interval_width,spi_fast_form,0.5326371192932129
