figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,8,857393,0.8724666666666666,2.0322666666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,9,4233261,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,9,4233261,0.9058,2.856733333333333,prediction_set_size,standard_reference,0.9964347670742821
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,9,4233261,0.9676666666666667,8.8036,prediction_set_size,spi_fast_form,0.9999600558557984
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,9,4233261,0.8958,2.526133333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,10,9504621,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,10,9504621,0.8959333333333334,2.4708666666666668,prediction_set_size,standard_reference,0.9938913581795339
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,10,9504621,0.9732,9.804666666666666,prediction_set_size,spi_fast_form,0.9999768621010648
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,10,9504621,0.9484666666666667,6.121133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,11,5118207,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,11,5118207,0.8896666666666667,2.2536,prediction_set_size,standard_reference,0.9916468444780572
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,11,5118207,0.9976,27.5088,prediction_set_size,spi_fast_form,0.9999992845033506
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,11,5118207,0.9762,10.529733333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,12,8690244,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,12,8690244,0.9022,2.6717333333333335,prediction_set_size,standard_reference,0.9955138321975258
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,12,8690244,0.9812666666666666,12.326133333333333,prediction_set_size,spi_fast_form,0.9999936148103509
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,12,8690244,0.9812666666666666,12.2876,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,13,8229426,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,13,8229426,0.9128666666666667,2.9346,prediction_set_size,standard_reference,0.9967810718013758
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,13,8229426,0.9727333333333333,9.436066666666667,prediction_set_size,spi_fast_form,0.9999717881551338
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,13,8229426,0.9388,5.262133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,14,348525,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,14,348525,0.9087333333333333,2.9928,prediction_set_size,standard_reference,0.9969370431787703
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,14,348525,0.9658,8.4348,prediction_set_size,spi_fast_form,0.9999504601632341
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,14,348525,0.9654666666666667,8.355466666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,15,8277021,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,15,8277021,0.9078,2.6661333333333332,prediction_set_size,standard_reference,0.9955165195538215
Figure 4,ImageNet,SPI,0.05,0.95,15,1000,15000,15,8277021,0.9528,6.427,prediction_set_size,spi_fast_form,0.9998411948053925
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,15,8277021,0.8909333333333334,2.2226666666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.05,0.95,15,1000,15000,16,3118312,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 4,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,16,3118312,0.8901333333333333,2.2904666666666667,prediction_set_size,standard_reference,0.9919711953789698
