figure,dataset,Method,alpha,n_cal,n_ref,n_test,Coverage_mean,Coverage_std,Length_mean,Length_std,n_runs
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.05,15,1000,15000,0.9362566666666666,0.03777856860197374,6.294966666666666,3.75531716270605,20
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,15,1000,15000,0.8954033333333333,0.06717034111232574,4.151926666666666,2.787753154509834,20
Figure 4,ImageNet,SCP,0.05,15,1000,15000,1.0,0.0,30.0,0.0,20
Figure 4,ImageNet,SCP,0.1,15,1000,15000,0.9616866666666667,0.03452309067093624,10.513966666666667,6.490988255396547,20
Figure 4,ImageNet,SPI,0.05,15,1000,15000,0.9643433333333334,0.027307247072710532,10.561476666666668,6.426484248931611,20
Figure 4,ImageNet,SPI,0.1,15,1000,15000,0.8706833333333334,0.03296430020066101,2.2897866666666666,1.1996904826170254,20
Figure 4,ImageNet,Synthetic-only,0.05,15,1000,15000,0.9014966666666666,0.008194663075683901,2.64299,0.24295334740962904,20
Figure 4,ImageNet,Synthetic-only,0.1,15,1000,15000,0.8375466666666667,0.01212530291416399,1.6399133333333331,0.09732701036900508,20
