"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"SCP",0.8885,4.67830185346156,0,"Student-t",17,2000,2000
"RSA-CP (OT) (Ours)",0.8715,4.33124427687524,0,"Student-t",17,2000,2000
"SPI",0.9135,5.16496475100865,0.0300000000000002,"Student-t",17,2000,2000
"Synthetic-only",0.9935,11.7785806681559,0,"Student-t",17,2000,2000
"SCP",0.8885,4.67830185346156,0,"Student-t",17,3000,3000
"RSA-CP (OT) (Ours)",0.8715,4.33124427687524,0.00999999999999979,"Student-t",17,3000,3000
"SPI",0.9135,5.16496475100865,0.0500000000000007,"Student-t",17,3000,3000
"Synthetic-only",0.9935,11.9119309215173,0,"Student-t",17,3000,3000
"SCP",0.957,9.42668868974412,0,"LogNormal",18,50,50
"RSA-CP (OT) (Ours)",0.957,9.41936525053901,0.0199999999999996,"LogNormal",18,50,50
"SPI",0.9975,24.2088662336544,0,"LogNormal",18,50,50
"Synthetic-only",0.9905,15.0319658192899,0,"LogNormal",18,50,50
"SCP",0.957,9.42668868974412,0,"LogNormal",18,100,100
"RSA-CP (OT) (Ours)",0.9285,8.04641336908738,0,"LogNormal",18,100,100
"SPI",0.93,8.0836362800874,0,"LogNormal",18,100,100
"Synthetic-only",0.9235,7.87391559028607,0,"LogNormal",18,100,100
"SCP",0.957,9.42668868974412,0,"LogNormal",18,250,250
"RSA-CP (OT) (Ours)",0.938,8.4629500263667,0.00999999999999979,"LogNormal",18,250,250
"SPI",0.959,9.54517916307217,0,"LogNormal",18,250,250
"Synthetic-only",0.959,9.54392558944176,0,"LogNormal",18,250,250
"SCP",0.957,9.42668868974412,0,"LogNormal",18,500,500
"RSA-CP (OT) (Ours)",0.941,8.54974951381661,0,"LogNormal",18,500,500
"SPI",0.9675,10.6474484962752,0.0200000000000005,"LogNormal",18,500,500
"Synthetic-only",0.994,17.3509066003665,0,"LogNormal",18,500,500
"SCP",0.957,9.42668868974412,0,"LogNormal",18,1000,1000
"RSA-CP (OT) (Ours)",0.9365,8.37615053891678,0,"LogNormal",18,1000,1000
"SPI",0.9675,10.6474484962752,0.00999999999999979,"LogNormal",18,1000,1000
"Synthetic-only",0.9635,10.1963637566231,0,"LogNormal",18,1000,1000
"SCP",0.957,9.42668868974412,0,"LogNormal",18,2000,2000
"RSA-CP (OT) (Ours)",0.93,8.15915182029199,0.0199999999999996,"LogNormal",18,2000,2000
"SPI",0.9675,10.6474484962752,0.0300000000000002,"LogNormal",18,2000,2000
"Synthetic-only",0.99,14.6977342177658,0,"LogNormal",18,2000,2000
"SCP",0.957,9.42668868974412,0,"LogNormal",18,3000,3000
"RSA-CP (OT) (Ours)",0.931,8.24595130774191,0.00999999999999979,"LogNormal",18,3000,3000
"SPI",0.9465,8.70976246816183,0.0500000000000007,"LogNormal",18,3000,3000
"Synthetic-only",0.9455,8.70345013227941,0,"LogNormal",18,3000,3000
"SCP",0.995,12.8927958675198,0,"Student-t",18,50,50
"RSA-CP (OT) (Ours)",0.995,12.8824324152295,0,"Student-t",18,50,50
"SPI",0.999,20.4003146136579,0,"Student-t",18,50,50
"Synthetic-only",0.998,15.519715989056,0,"Student-t",18,50,50
"SCP",0.995,12.8927958675198,0,"Student-t",18,100,100
"RSA-CP (OT) (Ours)",0.9925,10.70779855932,0,"Student-t",18,100,100
"SPI",0.993,11.2363904280725,0.0199999999999996,"Student-t",18,100,100
"Synthetic-only",0.9885,9.83187254875799,0,"Student-t",18,100,100
"SCP",0.995,12.8927958675198,0,"Student-t",18,250,250
"RSA-CP (OT) (Ours)",0.9935,11.5503794295616,0,"Student-t",18,250,250
"SPI",0.9955,13.8957714514919,0,"Student-t",18,250,250
"Synthetic-only",0.995,13.427183484453,0,"Student-t",18,250,250
"SCP",0.995,12.8927958675198,0,"Student-t",18,500,500
"RSA-CP (OT) (Ours)",0.9935,11.5152718933016,0,"Student-t",18,500,500
"SPI",0.993,11.1017028689958,0.00999999999999979,"Student-t",18,500,500
"Synthetic-only",0.993,11.041090897596,0,"Student-t",18,500,500
"SCP",0.995,12.8927958675198,0,"Student-t",18,1000,1000
"RSA-CP (OT) (Ours)",0.993,11.0956956112125,0,"Student-t",18,1000,1000
"SPI",0.9935,11.4783309827934,0.0200000000000005,"Student-t",18,1000,1000
"Synthetic-only",0.993,11.3224859746431,0,"Student-t",18,1000,1000
"SCP",0.995,12.8927958675198,0,"Student-t",18,2000,2000
"RSA-CP (OT) (Ours)",0.993,11.2354376371083,0.00999999999999979,"Student-t",18,2000,2000
"SPI",0.99,10.4426308774973,0.04,"Student-t",18,2000,2000
"Synthetic-only",0.989,10.3167627954299,0,"Student-t",18,2000,2000
"SCP",0.995,12.8927958675198,0,"Student-t",18,3000,3000
"RSA-CP (OT) (Ours)",0.993,10.9006067141481,0,"Student-t",18,3000,3000
"SPI",0.9945,12.6607070691531,0.04,"Student-t",18,3000,3000
"Synthetic-only",0.9945,12.5816730892283,0.00999999999999979,"Student-t",18,3000,3000
"SCP",0.922,7.83198772470107,0,"LogNormal",19,50,50
"RSA-CP (OT) (Ours)",0.922,7.81872664989989,0,"LogNormal",19,50,50
"SPI",0.998,24.5722986722904,0,"LogNormal",19,50,50
"Synthetic-only",0.962,9.94807947713121,0,"LogNormal",19,50,50
"SCP",0.922,7.83198772470107,0,"LogNormal",19,100,100
"RSA-CP (OT) (Ours)",0.9195,7.75246625456175,0.0100000000000007,"LogNormal",19,100,100
"SPI",0.9825,13.2410356684039,0,"LogNormal",19,100,100
"Synthetic-only",0.995,18.9529013488577,0,"LogNormal",19,100,100
"SCP",0.922,7.83198772470107,0,"LogNormal",19,250,250
"RSA-CP (OT) (Ours)",0.9195,7.74966827749301,0,"LogNormal",19,250,250
"SPI",0.9825,13.2410356684039,0.0199999999999996,"LogNormal",19,250,250
"Synthetic-only",0.9675,10.6712090519652,0,"LogNormal",19,250,250
"SCP",0.922,7.83198772470107,0,"LogNormal",19,500,500
"RSA-CP (OT) (Ours)",0.919,7.74236893952677,0,"LogNormal",19,500,500
"SPI",0.944,8.65485529844737,0.00999999999999979,"LogNormal",19,500,500
"Synthetic-only",0.938,8.44865547354234,0,"LogNormal",19,500,500
"SCP",0.922,7.83198772470107,0,"LogNormal",19,1000,1000
"RSA-CP (OT) (Ours)",0.9175,7.71892975388259,0,"LogNormal",19,1000,1000
"SPI",0.971,11.3252163381298,0.0200000000000005,"LogNormal",19,1000,1000
"Synthetic-only",0.9645,10.2421353186071,0,"LogNormal",19,1000,1000
"SCP",0.922,7.83198772470107,0,"LogNormal",19,2000,2000
"RSA-CP (OT) (Ours)",0.9175,7.71892975388259,0.0199999999999996,"LogNormal",19,2000,2000
"SPI",0.981,12.4836433551112,0.0300000000000002,"LogNormal",19,2000,2000
"Synthetic-only",0.9645,10.2979057428789,0,"LogNormal",19,2000,2000
"SCP",0.922,7.83198772470107,0,"LogNormal",19,3000,3000
"RSA-CP (OT) (Ours)",0.9175,7.71892975388259,0,"LogNormal",19,3000,3000
"SPI",0.957,9.4283639763257,0.04,"LogNormal",19,3000,3000
"Synthetic-only",0.954,9.22511027496012,0,"LogNormal",19,3000,3000
"SCP",0.8715,4.33011088975386,0,"Student-t",19,50,50
"RSA-CP (OT) (Ours)",0.8715,4.31933067695201,0.0200000000000005,"Student-t",19,50,50
"SPI",0.998,15.5702909382855,0,"Student-t",19,50,50
"Synthetic-only",0.995,13.5284838007772,0,"Student-t",19,50,50
"SCP",0.8715,4.33011088975386,0,"Student-t",19,100,100
"RSA-CP (OT) (Ours)",0.8715,4.31933067695201,0,"Student-t",19,100,100
"SPI",0.97,7.5442447575987,0,"Student-t",19,100,100
"Synthetic-only",0.957,6.70360701389526,0,"Student-t",19,100,100
"SCP",0.8715,4.33011088975386,0,"Student-t",19,250,250
"RSA-CP (OT) (Ours)",0.8705,4.31586582574572,0.0199999999999996,"Student-t",19,250,250
"SPI",0.9835,8.78520353123912,0,"Student-t",19,250,250
"Synthetic-only",0.995,13.2922384414675,0,"Student-t",19,250,250
"SCP",0.8715,4.33011088975386,0,"Student-t",19,500,500
"RSA-CP (OT) (Ours)",0.8705,4.31586582574572,0,"Student-t",19,500,500
"SPI",0.9835,8.78520353123912,0.00999999999999979,"Student-t",19,500,500
"Synthetic-only",0.9945,12.5547981486435,0,"Student-t",19,500,500
"SCP",0.8715,4.33011088975386,0,"Student-t",19,1000,1000
"RSA-CP (OT) (Ours)",0.8705,4.31586582574572,0,"Student-t",19,1000,1000
"SPI",0.9835,8.78520353123912,0.0200000000000005,"Student-t",19,1000,1000
"Synthetic-only",0.99,10.4015473213943,0,"Student-t",19,1000,1000
"SCP",0.8715,4.33011088975386,0,"Student-t",19,2000,2000
"RSA-CP (OT) (Ours)",0.8705,4.31586582574572,0,"Student-t",19,2000,2000
"SPI",0.9835,8.78520353123912,0.04,"Student-t",19,2000,2000
"Synthetic-only",0.9935,12.0909040097104,0.00999999999999979,"Student-t",19,2000,2000
"SCP",0.8715,4.33011088975386,0,"Student-t",19,3000,3000
"RSA-CP (OT) (Ours)",0.8705,4.31586582574572,0,"Student-t",19,3000,3000
"SPI",0.9835,8.78520353123912,0.0699999999999994,"Student-t",19,3000,3000
"Synthetic-only",0.9935,11.7374136361698,0,"Student-t",19,3000,3000
"SCP",0.957,9.3900868528515,0,"LogNormal",20,50,50
"RSA-CP (OT) (Ours)",0.957,9.37385050935738,0,"LogNormal",20,50,50
"SPI",0.998,24.4428445266076,0.0100000000000007,"LogNormal",20,50,50
"Synthetic-only",0.996,19.649006080877,0,"LogNormal",20,50,50
"SCP",0.957,9.3900868528515,0,"LogNormal",20,100,100
"RSA-CP (OT) (Ours)",0.9385,8.46670368587118,0,"LogNormal",20,100,100
"SPI",0.99,14.3440952445696,0,"LogNormal",20,100,100
"Synthetic-only",0.968,10.7209148558505,0,"LogNormal",20,100,100
"SCP",0.957,9.3900868528515,0,"LogNormal",20,250,250
"RSA-CP (OT) (Ours)",0.954,9.20927720899079,0,"LogNormal",20,250,250
"SPI",0.99,14.2788884652961,0.0199999999999996,"LogNormal",20,250,250
"Synthetic-only",0.981,13.0182289036213,0,"LogNormal",20,250,250
"SCP",0.957,9.3900868528515,0,"LogNormal",20,500,500
"RSA-CP (OT) (Ours)",0.9495,8.84455335912977,0,"LogNormal",20,500,500
"SPI",0.99,14.3440952445696,0.00999999999999979,"LogNormal",20,500,500
"Synthetic-only",0.9935,16.913788945771,0,"LogNormal",20,500,500
"SCP",0.957,9.3900868528515,0,"LogNormal",20,1000,1000
"RSA-CP (OT) (Ours)",0.9495,8.84455335912977,0,"LogNormal",20,1000,1000
"SPI",0.9605,9.82935543671909,0.0200000000000005,"LogNormal",20,1000,1000
"Synthetic-only",0.9595,9.63266407400269,0,"LogNormal",20,1000,1000
"SCP",0.957,9.3900868528515,0,"LogNormal",20,2000,2000
"RSA-CP (OT) (Ours)",0.945,8.69298527911081,0.00999999999999979,"LogNormal",20,2000,2000
"SPI",0.99,14.3440952445696,0.04,"LogNormal",20,2000,2000
"Synthetic-only",0.9905,14.9896914849531,0,"LogNormal",20,2000,2000
"SCP",0.957,9.3900868528515,0,"LogNormal",20,3000,3000
"RSA-CP (OT) (Ours)",0.941,8.56120054225062,0.00999999999999979,"LogNormal",20,3000,3000
"SPI",0.971,11.2828295531103,0.0499999999999998,"LogNormal",20,3000,3000
"Synthetic-only",0.9665,10.5043610842323,0,"LogNormal",20,3000,3000
"SCP",0.872,4.352484873026,0,"Student-t",20,50,50
"RSA-CP (OT) (Ours)",0.8715,4.33124427687524,0,"Student-t",20,50,50
"SPI",0.998,15.2932073067642,0,"Student-t",20,50,50
"Synthetic-only",0.972,7.80476787754236,0,"Student-t",20,50,50
"SCP",0.872,4.352484873026,0,"Student-t",20,100,100
"RSA-CP (OT) (Ours)",0.8675,4.28704790670304,0,"Student-t",20,100,100
"SPI",0.983,8.71548256837871,0.0100000000000007,"Student-t",20,100,100
"Synthetic-only",0.999,17.5035276561755,0,"Student-t",20,100,100
"SCP",0.872,4.352484873026,0,"Student-t",20,250,250
"RSA-CP (OT) (Ours)",0.8595,4.11026242601426,0,"Student-t",20,250,250
"SPI",0.983,8.71548256837871,0,"Student-t",20,250,250
"Synthetic-only",0.9915,10.5897464379017,0,"Student-t",20,250,250
"SCP",0.872,4.352484873026,0,"Student-t",20,500,500
"RSA-CP (OT) (Ours)",0.8595,4.11026242601426,0.0199999999999996,"Student-t",20,500,500
"SPI",0.983,8.71548256837871,0,"Student-t",20,500,500
"Synthetic-only",0.9935,12.153729871164,0,"Student-t",20,500,500
"SCP",0.872,4.352484873026,0,"Student-t",20,1000,1000
"RSA-CP (OT) (Ours)",0.8565,4.06606605584206,0.00999999999999979,"Student-t",20,1000,1000
"SPI",0.983,8.71548256837871,0.0200000000000005,"Student-t",20,1000,1000
"Synthetic-only",0.9935,11.6271372757636,0,"Student-t",20,1000,1000
"SCP",0.872,4.352484873026,0,"Student-t",20,2000,2000
"RSA-CP (OT) (Ours)",0.8565,4.06606605584206,0,"Student-t",20,2000,2000
"SPI",0.983,8.71548256837871,0.0300000000000002,"Student-t",20,2000,2000
"Synthetic-only",0.9945,12.2435841952712,0,"Student-t",20,2000,2000
"SCP",0.872,4.352484873026,0,"Student-t",20,3000,3000
"RSA-CP (OT) (Ours)",0.8595,4.11026242601426,0.0199999999999996,"Student-t",20,3000,3000
"SPI",0.983,8.71548256837871,0.0300000000000002,"Student-t",20,3000,3000
"Synthetic-only",0.9925,10.7883062247434,0.00999999999999979,"Student-t",20,3000,3000
"SCP",0.9545,9.26995629048896,0,"LogNormal",21,50,50
"RSA-CP (OT) (Ours)",0.9545,9.26321129967461,0,"LogNormal",21,50,50
"SPI",0.997,23.1164201073306,0.0200000000000005,"LogNormal",21,50,50
"Synthetic-only",0.9945,18.6384579771352,0.0200000000000005,"LogNormal",21,50,50
"SCP",0.9545,9.26995629048896,0,"LogNormal",21,100,100
"RSA-CP (OT) (Ours)",0.9515,9.07206566968133,0,"LogNormal",21,100,100
"SPI",0.975,11.7530056595872,0,"LogNormal",21,100,100
"Synthetic-only",0.916,7.67759873429295,0,"LogNormal",21,100,100
"SCP",0.9545,9.26995629048896,0,"LogNormal",21,250,250
"RSA-CP (OT) (Ours)",0.953,9.14582166927551,0,"LogNormal",21,250,250
"SPI",0.975,11.7530056595872,0.0199999999999996,"LogNormal",21,250,250
"Synthetic-only",0.994,17.2431533722176,0.0199999999999996,"LogNormal",21,250,250
"SCP",0.9545,9.26995629048896,0,"LogNormal",21,500,500
"RSA-CP (OT) (Ours)",0.9515,8.99774972954559,0,"LogNormal",21,500,500
"SPI",0.975,11.7530056595872,0.00999999999999979,"LogNormal",21,500,500
"Synthetic-only",0.99,14.8360864950508,0,"LogNormal",21,500,500
"SCP",0.9545,9.26995629048896,0,"LogNormal",21,1000,1000
"RSA-CP (OT) (Ours)",0.951,8.94193312429632,0,"LogNormal",21,1000,1000
"SPI",0.957,9.37065529746267,0.0200000000000005,"LogNormal",21,1000,1000
"Synthetic-only",0.9545,9.23555840843472,0,"LogNormal",21,1000,1000
"SCP",0.9545,9.26995629048896,0,"LogNormal",21,2000,2000
"RSA-CP (OT) (Ours)",0.9505,8.91486261438948,0.00999999999999979,"LogNormal",21,2000,2000
"SPI",0.975,11.7530056595872,0.0300000000000002,"LogNormal",21,2000,2000
"Synthetic-only",0.9825,13.1888694859751,0,"LogNormal",21,2000,2000
"SCP",0.9545,9.26995629048896,0,"LogNormal",21,3000,3000
"RSA-CP (OT) (Ours)",0.951,8.95632709166571,0.0199999999999996,"LogNormal",21,3000,3000
"SPI",0.9615,9.88404428315426,0.0499999999999998,"LogNormal",21,3000,3000
"Synthetic-only",0.96,9.73415788836563,0,"LogNormal",21,3000,3000
"SCP",0.895,4.76438970662507,0,"Student-t",21,50,50
"RSA-CP (OT) (Ours)",0.8935,4.75809576166326,0,"Student-t",21,50,50
"SPI",1,33.4959073080952,0,"Student-t",21,50,50
"Synthetic-only",0.993,11.0947231123179,0,"Student-t",21,50,50
"SCP",0.895,4.76438970662507,0,"Student-t",21,100,100
"RSA-CP (OT) (Ours)",0.8895,4.70341332498801,0,"Student-t",21,100,100
"SPI",0.917,5.26467755333136,0,"Student-t",21,100,100
"Synthetic-only",0.9785,8.33057605927918,0,"Student-t",21,100,100
"SCP",0.895,4.76438970662507,0,"Student-t",21,250,250
"RSA-CP (OT) (Ours)",0.885,4.60235206794838,0,"Student-t",21,250,250
"SPI",0.917,5.26467755333136,0,"Student-t",21,250,250
"Synthetic-only",0.993,10.9887618594958,0,"Student-t",21,250,250
"SCP",0.895,4.76438970662507,0,"Student-t",21,500,500
"RSA-CP (OT) (Ours)",0.887,4.6325659935734,0,"Student-t",21,500,500
"SPI",0.917,5.26467755333136,0.0199999999999996,"Student-t",21,500,500
"Synthetic-only",0.99,10.4380063686827,0,"Student-t",21,500,500
"SCP",0.895,4.76438970662507,0,"Student-t",21,1000,1000
"RSA-CP (OT) (Ours)",0.887,4.63113708321362,0,"Student-t",21,1000,1000
"SPI",0.917,5.26467755333136,0.00999999999999979,"Student-t",21,1000,1000
"Synthetic-only",0.989,10.3076904265889,0,"Student-t",21,1000,1000
"SCP",0.895,4.76438970662507,0,"Student-t",21,2000,2000
"RSA-CP (OT) (Ours)",0.885,4.59674497914763,0.0200000000000005,"Student-t",21,2000,2000
"SPI",0.917,5.26467755333136,0.0300000000000002,"Student-t",21,2000,2000
"Synthetic-only",0.993,11.1597398524391,0,"Student-t",21,2000,2000
"SCP",0.895,4.76438970662507,0,"Student-t",21,3000,3000
"RSA-CP (OT) (Ours)",0.8845,4.58970465760973,0.0199999999999996,"Student-t",21,3000,3000
"SPI",0.917,5.26467755333136,0.04,"Student-t",21,3000,3000
"Synthetic-only",0.993,11.1396249914369,0,"Student-t",21,3000,3000
"SCP",0.9835,13.3862381444408,0,"LogNormal",22,50,50
"RSA-CP (OT) (Ours)",0.9835,13.3831349373254,0,"LogNormal",22,50,50
"SPI",0.981,12.8407189821342,0,"LogNormal",22,50,50
"Synthetic-only",0.9035,7.27262752858146,0,"LogNormal",22,50,50
"SCP",0.9835,13.3862381444408,0,"LogNormal",22,100,100
"RSA-CP (OT) (Ours)",0.981,12.7039907763268,0,"LogNormal",22,100,100
"SPI",0.9915,15.9665460595554,0,"LogNormal",22,100,100
"Synthetic-only",0.9945,17.5802327850103,0,"LogNormal",22,100,100
"SCP",0.9835,13.3862381444408,0,"LogNormal",22,250,250
"RSA-CP (OT) (Ours)",0.981,13.0235880285614,0,"LogNormal",22,250,250
"SPI",0.9915,15.9665460595554,0.0100000000000007,"LogNormal",22,250,250
"Synthetic-only",0.99,14.7461251995213,0,"LogNormal",22,250,250
"SCP",0.9835,13.3862381444408,0,"LogNormal",22,500,500
"RSA-CP (OT) (Ours)",0.9785,12.3079131783126,0,"LogNormal",22,500,500
"SPI",0.981,12.78132655978,0.0199999999999996,"LogNormal",22,500,500
"Synthetic-only",0.962,9.9588755969064,0,"LogNormal",22,500,500
"SCP",0.9835,13.3862381444408,0,"LogNormal",22,1000,1000
"RSA-CP (OT) (Ours)",0.978,12.1189388586261,0,"LogNormal",22,1000,1000
"SPI",0.9705,11.2223815565679,0.00999999999999979,"LogNormal",22,1000,1000
"Synthetic-only",0.9615,9.92282750021587,0,"LogNormal",22,1000,1000
"SCP",0.9835,13.3862381444408,0,"LogNormal",22,2000,2000
"RSA-CP (OT) (Ours)",0.9765,11.9299107187178,0.0200000000000005,"LogNormal",22,2000,2000
"SPI",0.9705,11.2223815565679,0.0300000000000002,"LogNormal",22,2000,2000
"Synthetic-only",0.931,8.22968254761006,0,"LogNormal",22,2000,2000
"SCP",0.9835,13.3862381444408,0,"LogNormal",22,3000,3000
"RSA-CP (OT) (Ours)",0.9765,11.9299107187178,0,"LogNormal",22,3000,3000
"SPI",0.9895,14.1695443846897,0.0499999999999998,"LogNormal",22,3000,3000
"Synthetic-only",0.9895,14.0259657231254,0,"LogNormal",22,3000,3000
"SCP",0.933,5.70372924819797,0,"Student-t",22,50,50
"RSA-CP (OT) (Ours)",0.9325,5.69692353839996,0.00999999999999979,"Student-t",22,50,50
"SPI",0.999,22.0474616763811,0,"Student-t",22,50,50
"Synthetic-only",0.999,19.4647788206224,0,"Student-t",22,50,50
"SCP",0.933,5.70372924819797,0,"Student-t",22,100,100
"RSA-CP (OT) (Ours)",0.925,5.59767399940344,0,"Student-t",22,100,100
"SPI",0.998,15.4686045317138,0,"Student-t",22,100,100
"Synthetic-only",0.997,15.0381728522691,0,"Student-t",22,100,100
"SCP",0.933,5.70372924819797,0,"Student-t",22,250,250
"RSA-CP (OT) (Ours)",0.9245,5.54919062256636,0.0200000000000005,"Student-t",22,250,250
"SPI",0.996,14.1260636840333,0,"Student-t",22,250,250
"Synthetic-only",0.9955,13.9064797624395,0,"Student-t",22,250,250
"SCP",0.933,5.70372924819797,0,"Student-t",22,500,500
"RSA-CP (OT) (Ours)",0.925,5.58431208220285,0,"Student-t",22,500,500
"SPI",0.995,13.4280905372622,0.0199999999999996,"Student-t",22,500,500
"Synthetic-only",0.9945,12.7126665806035,0,"Student-t",22,500,500
"SCP",0.933,5.70372924819797,0,"Student-t",22,1000,1000
"RSA-CP (OT) (Ours)",0.9245,5.54919062256636,0,"Student-t",22,1000,1000
"SPI",0.995,12.9065050579589,0.00999999999999979,"Student-t",22,1000,1000
"Synthetic-only",0.995,12.8719249195382,0,"Student-t",22,1000,1000
"SCP",0.933,5.70372924819797,0,"Student-t",22,2000,2000
"RSA-CP (OT) (Ours)",0.9245,5.54573899575968,0.0199999999999996,"Student-t",22,2000,2000
"SPI",0.995,12.9228653520264,0.0300000000000011,"Student-t",22,2000,2000
"Synthetic-only",0.995,12.9134534515848,0,"Student-t",22,2000,2000
"SCP",0.933,5.70372924819797,0,"Student-t",22,3000,3000
"RSA-CP (OT) (Ours)",0.9225,5.50651742293727,0,"Student-t",22,3000,3000
"SPI",0.9935,11.5982024630346,0.0399999999999991,"Student-t",22,3000,3000
"Synthetic-only",0.9935,11.5005843713907,0,"Student-t",22,3000,3000
"SCP",0.963,10.0202636873332,0,"LogNormal",23,50,50
"RSA-CP (OT) (Ours)",0.963,10.0086806823439,0,"LogNormal",23,50,50
"SPI",0.9965,21.0472899884843,0,"LogNormal",23,50,50
"Synthetic-only",0.99,14.3416368303666,0,"LogNormal",23,50,50
"SCP",0.963,10.0202636873332,0,"LogNormal",23,100,100
"RSA-CP (OT) (Ours)",0.955,9.31210583631999,0.0200000000000014,"LogNormal",23,100,100
"SPI",0.99,14.6525129891702,0,"LogNormal",23,100,100
"Synthetic-only",0.9945,17.8619989022149,0,"LogNormal",23,100,100
"SCP",0.963,10.0202636873332,0,"LogNormal",23,250,250
"RSA-CP (OT) (Ours)",0.9595,9.60019096978343,0,"LogNormal",23,250,250
"SPI",0.99,14.6525129891702,0.00999999999999979,"LogNormal",23,250,250
"Synthetic-only",0.9915,16.1497892085831,0,"LogNormal",23,250,250
"SCP",0.963,10.0202636873332,0,"LogNormal",23,500,500
"RSA-CP (OT) (Ours)",0.955,9.28386699116096,0,"LogNormal",23,500,500
"SPI",0.93,8.07690883270983,0.0199999999999996,"LogNormal",23,500,500
"Synthetic-only",0.927,7.99205763217259,0,"LogNormal",23,500,500
"SCP",0.963,10.0202636873332,0,"LogNormal",23,1000,1000
"RSA-CP (OT) (Ours)",0.9515,9.06480057414771,0,"LogNormal",23,1000,1000
"SPI",0.9345,8.31799808370349,0.00999999999999979,"LogNormal",23,1000,1000
"Synthetic-only",0.9315,8.25059515342784,0,"LogNormal",23,1000,1000
"SCP",0.963,10.0202636873332,0,"LogNormal",23,2000,2000
"RSA-CP (OT) (Ours)",0.948,8.76264055500945,0.0199999999999996,"LogNormal",23,2000,2000
"SPI",0.974,11.6615524705518,0.0300000000000011,"LogNormal",23,2000,2000
"Synthetic-only",0.9675,10.6415905006223,0,"LogNormal",23,2000,2000
"SCP",0.963,10.0202636873332,0,"LogNormal",23,3000,3000
"RSA-CP (OT) (Ours)",0.944,8.66192054863004,0,"LogNormal",23,3000,3000
"SPI",0.9825,13.2219959846735,0.0499999999999989,"LogNormal",23,3000,3000
"Synthetic-only",0.981,13.0364983547872,0,"LogNormal",23,3000,3000
"SCP",0.9765,8.19101968964803,0,"Student-t",23,50,50
"RSA-CP (OT) (Ours)",0.9755,8.17856955824663,0,"Student-t",23,50,50
"SPI",0.9985,16.0930087284246,0,"Student-t",23,50,50
"Synthetic-only",0.9985,16.0539282178773,0,"Student-t",23,50,50
"SCP",0.9765,8.19101968964803,0,"Student-t",23,100,100
"RSA-CP (OT) (Ours)",0.974,7.92404975871613,0,"Student-t",23,100,100
"SPI",0.9935,11.7204864488106,0,"Student-t",23,100,100
"Synthetic-only",0.993,10.9990742449637,0,"Student-t",23,100,100
"SCP",0.9765,8.19101968964803,0,"Student-t",23,250,250
"RSA-CP (OT) (Ours)",0.974,7.93220619772733,0.0200000000000014,"Student-t",23,250,250
"SPI",0.984,9.05143482104474,0,"Student-t",23,250,250
"Synthetic-only",0.972,7.75069609515884,0,"Student-t",23,250,250
"SCP",0.9765,8.19101968964803,0,"Student-t",23,500,500
"RSA-CP (OT) (Ours)",0.972,7.77482115412162,0,"Student-t",23,500,500
"SPI",0.9925,10.7359959231445,0.00999999999999979,"Student-t",23,500,500
"Synthetic-only",0.9915,10.5467886535461,0,"Student-t",23,500,500
"SCP",0.9765,8.19101968964803,0,"Student-t",23,1000,1000
"RSA-CP (OT) (Ours)",0.972,7.80483077890252,0,"Student-t",23,1000,1000
"SPI",0.993,10.912900144633,0.0199999999999996,"Student-t",23,1000,1000
"Synthetic-only",0.993,10.912646425737,0,"Student-t",23,1000,1000
"SCP",0.9765,8.19101968964803,0,"Student-t",23,2000,2000
"RSA-CP (OT) (Ours)",0.9735,7.8930209571952,0.00999999999999979,"Student-t",23,2000,2000
"SPI",0.995,12.8679850193694,0.0400000000000009,"Student-t",23,2000,2000
"Synthetic-only",0.9945,12.7809632936438,0,"Student-t",23,2000,2000
"SCP",0.9765,8.19101968964803,0,"Student-t",23,3000,3000
"RSA-CP (OT) (Ours)",0.973,7.86695389065094,0,"Student-t",23,3000,3000
"SPI",0.993,10.9553850413032,0.0399999999999991,"Student-t",23,3000,3000
"Synthetic-only",0.9925,10.7853503981218,0.00999999999999979,"Student-t",23,3000,3000
"SCP",0.981,12.4884728731618,0,"LogNormal",24,50,50
"RSA-CP (OT) (Ours)",0.981,12.4872591163432,0,"LogNormal",24,50,50
"SPI",0.999,28.2832094081203,0,"LogNormal",24,50,50
"Synthetic-only",0.995,18.8818074089811,0,"LogNormal",24,50,50
"SCP",0.981,12.4884728731618,0,"LogNormal",24,100,100
"RSA-CP (OT) (Ours)",0.9805,12.4186478025171,0.0100000000000016,"LogNormal",24,100,100
"SPI",0.981,12.9681075093562,0,"LogNormal",24,100,100
"Synthetic-only",0.981,12.4640185974471,0,"LogNormal",24,100,100
"SCP",0.981,12.4884728731618,0,"LogNormal",24,250,250
"RSA-CP (OT) (Ours)",0.98,12.4020943854491,0,"LogNormal",24,250,250
"SPI",0.981,12.9681075093562,0.0199999999999996,"LogNormal",24,250,250
"Synthetic-only",0.9915,16.2317086858156,0,"LogNormal",24,250,250
"SCP",0.981,12.4884728731618,0,"LogNormal",24,500,500
"RSA-CP (OT) (Ours)",0.9785,12.2683995259568,0,"LogNormal",24,500,500
"SPI",0.981,12.9681075093562,0,"LogNormal",24,500,500
"Synthetic-only",0.9875,13.6759648767632,0,"LogNormal",24,500,500
"SCP",0.981,12.4884728731618,0,"LogNormal",24,1000,1000
"RSA-CP (OT) (Ours)",0.9785,12.2683995259568,0,"LogNormal",24,1000,1000
"SPI",0.9775,12.0889055403362,0.00999999999999979,"LogNormal",24,1000,1000
