"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"RSA-CP (OT) (Ours)",0.959,9.49917754997183,0,"LogNormal",2,1000,1000
"SPI",0.9515,8.99569605353338,0.01,"LogNormal",2,1000,1000
"Synthetic-only",0.9505,8.86831778637268,0,"LogNormal",2,1000,1000
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,2000,2000
"RSA-CP (OT) (Ours)",0.957,9.39479098348862,0.02,"LogNormal",2,2000,2000
"SPI",0.9505,8.89436095479431,0.03,"LogNormal",2,2000,2000
"Synthetic-only",0.9505,8.8783658532511,0,"LogNormal",2,2000,2000
"SCP",0.9715,11.3320730847307,0,"LogNormal",2,3000,3000
"RSA-CP (OT) (Ours)",0.9575,9.44698426673022,0,"LogNormal",2,3000,3000
"SPI",0.955,9.27273438416451,0.0499999999999998,"LogNormal",2,3000,3000
"Synthetic-only",0.9525,9.10630537945479,0,"LogNormal",2,3000,3000
"SCP",0.9845,9.17660869226456,0,"Student-t",2,50,50
"RSA-CP (OT) (Ours)",0.9845,9.17520718576546,0.01,"Student-t",2,50,50
"SPI",0.999,22.9223259354792,0,"Student-t",2,50,50
"Synthetic-only",0.996,14.1130305797887,0,"Student-t",2,50,50
"SCP",0.9845,9.17660869226456,0,"Student-t",2,100,100
"RSA-CP (OT) (Ours)",0.9835,8.81935803713364,0,"Student-t",2,100,100
"SPI",0.9935,12.0803122251424,0,"Student-t",2,100,100
"Synthetic-only",0.989,10.2153138795129,0,"Student-t",2,100,100
"SCP",0.9845,9.17660869226456,0,"Student-t",2,250,250
"RSA-CP (OT) (Ours)",0.983,8.74461771478505,0.02,"Student-t",2,250,250
"SPI",0.995,13.371551711487,0,"Student-t",2,250,250
"Synthetic-only",0.995,13.3488892377216,0,"Student-t",2,250,250
"SCP",0.9845,9.17660869226456,0,"Student-t",2,500,500
"RSA-CP (OT) (Ours)",0.9825,8.59513707008787,0,"Student-t",2,500,500
"SPI",0.9945,12.5878776221225,0.01,"Student-t",2,500,500
"Synthetic-only",0.9945,12.5549739581497,0,"Student-t",2,500,500
"SCP",0.9845,9.17660869226456,0,"Student-t",2,1000,1000
"RSA-CP (OT) (Ours)",0.9815,8.55776690891357,0,"Student-t",2,1000,1000
"SPI",0.9945,12.7078620262466,0.02,"Student-t",2,1000,1000
"Synthetic-only",0.9945,12.5588809271082,0,"Student-t",2,1000,1000
"SCP",0.9845,9.17660869226456,0,"Student-t",2,2000,2000
"RSA-CP (OT) (Ours)",0.9825,8.66987739243646,0.02,"Student-t",2,2000,2000
"SPI",0.9905,10.4820312414376,0.03,"Student-t",2,2000,2000
"Synthetic-only",0.99,10.4281285184473,0,"Student-t",2,2000,2000
"SCP",0.9845,9.17660869226456,0,"Student-t",2,3000,3000
"RSA-CP (OT) (Ours)",0.9825,8.66987739243646,0,"Student-t",2,3000,3000
"SPI",0.9935,12.0030568789468,0.04,"Student-t",2,3000,3000
"Synthetic-only",0.9935,11.9639067097506,0,"Student-t",2,3000,3000
"SCP",0.9515,9.01433299320358,0,"LogNormal",3,50,50
"RSA-CP (OT) (Ours)",0.9515,8.99252436097944,0,"LogNormal",3,50,50
"SPI",0.996,20.7369522587601,0,"LogNormal",3,50,50
"Synthetic-only",0.995,19.0870567328024,0,"LogNormal",3,50,50
"SCP",0.9515,9.01433299320358,0,"LogNormal",3,100,100
"RSA-CP (OT) (Ours)",0.95,8.86028135567092,0.01,"LogNormal",3,100,100
"SPI",0.995,18.8632018989519,0,"LogNormal",3,100,100
"Synthetic-only",0.9905,15.1650965036469,0,"LogNormal",3,100,100
"SCP",0.9515,9.01433299320358,0,"LogNormal",3,250,250
"RSA-CP (OT) (Ours)",0.951,8.96607575991774,0,"LogNormal",3,250,250
"SPI",0.9495,8.81423024501674,0,"LogNormal",3,250,250
"Synthetic-only",0.9215,7.78016032122385,0,"LogNormal",3,250,250
"SCP",0.9515,9.01433299320358,0,"LogNormal",3,500,500
"RSA-CP (OT) (Ours)",0.9505,8.8850500896185,0,"LogNormal",3,500,500
"SPI",0.9495,8.81423024501674,0,"LogNormal",3,500,500
"Synthetic-only",0.9325,8.29582629703287,0,"LogNormal",3,500,500
"SCP",0.9515,9.01433299320358,0,"LogNormal",3,1000,1000
"RSA-CP (OT) (Ours)",0.9495,8.85354771989131,0.0199999999999998,"LogNormal",3,1000,1000
"SPI",0.959,9.51184226787349,0.01,"LogNormal",3,1000,1000
"Synthetic-only",0.944,8.68277896567076,0,"LogNormal",3,1000,1000
"SCP",0.9515,9.01433299320358,0,"LogNormal",3,2000,2000
"RSA-CP (OT) (Ours)",0.9495,8.82810614649532,0,"LogNormal",3,2000,2000
"SPI",0.981,12.7174433259473,0.03,"LogNormal",3,2000,2000
"Synthetic-only",0.981,12.5839143410042,0,"LogNormal",3,2000,2000
"SCP",0.9515,9.01433299320358,0,"LogNormal",3,3000,3000
"RSA-CP (OT) (Ours)",0.9495,8.82810614649532,0.01,"LogNormal",3,3000,3000
"SPI",0.968,10.7037958738479,0.05,"LogNormal",3,3000,3000
"Synthetic-only",0.9675,10.6206553222826,0,"LogNormal",3,3000,3000
"SCP",0.984,8.99646425450112,0,"Student-t",3,50,50
"RSA-CP (OT) (Ours)",0.984,8.98382292548416,0,"Student-t",3,50,50
"SPI",0.999,19.1866943391415,0,"Student-t",3,50,50
"Synthetic-only",0.999,17.3998010074787,0,"Student-t",3,50,50
"SCP",0.984,8.99646425450112,0,"Student-t",3,100,100
"RSA-CP (OT) (Ours)",0.9805,8.45232562188936,0,"Student-t",3,100,100
"SPI",0.9915,10.5759486378552,0.02,"Student-t",3,100,100
"Synthetic-only",0.999,16.7315706742662,0,"Student-t",3,100,100
"SCP",0.984,8.99646425450112,0,"Student-t",3,250,250
"RSA-CP (OT) (Ours)",0.984,8.90244947157578,0,"Student-t",3,250,250
"SPI",0.9915,10.5759486378552,0,"Student-t",3,250,250
"Synthetic-only",0.984,9.03403167892409,0,"Student-t",3,250,250
