"Method","Cov","Width","Time","Dataset","Trial","Shock_Probability"
"SCP",0.9685,7.9179424242173,0.0200000000000102,"Student-t",15,0.5
"RSA-CP (OT) (Ours)",0.948,6.31946374007568,0,"Student-t",15,0.5
"SCP",0.943,8.01668838647504,0,"LogNormal",16,0
"RSA-CP (OT) (Ours)",0.943,7.99206030681397,0,"LogNormal",16,0
"SCP",0.943,8.01668838647504,0,"LogNormal",16,0.1
"RSA-CP (OT) (Ours)",0.9425,7.90482610612056,0,"LogNormal",16,0.1
"SCP",0.943,8.01668838647504,0,"LogNormal",16,0.2
"RSA-CP (OT) (Ours)",0.9355,7.70178717953164,0.0199999999999818,"LogNormal",16,0.2
"SCP",0.943,8.01668838647504,0,"LogNormal",16,0.3
"RSA-CP (OT) (Ours)",0.928,7.33666530621351,0,"LogNormal",16,0.3
"SCP",0.943,8.01668838647504,0,"LogNormal",16,0.4
"RSA-CP (OT) (Ours)",0.931,7.47320810174145,0,"LogNormal",16,0.4
"SCP",0.943,8.01668838647504,0,"LogNormal",16,0.5
"RSA-CP (OT) (Ours)",0.932,7.5100369147726,0,"LogNormal",16,0.5
"SCP",0.9435,6.11880376212912,0,"Student-t",16,0
"RSA-CP (OT) (Ours)",0.854,3.89917293716684,0,"Student-t",16,0
"SCP",0.9435,6.11880376212912,0,"Student-t",16,0.1
"RSA-CP (OT) (Ours)",0.86,4.01767580747779,0,"Student-t",16,0.1
"SCP",0.9435,6.11880376212912,0,"Student-t",16,0.2
"RSA-CP (OT) (Ours)",0.8335,3.57852174711871,0,"Student-t",16,0.2
"SCP",0.9435,6.11880376212912,0,"Student-t",16,0.3
"RSA-CP (OT) (Ours)",0.858,3.98574480721948,0.0199999999999818,"Student-t",16,0.3
"SCP",0.9435,6.11880376212912,0,"Student-t",16,0.4
"RSA-CP (OT) (Ours)",0.853,3.8865467925636,0,"Student-t",16,0.4
"SCP",0.9435,6.11880376212912,0,"Student-t",16,0.5
"RSA-CP (OT) (Ours)",0.8085,3.32784518631247,0,"Student-t",16,0.5
"SCP",0.991,13.732024689334,0,"LogNormal",17,0
"RSA-CP (OT) (Ours)",0.9735,9.91404030789657,0,"LogNormal",17,0
"SCP",0.991,13.732024689334,0,"LogNormal",17,0.1
"RSA-CP (OT) (Ours)",0.974,10.0545660721929,0,"LogNormal",17,0.1
"SCP",0.991,13.732024689334,0,"LogNormal",17,0.2
"RSA-CP (OT) (Ours)",0.974,9.99049831011663,0.0199999999999818,"LogNormal",17,0.2
"SCP",0.991,13.732024689334,0,"LogNormal",17,0.3
"RSA-CP (OT) (Ours)",0.9725,9.81977088573561,0,"LogNormal",17,0.3
"SCP",0.991,13.732024689334,0,"LogNormal",17,0.4
"RSA-CP (OT) (Ours)",0.9755,10.2189613294092,0,"LogNormal",17,0.4
"SCP",0.991,13.732024689334,0,"LogNormal",17,0.5
"RSA-CP (OT) (Ours)",0.9725,9.73373064584362,0.0200000000000102,"LogNormal",17,0.5
"SCP",0.999,38.0995425194054,0,"Student-t",17,0
"RSA-CP (OT) (Ours)",0.989,11.2650247147208,0,"Student-t",17,0
"SCP",0.999,38.0995425194054,0,"Student-t",17,0.1
"RSA-CP (OT) (Ours)",0.996,16.7513873538574,0,"Student-t",17,0.1
"SCP",0.999,38.0995425194054,0,"Student-t",17,0.2
"RSA-CP (OT) (Ours)",0.995,14.9317028781309,0.00999999999999091,"Student-t",17,0.2
"SCP",0.999,38.0995425194054,0,"Student-t",17,0.3
"RSA-CP (OT) (Ours)",0.9925,12.3286605031126,0,"Student-t",17,0.3
"SCP",0.999,38.0995425194054,0,"Student-t",17,0.4
"RSA-CP (OT) (Ours)",0.9885,10.8710965898459,0,"Student-t",17,0.4
"SCP",0.999,38.0995425194054,0,"Student-t",17,0.5
"RSA-CP (OT) (Ours)",0.9925,12.0688911277508,0,"Student-t",17,0.5
"SCP",0.9705,9.56894292155053,0,"LogNormal",18,0
"RSA-CP (OT) (Ours)",0.943,7.99930314613824,0,"LogNormal",18,0
"SCP",0.9705,9.56894292155053,0,"LogNormal",18,0.1
"RSA-CP (OT) (Ours)",0.9445,8.05549750820498,0,"LogNormal",18,0.1
"SCP",0.9705,9.56894292155053,0,"LogNormal",18,0.2
"RSA-CP (OT) (Ours)",0.9325,7.52693423128939,0.00999999999999091,"LogNormal",18,0.2
"SCP",0.9705,9.56894292155053,0,"LogNormal",18,0.3
"RSA-CP (OT) (Ours)",0.9355,7.67132360430451,0,"LogNormal",18,0.3
"SCP",0.9705,9.56894292155053,0,"LogNormal",18,0.4
"RSA-CP (OT) (Ours)",0.933,7.55946437031661,0,"LogNormal",18,0.4
"SCP",0.9705,9.56894292155053,0,"LogNormal",18,0.5
"RSA-CP (OT) (Ours)",0.936,7.7327265383104,0.0200000000000102,"LogNormal",18,0.5
"SCP",0.9885,10.9608593268203,0,"Student-t",18,0
"RSA-CP (OT) (Ours)",0.9735,8.20437669849081,0,"Student-t",18,0
"SCP",0.9885,10.9608593268203,0,"Student-t",18,0.1
"RSA-CP (OT) (Ours)",0.976,8.59203400430311,0,"Student-t",18,0.1
"SCP",0.9885,10.9608593268203,0,"Student-t",18,0.2
"RSA-CP (OT) (Ours)",0.9745,8.43536470980365,0.00999999999999091,"Student-t",18,0.2
"SCP",0.9885,10.9608593268203,0,"Student-t",18,0.3
"RSA-CP (OT) (Ours)",0.976,8.55945579322319,0,"Student-t",18,0.3
"SCP",0.9885,10.9608593268203,0,"Student-t",18,0.4
"RSA-CP (OT) (Ours)",0.9765,8.68544439197057,0,"Student-t",18,0.4
"SCP",0.9885,10.9608593268203,0,"Student-t",18,0.5
"RSA-CP (OT) (Ours)",0.9745,8.4244522674585,0,"Student-t",18,0.5
"SCP",0.972,9.71354951875209,0,"LogNormal",19,0
"RSA-CP (OT) (Ours)",0.9345,7.61367018322337,0,"LogNormal",19,0
"SCP",0.972,9.71354951875209,0,"LogNormal",19,0.1
"RSA-CP (OT) (Ours)",0.939,7.84818869837717,0.00999999999999091,"LogNormal",19,0.1
"SCP",0.972,9.71354951875209,0,"LogNormal",19,0.2
"RSA-CP (OT) (Ours)",0.931,7.46330327976854,0,"LogNormal",19,0.2
"SCP",0.972,9.71354951875209,0,"LogNormal",19,0.3
"RSA-CP (OT) (Ours)",0.9235,7.2102415539107,0,"LogNormal",19,0.3
"SCP",0.972,9.71354951875209,0,"LogNormal",19,0.4
"RSA-CP (OT) (Ours)",0.9305,7.44228967680386,0.0200000000000102,"LogNormal",19,0.4
"SCP",0.972,9.71354951875209,0,"LogNormal",19,0.5
"RSA-CP (OT) (Ours)",0.9265,7.31463367617905,0,"LogNormal",19,0.5
"SCP",0.957,6.86183504065343,0,"Student-t",19,0
"RSA-CP (OT) (Ours)",0.923,5.20623332219934,0,"Student-t",19,0
"SCP",0.957,6.86183504065343,0,"Student-t",19,0.1
"RSA-CP (OT) (Ours)",0.9285,5.38616011330111,0,"Student-t",19,0.1
"SCP",0.957,6.86183504065343,0,"Student-t",19,0.2
"RSA-CP (OT) (Ours)",0.928,5.3423453784717,0,"Student-t",19,0.2
"SCP",0.957,6.86183504065343,0,"Student-t",19,0.3
"RSA-CP (OT) (Ours)",0.9125,4.97248057650892,0,"Student-t",19,0.3
"SCP",0.957,6.86183504065343,0,"Student-t",19,0.4
"RSA-CP (OT) (Ours)",0.9155,5.03643366636434,0,"Student-t",19,0.4
"SCP",0.957,6.86183504065343,0,"Student-t",19,0.5
"RSA-CP (OT) (Ours)",0.9075,4.90150873350128,0.0100000000000193,"Student-t",19,0.5
"SCP",0.9845,12.1928408949215,0,"LogNormal",20,0
"RSA-CP (OT) (Ours)",0.929,7.3537811727289,0,"LogNormal",20,0
"SCP",0.9845,12.1928408949215,0,"LogNormal",20,0.1
"RSA-CP (OT) (Ours)",0.9355,7.68624737814209,0,"LogNormal",20,0.1
"SCP",0.9845,12.1928408949215,0,"LogNormal",20,0.2
"RSA-CP (OT) (Ours)",0.933,7.54937438104304,0,"LogNormal",20,0.2
"SCP",0.9845,12.1928408949215,0,"LogNormal",20,0.3
"RSA-CP (OT) (Ours)",0.9175,7.01918306962389,0,"LogNormal",20,0.3
"SCP",0.9845,12.1928408949215,0,"LogNormal",20,0.4
"RSA-CP (OT) (Ours)",0.9215,7.14108707915354,0.0100000000000193,"LogNormal",20,0.4
"SCP",0.9845,12.1928408949215,0,"LogNormal",20,0.5
"RSA-CP (OT) (Ours)",0.922,7.16077807647788,0,"LogNormal",20,0.5
"SCP",0.9595,7.259268903724,0,"Student-t",20,0
"RSA-CP (OT) (Ours)",0.95,6.42601804105613,0,"Student-t",20,0
"SCP",0.9595,7.259268903724,0,"Student-t",20,0.1
"RSA-CP (OT) (Ours)",0.9445,6.17320587014904,0.0199999999999818,"Student-t",20,0.1
"SCP",0.9595,7.259268903724,0,"Student-t",20,0.2
"RSA-CP (OT) (Ours)",0.947,6.28328364238761,0,"Student-t",20,0.2
"SCP",0.9595,7.259268903724,0,"Student-t",20,0.3
"RSA-CP (OT) (Ours)",0.9435,6.13297979407543,0,"Student-t",20,0.3
"SCP",0.9595,7.259268903724,0,"Student-t",20,0.4
"RSA-CP (OT) (Ours)",0.9355,5.63991786133106,0.0100000000000193,"Student-t",20,0.4
"SCP",0.9595,7.259268903724,0,"Student-t",20,0.5
"RSA-CP (OT) (Ours)",0.95,6.41754379806569,0,"Student-t",20,0.5
"SCP",0.9085,6.74565514607696,0,"LogNormal",21,0
"RSA-CP (OT) (Ours)",0.874,6.03750245620043,0.0199999999999818,"LogNormal",21,0
"SCP",0.9085,6.74565514607696,0,"LogNormal",21,0.1
"RSA-CP (OT) (Ours)",0.8795,6.10842059842071,0,"LogNormal",21,0.1
"SCP",0.9085,6.74565514607696,0,"LogNormal",21,0.2
"RSA-CP (OT) (Ours)",0.865,5.89832547155094,0,"LogNormal",21,0.2
"SCP",0.9085,6.74565514607696,0,"LogNormal",21,0.3
"RSA-CP (OT) (Ours)",0.854,5.57458441889408,0,"LogNormal",21,0.3
"SCP",0.9085,6.74565514607696,0,"LogNormal",21,0.4
"RSA-CP (OT) (Ours)",0.868,5.95092998488284,0,"LogNormal",21,0.4
"SCP",0.9085,6.74565514607696,0,"LogNormal",21,0.5
"RSA-CP (OT) (Ours)",0.816,5.1006303028815,0,"LogNormal",21,0.5
"SCP",0.997,20.3923782277054,0,"Student-t",21,0
"RSA-CP (OT) (Ours)",0.9725,8.11146187718192,0,"Student-t",21,0
"SCP",0.997,20.3923782277054,0,"Student-t",21,0.1
"RSA-CP (OT) (Ours)",0.9815,9.61375093161247,0.00999999999999091,"Student-t",21,0.1
"SCP",0.997,20.3923782277054,0,"Student-t",21,0.2
"RSA-CP (OT) (Ours)",0.9865,10.1879419820528,0,"Student-t",21,0.2
"SCP",0.997,20.3923782277054,0,"Student-t",21,0.3
"RSA-CP (OT) (Ours)",0.9845,9.84364318952991,0,"Student-t",21,0.3
"SCP",0.997,20.3923782277054,0,"Student-t",21,0.4
"RSA-CP (OT) (Ours)",0.98,9.25028023691895,0,"Student-t",21,0.4
"SCP",0.997,20.3923782277054,0,"Student-t",21,0.5
"RSA-CP (OT) (Ours)",0.968,7.88276049265064,0,"Student-t",21,0.5
"SCP",0.966,9.24052524445847,0,"LogNormal",22,0
"RSA-CP (OT) (Ours)",0.9385,7.82263853759815,0.00999999999999091,"LogNormal",22,0
"SCP",0.966,9.24052524445847,0,"LogNormal",22,0.1
"RSA-CP (OT) (Ours)",0.9345,7.61773634366278,0,"LogNormal",22,0.1
"SCP",0.966,9.24052524445847,0,"LogNormal",22,0.2
"RSA-CP (OT) (Ours)",0.9375,7.787406318354,0,"LogNormal",22,0.2
"SCP",0.966,9.24052524445847,0,"LogNormal",22,0.3
"RSA-CP (OT) (Ours)",0.9345,7.61219640087073,0.0200000000000102,"LogNormal",22,0.3
"SCP",0.966,9.24052524445847,0,"LogNormal",22,0.4
"RSA-CP (OT) (Ours)",0.9325,7.52716861045945,0,"LogNormal",22,0.4
"SCP",0.966,9.24052524445847,0,"LogNormal",22,0.5
"RSA-CP (OT) (Ours)",0.9255,7.27388800196849,0,"LogNormal",22,0.5
"SCP",0.8945,4.59145703516037,0,"Student-t",22,0
"RSA-CP (OT) (Ours)",0.8865,4.44096843016905,0,"Student-t",22,0
"SCP",0.8945,4.59145703516037,0,"Student-t",22,0.1
"RSA-CP (OT) (Ours)",0.881,4.32723692114593,0.00999999999999091,"Student-t",22,0.1
"SCP",0.8945,4.59145703516037,0,"Student-t",22,0.2
"RSA-CP (OT) (Ours)",0.872,4.2007270154113,0,"Student-t",22,0.2
"SCP",0.8945,4.59145703516037,0,"Student-t",22,0.3
"RSA-CP (OT) (Ours)",0.8695,4.16120725554267,0,"Student-t",22,0.3
"SCP",0.8945,4.59145703516037,0,"Student-t",22,0.4
"RSA-CP (OT) (Ours)",0.8765,4.25374241892755,0.0200000000000102,"Student-t",22,0.4
"SCP",0.8945,4.59145703516037,0,"Student-t",22,0.5
"RSA-CP (OT) (Ours)",0.871,4.17583973125661,0,"Student-t",22,0.5
"SCP",0.9885,13.279004162839,0,"LogNormal",23,0
"RSA-CP (OT) (Ours)",0.9225,7.18632750423288,0.00999999999999091,"LogNormal",23,0
"SCP",0.9885,13.279004162839,0,"LogNormal",23,0.1
"RSA-CP (OT) (Ours)",0.9475,8.30944237331713,0,"LogNormal",23,0.1
"SCP",0.9885,13.279004162839,0,"LogNormal",23,0.2
"RSA-CP (OT) (Ours)",0.939,7.83937242199058,0,"LogNormal",23,0.2
"SCP",0.9885,13.279004162839,0,"LogNormal",23,0.3
"RSA-CP (OT) (Ours)",0.9305,7.41930968704717,0.0200000000000102,"LogNormal",23,0.3
"SCP",0.9885,13.279004162839,0,"LogNormal",23,0.4
"RSA-CP (OT) (Ours)",0.9305,7.45255220061827,0,"LogNormal",23,0.4
"SCP",0.9885,13.279004162839,0,"LogNormal",23,0.5
"RSA-CP (OT) (Ours)",0.9095,6.77783970929249,0,"LogNormal",23,0.5
"SCP",0.9385,5.85868091243077,0,"Student-t",23,0
"RSA-CP (OT) (Ours)",0.9125,4.98580650253192,0.0199999999999818,"Student-t",23,0
"SCP",0.9385,5.85868091243077,0,"Student-t",23,0.1
"RSA-CP (OT) (Ours)",0.905,4.85833340887747,0,"Student-t",23,0.1
"SCP",0.9385,5.85868091243077,0,"Student-t",23,0.2
"RSA-CP (OT) (Ours)",0.9025,4.78333323362603,0,"Student-t",23,0.2
"SCP",0.9385,5.85868091243077,0,"Student-t",23,0.3
"RSA-CP (OT) (Ours)",0.8895,4.50066074290916,0.0100000000000193,"Student-t",23,0.3
"SCP",0.9385,5.85868091243077,0,"Student-t",23,0.4
"RSA-CP (OT) (Ours)",0.911,4.95269655936551,0,"Student-t",23,0.4
"SCP",0.9385,5.85868091243077,0,"Student-t",23,0.5
"RSA-CP (OT) (Ours)",0.903,4.80338652760421,0,"Student-t",23,0.5
"SCP",0.918,7.02857591867925,0,"LogNormal",24,0
"RSA-CP (OT) (Ours)",0.878,6.10215704459112,0,"LogNormal",24,0
"SCP",0.918,7.02857591867925,0,"LogNormal",24,0.1
"RSA-CP (OT) (Ours)",0.878,6.10386321273629,0,"LogNormal",24,0.1
"SCP",0.918,7.02857591867925,0,"LogNormal",24,0.2
"RSA-CP (OT) (Ours)",0.86,5.78563649542127,0,"LogNormal",24,0.2
"SCP",0.918,7.02857591867925,0,"LogNormal",24,0.3
"RSA-CP (OT) (Ours)",0.869,5.97212836212829,0.0100000000000193,"LogNormal",24,0.3
"SCP",0.918,7.02857591867925,0,"LogNormal",24,0.4
"RSA-CP (OT) (Ours)",0.8835,6.18421183115693,0,"LogNormal",24,0.4
"SCP",0.918,7.02857591867925,0,"LogNormal",24,0.5
"RSA-CP (OT) (Ours)",0.875,6.05151845214968,0,"LogNormal",24,0.5
"SCP",0.905,4.86128262667001,0,"Student-t",24,0
"RSA-CP (OT) (Ours)",0.772,3.00081151835648,0.0199999999999818,"Student-t",24,0
"SCP",0.905,4.86128262667001,0,"Student-t",24,0.1
"RSA-CP (OT) (Ours)",0.7805,3.09045428973088,0,"Student-t",24,0.1
"SCP",0.905,4.86128262667001,0,"Student-t",24,0.2
"RSA-CP (OT) (Ours)",0.78,3.07548608315235,0,"Student-t",24,0.2
"SCP",0.905,4.86128262667001,0,"Student-t",24,0.3
"RSA-CP (OT) (Ours)",0.772,3.00143528200815,0.0100000000000193,"Student-t",24,0.3
"SCP",0.905,4.86128262667001,0,"Student-t",24,0.4
"RSA-CP (OT) (Ours)",0.6955,2.47361734631473,0,"Student-t",24,0.4
"SCP",0.905,4.86128262667001,0,"Student-t",24,0.5
"RSA-CP (OT) (Ours)",0.788,3.14801311137494,0,"Student-t",24,0.5
"SCP",0.7755,4.6156756113249,0,"LogNormal",25,0
"RSA-CP (OT) (Ours)",0.774,4.58771088927751,0,"LogNormal",25,0
"SCP",0.7755,4.6156756113249,0,"LogNormal",25,0.1
"RSA-CP (OT) (Ours)",0.7575,4.42936764423581,0,"LogNormal",25,0.1
"SCP",0.7755,4.6156756113249,0,"LogNormal",25,0.2
"RSA-CP (OT) (Ours)",0.7305,4.16329278980652,0.0200000000000102,"LogNormal",25,0.2
"SCP",0.7755,4.6156756113249,0,"LogNormal",25,0.3
"RSA-CP (OT) (Ours)",0.754,4.37413078706359,0,"LogNormal",25,0.3
"SCP",0.7755,4.6156756113249,0,"LogNormal",25,0.4
"RSA-CP (OT) (Ours)",0.7555,4.40987815253337,0,"LogNormal",25,0.4
"SCP",0.7755,4.6156756113249,0,"LogNormal",25,0.5
"RSA-CP (OT) (Ours)",0.7575,4.42722386903178,0,"LogNormal",25,0.5
"SCP",0.995,13.4810699573665,0,"Student-t",25,0
"RSA-CP (OT) (Ours)",0.988,10.7236598263777,0.00999999999999091,"Student-t",25,0
"SCP",0.995,13.4810699573665,0,"Student-t",25,0.1
"RSA-CP (OT) (Ours)",0.9885,11.0236586244729,0,"Student-t",25,0.1
"SCP",0.995,13.4810699573665,0,"Student-t",25,0.2
"RSA-CP (OT) (Ours)",0.988,10.73555426355,0,"Student-t",25,0.2
"SCP",0.995,13.4810699573665,0,"Student-t",25,0.3
"RSA-CP (OT) (Ours)",0.9885,11.031157940385,0.0200000000000102,"Student-t",25,0.3
"SCP",0.995,13.4810699573665,0,"Student-t",25,0.4
"RSA-CP (OT) (Ours)",0.9885,11.0894633085256,0,"Student-t",25,0.4
"SCP",0.995,13.4810699573665,0,"Student-t",25,0.5
"RSA-CP (OT) (Ours)",0.9875,10.5698537133639,0,"Student-t",25,0.5
"SCP",0.964,9.12838708128982,0,"LogNormal",26,0
"RSA-CP (OT) (Ours)",0.935,7.64037350604956,0,"LogNormal",26,0
"SCP",0.964,9.12838708128982,0,"LogNormal",26,0.1
"RSA-CP (OT) (Ours)",0.933,7.54913221178917,0,"LogNormal",26,0.1
"SCP",0.964,9.12838708128982,0,"LogNormal",26,0.2
"RSA-CP (OT) (Ours)",0.906,6.66167632414251,0.0200000000000102,"LogNormal",26,0.2
"SCP",0.964,9.12838708128982,0,"LogNormal",26,0.3
"RSA-CP (OT) (Ours)",0.938,7.80220180522921,0,"LogNormal",26,0.3
"SCP",0.964,9.12838708128982,0,"LogNormal",26,0.4
"RSA-CP (OT) (Ours)",0.9255,7.25427261457262,0,"LogNormal",26,0.4
"SCP",0.964,9.12838708128982,0,"LogNormal",26,0.5
"RSA-CP (OT) (Ours)",0.9355,7.67759172235978,0.00999999999999091,"LogNormal",26,0.5
"SCP",0.981,9.45230208985639,0,"Student-t",26,0
"RSA-CP (OT) (Ours)",0.9715,8.08922271050595,0,"Student-t",26,0
"SCP",0.981,9.45230208985639,0,"Student-t",26,0.1
"RSA-CP (OT) (Ours)",0.969,8.04419006039325,0,"Student-t",26,0.1
"SCP",0.981,9.45230208985639,0,"Student-t",26,0.2
"RSA-CP (OT) (Ours)",0.9725,8.10697705316645,0.0200000000000102,"Student-t",26,0.2
"SCP",0.981,9.45230208985639,0,"Student-t",26,0.3
"RSA-CP (OT) (Ours)",0.97,8.06613799621148,0,"Student-t",26,0.3
"SCP",0.981,9.45230208985639,0,"Student-t",26,0.4
"RSA-CP (OT) (Ours)",0.968,7.87545921007792,0,"Student-t",26,0.4
"SCP",0.981,9.45230208985639,0,"Student-t",26,0.5
"RSA-CP (OT) (Ours)",0.9685,7.91884054242838,0,"Student-t",26,0.5
"SCP",0.9735,9.93717715141788,0,"LogNormal",27,0
"RSA-CP (OT) (Ours)",0.9095,6.77508039127176,0,"LogNormal",27,0
"SCP",0.9735,9.93717715141788,0,"LogNormal",27,0.1
"RSA-CP (OT) (Ours)",0.886,6.21439145704528,0.0200000000000102,"LogNormal",27,0.1
"SCP",0.9735,9.93717715141788,0,"LogNormal",27,0.2
"RSA-CP (OT) (Ours)",0.8815,6.14848138726879,0,"LogNormal",27,0.2
"SCP",0.9735,9.93717715141788,0,"LogNormal",27,0.3
"RSA-CP (OT) (Ours)",0.892,6.37921981250141,0,"LogNormal",27,0.3
"SCP",0.9735,9.93717715141788,0,"LogNormal",27,0.4
"RSA-CP (OT) (Ours)",0.88,6.12903412310144,0,"LogNormal",27,0.4
"SCP",0.9735,9.93717715141788,0,"LogNormal",27,0.5
"RSA-CP (OT) (Ours)",0.869,5.97368255287464,0,"LogNormal",27,0.5
"SCP",0.974,8.24506922598589,0,"Student-t",27,0
"RSA-CP (OT) (Ours)",0.969,7.94144012610356,0,"Student-t",27,0
"SCP",0.974,8.24506922598589,0,"Student-t",27,0.1
"RSA-CP (OT) (Ours)",0.969,8.00392305495646,0,"Student-t",27,0.1
"SCP",0.974,8.24506922598589,0,"Student-t",27,0.2
"RSA-CP (OT) (Ours)",0.969,8.01339096492189,0.0100000000000193,"Student-t",27,0.2
"SCP",0.974,8.24506922598589,0,"Student-t",27,0.3
"RSA-CP (OT) (Ours)",0.9725,8.13019804481462,0,"Student-t",27,0.3
"SCP",0.974,8.24506922598589,0,"Student-t",27,0.4
"RSA-CP (OT) (Ours)",0.9665,7.72972248772023,0,"Student-t",27,0.4
"SCP",0.974,8.24506922598589,0,"Student-t",27,0.5
"RSA-CP (OT) (Ours)",0.9675,7.79165389549482,0.0199999999999818,"Student-t",27,0.5
"SCP",0.9565,8.65853781790796,0,"LogNormal",28,0
"RSA-CP (OT) (Ours)",0.932,7.512568373549,0.0100000000000193,"LogNormal",28,0
"SCP",0.9565,8.65853781790796,0,"LogNormal",28,0.1
"RSA-CP (OT) (Ours)",0.9305,7.41286006013643,0,"LogNormal",28,0.1
"SCP",0.9565,8.65853781790796,0,"LogNormal",28,0.2
"RSA-CP (OT) (Ours)",0.9235,7.20067588831762,0,"LogNormal",28,0.2
"SCP",0.9565,8.65853781790796,0,"LogNormal",28,0.3
"RSA-CP (OT) (Ours)",0.929,7.37251247953027,0.0199999999999818,"LogNormal",28,0.3
"SCP",0.9565,8.65853781790796,0,"LogNormal",28,0.4
"RSA-CP (OT) (Ours)",0.922,7.16355565212047,0,"LogNormal",28,0.4
"SCP",0.9565,8.65853781790796,0,"LogNormal",28,0.5
"RSA-CP (OT) (Ours)",0.93,7.38856604071474,0,"LogNormal",28,0.5
"SCP",0.9385,5.85055134534518,0,"Student-t",28,0
"RSA-CP (OT) (Ours)",0.911,4.94850767933123,0.0100000000000193,"Student-t",28,0
"SCP",0.9385,5.85055134534518,0,"Student-t",28,0.1
"RSA-CP (OT) (Ours)",0.902,4.77498475538721,0,"Student-t",28,0.1
"SCP",0.9385,5.85055134534518,0,"Student-t",28,0.2
"RSA-CP (OT) (Ours)",0.919,5.111584389606,0,"Student-t",28,0.2
"SCP",0.9385,5.85055134534518,0,"Student-t",28,0.3
"RSA-CP (OT) (Ours)",0.9115,4.96678623821897,0.0199999999999818,"Student-t",28,0.3
"SCP",0.9385,5.85055134534518,0,"Student-t",28,0.4
"RSA-CP (OT) (Ours)",0.9015,4.7499549060781,0,"Student-t",28,0.4
"SCP",0.9385,5.85055134534518,0,"Student-t",28,0.5
"RSA-CP (OT) (Ours)",0.9095,4.92815887645872,0,"Student-t",28,0.5
"SCP",0.9255,7.29384533070275,0,"LogNormal",29,0
"RSA-CP (OT) (Ours)",0.9075,6.71818101615152,0,"LogNormal",29,0
"SCP",0.9255,7.29384533070275,0,"LogNormal",29,0.1
"RSA-CP (OT) (Ours)",0.906,6.6650936753572,0,"LogNormal",29,0.1
"SCP",0.9255,7.29384533070275,0,"LogNormal",29,0.2
"RSA-CP (OT) (Ours)",0.9025,6.54663101693527,0.00999999999999091,"LogNormal",29,0.2
"SCP",0.9255,7.29384533070275,0,"LogNormal",29,0.3
"RSA-CP (OT) (Ours)",0.9035,6.61070699328519,0,"LogNormal",29,0.3
"SCP",0.9255,7.29384533070275,0,"LogNormal",29,0.4
"RSA-CP (OT) (Ours)",0.893,6.40372394061467,0,"LogNormal",29,0.4
"SCP",0.9255,7.29384533070275,0,"LogNormal",29,0.5
"RSA-CP (OT) (Ours)",0.892,6.39386951773136,0,"LogNormal",29,0.5
"SCP",0.9975,22.4943966671461,0,"Student-t",29,0
"RSA-CP (OT) (Ours)",0.975,8.51366360705482,0,"Student-t",29,0
"SCP",0.9975,22.4943966671461,0,"Student-t",29,0.1
"RSA-CP (OT) (Ours)",0.979,9.08645433319316,0.00999999999999091,"Student-t",29,0.1
"SCP",0.9975,22.4943966671461,0,"Student-t",29,0.2
"RSA-CP (OT) (Ours)",0.974,8.32551899308783,0,"Student-t",29,0.2
"SCP",0.9975,22.4943966671461,0,"Student-t",29,0.3
"RSA-CP (OT) (Ours)",0.968,7.82865388990545,0,"Student-t",29,0.3
"SCP",0.9975,22.4943966671461,0,"Student-t",29,0.4
"RSA-CP (OT) (Ours)",0.966,7.71463206316732,0,"Student-t",29,0.4
"SCP",0.9975,22.4943966671461,0,"Student-t",29,0.5
"RSA-CP (OT) (Ours)",0.964,7.46335365196086,0.0200000000000102,"Student-t",29,0.5
"SCP",0.99,13.5458254171692,0,"LogNormal",30,0
"RSA-CP (OT) (Ours)",0.9725,9.80837745133141,0,"LogNormal",30,0
"SCP",0.99,13.5458254171692,0,"LogNormal",30,0.1
"RSA-CP (OT) (Ours)",0.9735,9.88221662126017,0,"LogNormal",30,0.1
"SCP",0.99,13.5458254171692,0,"LogNormal",30,0.2
"RSA-CP (OT) (Ours)",0.9695,9.45877002336761,0,"LogNormal",30,0.2
"SCP",0.99,13.5458254171692,0,"LogNormal",30,0.3
"RSA-CP (OT) (Ours)",0.9635,9.01927414843588,0,"LogNormal",30,0.3
"SCP",0.99,13.5458254171692,0,"LogNormal",30,0.4
"RSA-CP (OT) (Ours)",0.964,9.1110524414125,0.0200000000000102,"LogNormal",30,0.4
"SCP",0.99,13.5458254171692,0,"LogNormal",30,0.5
"RSA-CP (OT) (Ours)",0.9655,9.17770796795179,0,"LogNormal",30,0.5
"SCP",0.932,5.55949735245712,0,"Student-t",30,0
"RSA-CP (OT) (Ours)",0.8885,4.48427445725078,0,"Student-t",30,0
"SCP",0.932,5.55949735245712,0,"Student-t",30,0.1
"RSA-CP (OT) (Ours)",0.891,4.51627767814714,0.00999999999999091,"Student-t",30,0.1
"SCP",0.932,5.55949735245712,0,"Student-t",30,0.2
"RSA-CP (OT) (Ours)",0.89,4.50702378787839,0,"Student-t",30,0.2
"SCP",0.932,5.55949735245712,0,"Student-t",30,0.3
"RSA-CP (OT) (Ours)",0.889,4.49239350346471,0,"Student-t",30,0.3
"SCP",0.932,5.55949735245712,0,"Student-t",30,0.4
"RSA-CP (OT) (Ours)",0.8795,4.31244566805938,0.0200000000000102,"Student-t",30,0.4
"SCP",0.932,5.55949735245712,0,"Student-t",30,0.5
"RSA-CP (OT) (Ours)",0.884,4.38455057706465,0,"Student-t",30,0.5
