"Method","Cov","Width","Time","Dataset","Trial","Shock_Probability"
"RSA-CP (OT) (Ours)",0.992,11.9643833189689,0,"Student-t",3,0.5
"SCP",0.9825,11.9098670413563,0.0199999999999818,"LogNormal",4,0
"RSA-CP (OT) (Ours)",0.9575,8.76506090261619,0,"LogNormal",4,0
"SCP",0.9825,11.9098670413563,0.0199999999999818,"LogNormal",4,0.1
"RSA-CP (OT) (Ours)",0.9735,9.90554813584756,0,"LogNormal",4,0.1
"SCP",0.9825,11.9098670413563,0.0199999999999818,"LogNormal",4,0.2
"RSA-CP (OT) (Ours)",0.9695,9.47109905834751,0,"LogNormal",4,0.2
"SCP",0.9825,11.9098670413563,0.0199999999999818,"LogNormal",4,0.3
"RSA-CP (OT) (Ours)",0.9575,8.75459780312684,0.0100000000000193,"LogNormal",4,0.3
"SCP",0.9825,11.9098670413563,0.0199999999999818,"LogNormal",4,0.4
"RSA-CP (OT) (Ours)",0.9645,9.13402990718997,0,"LogNormal",4,0.4
"SCP",0.9825,11.9098670413563,0.0199999999999818,"LogNormal",4,0.5
"RSA-CP (OT) (Ours)",0.9625,8.95985413670074,0,"LogNormal",4,0.5
"SCP",0.969,7.98760892088497,0,"Student-t",4,0
"RSA-CP (OT) (Ours)",0.8225,3.44258068031966,0.0199999999999818,"Student-t",4,0
"SCP",0.969,7.98760892088497,0,"Student-t",4,0.1
"RSA-CP (OT) (Ours)",0.878,4.29515233464304,0,"Student-t",4,0.1
"SCP",0.969,7.98760892088497,0,"Student-t",4,0.2
"RSA-CP (OT) (Ours)",0.781,3.11235671796837,0,"Student-t",4,0.2
"SCP",0.969,7.98760892088497,0,"Student-t",4,0.3
"RSA-CP (OT) (Ours)",0.772,3.00115040673357,0,"Student-t",4,0.3
"SCP",0.969,7.98760892088497,0,"Student-t",4,0.4
"RSA-CP (OT) (Ours)",0.781,3.10953065581638,0,"Student-t",4,0.4
"SCP",0.969,7.98760892088497,0,"Student-t",4,0.5
