"Method","Cov","Width","Time","Dataset","Trial","Noise"
"SPI",0.953,6.56255737749874,0.0599999999999952,"Student-t",24,0.5
"Synthetic-only",0.9525,6.55618751369568,0.00999999999999801,"Student-t",24,0.5
"SCP",0.9665,7.76766643783887,0,"Student-t",24,1
"RSA-CP (OT) (Ours)",0.927,5.64030081168404,0,"Student-t",24,1
"SPI",0.9625,7.41942320308672,0.0500000000000043,"Student-t",24,1
"Synthetic-only",0.9625,7.35054016060816,0,"Student-t",24,1
"SCP",0.9665,7.76766643783887,0,"Student-t",24,1.5
"RSA-CP (OT) (Ours)",0.931,5.73579138617128,0.00999999999999801,"Student-t",24,1.5
"SPI",0.976,8.55044523408061,0.0300000000000011,"Student-t",24,1.5
"Synthetic-only",0.976,8.53717030073013,0.019999999999996,"Student-t",24,1.5
"SCP",0.9665,7.76766643783887,0,"Student-t",24,2
"RSA-CP (OT) (Ours)",0.935,5.82412927672554,0,"Student-t",24,2
"SPI",0.984,9.68113970194761,0.0500000000000043,"Student-t",24,2
"Synthetic-only",0.985,10.0229947652855,0,"Student-t",24,2
"SCP",0.9665,7.76766643783887,0,"Student-t",24,3
"RSA-CP (OT) (Ours)",0.934,5.81392838944705,0,"Student-t",24,3
"SPI",0.984,9.68113970194761,0.0399999999999991,"Student-t",24,3
"Synthetic-only",0.996,13.4914099796799,0,"Student-t",24,3
"SCP",0.9755,10.6800475996326,0,"LogNormal",25,0.25
"RSA-CP (OT) (Ours)",0.968,9.79161323071961,0,"LogNormal",25,0.25
"SPI",0.9535,8.83434587739672,0.0500000000000043,"LogNormal",25,0.25
"Synthetic-only",0.7305,4.32636340202116,0,"LogNormal",25,0.25
"SCP",0.9755,10.6800475996326,0,"LogNormal",25,0.5
"RSA-CP (OT) (Ours)",0.966,9.63391521382662,0.00999999999999801,"LogNormal",25,0.5
"SPI",0.9535,8.83434587739672,0.0500000000000043,"LogNormal",25,0.5
"Synthetic-only",0.8015,4.99995866653727,0,"LogNormal",25,0.5
"SCP",0.9755,10.6800475996326,0,"LogNormal",25,1
"RSA-CP (OT) (Ours)",0.966,9.62224790024585,0,"LogNormal",25,1
"SPI",0.9535,8.83434587739672,0.0599999999999952,"LogNormal",25,1
"Synthetic-only",0.899,6.60057998698935,0,"LogNormal",25,1
"SCP",0.9755,10.6800475996326,0,"LogNormal",25,1.5
"RSA-CP (OT) (Ours)",0.9665,9.65501379448271,0,"LogNormal",25,1.5
"SPI",0.9535,8.83434587739672,0.0500000000000043,"LogNormal",25,1.5
"Synthetic-only",0.943,8.36366363149081,0,"LogNormal",25,1.5
"SCP",0.9755,10.6800475996326,0,"LogNormal",25,2
"RSA-CP (OT) (Ours)",0.965,9.53358522497018,0.00999999999999801,"LogNormal",25,2
"SPI",0.968,9.74108341088901,0.0499999999999972,"LogNormal",25,2
"Synthetic-only",0.9675,9.73237465055772,0,"LogNormal",25,2
"SCP",0.9755,10.6800475996326,0,"LogNormal",25,3
"RSA-CP (OT) (Ours)",0.966,9.60963100742777,0,"LogNormal",25,3
"SPI",0.9795,11.4593892275577,0.0500000000000043,"LogNormal",25,3
"Synthetic-only",0.9895,13.3116817410531,0,"LogNormal",25,3
"SCP",0.9795,9.1122450664927,0,"Student-t",25,0.25
"RSA-CP (OT) (Ours)",0.979,8.97344434807136,0.00999999999999801,"Student-t",25,0.25
"SPI",0.9785,8.95011605409682,0.0499999999999972,"Student-t",25,0.25
"Synthetic-only",0.9505,6.49287232762425,0,"Student-t",25,0.25
"SCP",0.9795,9.1122450664927,0,"Student-t",25,0.5
"RSA-CP (OT) (Ours)",0.9785,8.95666295680713,0,"Student-t",25,0.5
"SPI",0.9785,8.95011605409682,0.0500000000000043,"Student-t",25,0.5
"Synthetic-only",0.956,6.87299082377433,0,"Student-t",25,0.5
"SCP",0.9795,9.1122450664927,0,"Student-t",25,1
"RSA-CP (OT) (Ours)",0.979,8.96694835175976,0,"Student-t",25,1
"SPI",0.9785,8.95011605409682,0.0399999999999991,"Student-t",25,1
"Synthetic-only",0.9625,7.32485580801205,0,"Student-t",25,1
"SCP",0.9795,9.1122450664927,0,"Student-t",25,1.5
"RSA-CP (OT) (Ours)",0.979,9.00061711930893,0,"Student-t",25,1.5
"SPI",0.9785,8.95011605409682,0.0500000000000043,"Student-t",25,1.5
"Synthetic-only",0.972,8.13344728358144,0,"Student-t",25,1.5
"SCP",0.9795,9.1122450664927,0,"Student-t",25,2
"RSA-CP (OT) (Ours)",0.9785,8.9340089602459,0,"Student-t",25,2
"SPI",0.985,10.1172299802794,0.0399999999999991,"Student-t",25,2
"Synthetic-only",0.985,10.1142812119307,0,"Student-t",25,2
"SCP",0.9795,9.1122450664927,0,"Student-t",25,3
"RSA-CP (OT) (Ours)",0.979,8.9868269816867,0,"Student-t",25,3
"SPI",0.9895,11.0357823699187,0.0700000000000003,"Student-t",25,3
"Synthetic-only",0.996,13.5795715557668,0.0200000000000031,"Student-t",25,3
"SCP",0.876,6.18311133289698,0,"LogNormal",26,0.25
"RSA-CP (OT) (Ours)",0.8685,6.02123878190705,0,"LogNormal",26,0.25
"SPI",0.862,5.94221105802987,0.0600000000000023,"LogNormal",26,0.25
"Synthetic-only",0.726,4.24938998332325,0.00999999999999801,"LogNormal",26,0.25
"SCP",0.876,6.18311133289698,0,"LogNormal",26,0.5
"RSA-CP (OT) (Ours)",0.8695,6.043294601621,0,"LogNormal",26,0.5
"SPI",0.862,5.94221105802987,0.0499999999999972,"LogNormal",26,0.5
"Synthetic-only",0.8085,5.0624294528277,0,"LogNormal",26,0.5
"SCP",0.876,6.18311133289698,0,"LogNormal",26,1
"RSA-CP (OT) (Ours)",0.8685,6.03684817062935,0,"LogNormal",26,1
"SPI",0.8995,6.6209648565034,0.0600000000000023,"LogNormal",26,1
"Synthetic-only",0.8995,6.61918974723368,0.00999999999999801,"LogNormal",26,1
"SCP",0.876,6.18311133289698,0,"LogNormal",26,1.5
"RSA-CP (OT) (Ours)",0.8695,6.04460452963581,0,"LogNormal",26,1.5
"SPI",0.942,8.33916308779125,0.0399999999999991,"LogNormal",26,1.5
"Synthetic-only",0.941,8.32982555994763,0,"LogNormal",26,1.5
"SCP",0.876,6.18311133289698,0,"LogNormal",26,2
"RSA-CP (OT) (Ours)",0.8695,6.04547060189759,0,"LogNormal",26,2
"SPI",0.9535,8.81497594567345,0.0700000000000003,"LogNormal",26,2
"Synthetic-only",0.9705,10.030198546808,0.019999999999996,"LogNormal",26,2
"SCP",0.876,6.18311133289698,0,"LogNormal",26,3
"RSA-CP (OT) (Ours)",0.8695,6.041847476482,0,"LogNormal",26,3
"SPI",0.9535,8.81497594567345,0.0399999999999991,"LogNormal",26,3
"Synthetic-only",0.9895,13.4010695416222,0,"LogNormal",26,3
"SCP",0.956,6.84552256005727,0,"Student-t",26,0.25
"RSA-CP (OT) (Ours)",0.9455,6.27256032822344,0.019999999999996,"Student-t",26,0.25
"SPI",0.953,6.60387547301216,0.0500000000000043,"Student-t",26,0.25
"Synthetic-only",0.953,6.59668944086428,0,"Student-t",26,0.25
"SCP",0.956,6.84552256005727,0,"Student-t",26,0.5
"RSA-CP (OT) (Ours)",0.9415,6.12206040051044,0,"Student-t",26,0.5
"SPI",0.9455,6.26607518717123,0.0399999999999991,"Student-t",26,0.5
"Synthetic-only",0.9455,6.2566169309054,0,"Student-t",26,0.5
"SCP",0.956,6.84552256005727,0,"Student-t",26,1
"RSA-CP (OT) (Ours)",0.9425,6.16855813131901,0.0200000000000031,"Student-t",26,1
"SPI",0.961,7.14498307384317,0.0499999999999972,"Student-t",26,1
"Synthetic-only",0.9605,7.11174976561985,0,"Student-t",26,1
"SCP",0.956,6.84552256005727,0,"Student-t",26,1.5
"RSA-CP (OT) (Ours)",0.944,6.19220610846698,0,"Student-t",26,1.5
"SPI",0.9765,8.56146071351512,0.0399999999999991,"Student-t",26,1.5
"Synthetic-only",0.9765,8.55800444058108,0,"Student-t",26,1.5
"SCP",0.956,6.84552256005727,0,"Student-t",26,2
"RSA-CP (OT) (Ours)",0.9415,6.14374792751288,0,"Student-t",26,2
"SPI",0.985,9.86855617861267,0.0499999999999972,"Student-t",26,2
"Synthetic-only",0.985,9.86836893104427,0,"Student-t",26,2
"SCP",0.956,6.84552256005727,0,"Student-t",26,3
"RSA-CP (OT) (Ours)",0.9415,6.14567001675977,0,"Student-t",26,3
"SPI",0.996,13.4758298882674,0.0399999999999991,"Student-t",26,3
"Synthetic-only",0.996,13.4515166043805,0,"Student-t",26,3
"SCP",0.9535,8.8933488318108,0,"LogNormal",27,0.25
"RSA-CP (OT) (Ours)",0.946,8.44374041977799,0,"LogNormal",27,0.25
"SPI",0.9375,8.11843057928576,0.0399999999999991,"LogNormal",27,0.25
"Synthetic-only",0.7305,4.32456471992448,0,"LogNormal",27,0.25
"SCP",0.9535,8.8933488318108,0,"LogNormal",27,0.5
"RSA-CP (OT) (Ours)",0.946,8.4324519967569,0.019999999999996,"LogNormal",27,0.5
"SPI",0.9375,8.11843057928576,0.0500000000000043,"LogNormal",27,0.5
"Synthetic-only",0.8045,5.02433026259714,0,"LogNormal",27,0.5
"SCP",0.9535,8.8933488318108,0,"LogNormal",27,1
"RSA-CP (OT) (Ours)",0.946,8.48607725714235,0.00999999999999801,"LogNormal",27,1
"SPI",0.9375,8.11843057928576,0.0300000000000011,"LogNormal",27,1
"Synthetic-only",0.9005,6.63710244781523,0,"LogNormal",27,1
"SCP",0.9535,8.8933488318108,0,"LogNormal",27,1.5
"RSA-CP (OT) (Ours)",0.946,8.43804889463313,0,"LogNormal",27,1.5
"SPI",0.941,8.32293330489538,0.0700000000000003,"LogNormal",27,1.5
"Synthetic-only",0.941,8.32066472125403,0.019999999999996,"LogNormal",27,1.5
"SCP",0.9535,8.8933488318108,0,"LogNormal",27,2
"RSA-CP (OT) (Ours)",0.946,8.45153066948723,0.00999999999999801,"LogNormal",27,2
"SPI",0.9565,9.02321280152746,0.0300000000000011,"LogNormal",27,2
"Synthetic-only",0.972,10.1350097286159,0,"LogNormal",27,2
"SCP",0.9535,8.8933488318108,0,"LogNormal",27,3
"RSA-CP (OT) (Ours)",0.943,8.36967831153145,0,"LogNormal",27,3
"SPI",0.9565,9.02321280152746,0.0499999999999972,"LogNormal",27,3
"Synthetic-only",0.9865,12.9217930230103,0,"LogNormal",27,3
"SCP",0.991,11.6623993992939,0,"Student-t",27,0.25
"RSA-CP (OT) (Ours)",0.9625,7.29439872020235,0.00999999999999801,"Student-t",27,0.25
"SPI",0.9445,6.25391545644554,0.0500000000000043,"Student-t",27,0.25
"Synthetic-only",0.9445,6.25329919490973,0,"Student-t",27,0.25
"SCP",0.991,11.6623993992939,0,"Student-t",27,0.5
"RSA-CP (OT) (Ours)",0.968,7.82811577590136,0,"Student-t",27,0.5
"SPI",0.947,6.30549575256224,0.0499999999999972,"Student-t",27,0.5
"Synthetic-only",0.9455,6.2853371511064,0,"Student-t",27,0.5
"SCP",0.991,11.6623993992939,0,"Student-t",27,1
"RSA-CP (OT) (Ours)",0.971,7.98900402407344,0.00999999999999801,"Student-t",27,1
"SPI",0.967,7.78868007329521,0.0300000000000011,"Student-t",27,1
"Synthetic-only",0.967,7.7714873836898,0,"Student-t",27,1
"SCP",0.991,11.6623993992939,0,"Student-t",27,1.5
"RSA-CP (OT) (Ours)",0.975,8.39983576839051,0,"Student-t",27,1.5
"SPI",0.9775,8.7424610352897,0.0399999999999991,"Student-t",27,1.5
"Synthetic-only",0.9775,8.69056346833809,0,"Student-t",27,1.5
"SCP",0.991,11.6623993992939,0,"Student-t",27,2
"RSA-CP (OT) (Ours)",0.973,8.28698446302382,0,"Student-t",27,2
"SPI",0.9875,10.4807113031782,0.0499999999999972,"Student-t",27,2
"Synthetic-only",0.9875,10.477674444147,0,"Student-t",27,2
"SCP",0.991,11.6623993992939,0,"Student-t",27,3
"RSA-CP (OT) (Ours)",0.977,8.63284021887756,0,"Student-t",27,3
"SPI",0.996,13.5625356185597,0.0600000000000023,"Student-t",27,3
"Synthetic-only",0.996,13.5599650716966,0.0200000000000031,"Student-t",27,3
"SCP",0.998,19.5775713828218,0,"LogNormal",28,0.25
"RSA-CP (OT) (Ours)",0.9885,13.156942410792,0.019999999999996,"LogNormal",28,0.25
"SPI",0.9625,9.2948666107975,0.0500000000000043,"LogNormal",28,0.25
"Synthetic-only",0.7275,4.28300178963622,0,"LogNormal",28,0.25
"SCP",0.998,19.5775713828218,0,"LogNormal",28,0.5
"RSA-CP (OT) (Ours)",0.9905,13.82506839259,0,"LogNormal",28,0.5
"SPI",0.9625,9.2948666107975,0.0399999999999991,"LogNormal",28,0.5
"Synthetic-only",0.8055,5.03540944255051,0,"LogNormal",28,0.5
"SCP",0.998,19.5775713828218,0,"LogNormal",28,1
"RSA-CP (OT) (Ours)",0.9895,13.4139139422528,0.0200000000000031,"LogNormal",28,1
"SPI",0.9625,9.2948666107975,0.029999999999994,"LogNormal",28,1
"Synthetic-only",0.897,6.54121310543621,0,"LogNormal",28,1
"SCP",0.998,19.5775713828218,0,"LogNormal",28,1.5
"RSA-CP (OT) (Ours)",0.9915,14.0563427709047,0,"LogNormal",28,1.5
"SPI",0.9625,9.2948666107975,0.0399999999999991,"LogNormal",28,1.5
"Synthetic-only",0.939,8.26508054355459,0,"LogNormal",28,1.5
"SCP",0.998,19.5775713828218,0,"LogNormal",28,2
"RSA-CP (OT) (Ours)",0.9905,13.7736740862979,0.0200000000000031,"LogNormal",28,2
"SPI",0.9705,10.0744086696435,0.0499999999999972,"LogNormal",28,2
"Synthetic-only",0.9705,10.0723476935637,0,"LogNormal",28,2
"SCP",0.998,19.5775713828218,0,"LogNormal",28,3
"RSA-CP (OT) (Ours)",0.9905,13.7229677030577,0,"LogNormal",28,3
"SPI",0.99,13.4532572596405,0.0399999999999991,"LogNormal",28,3
"Synthetic-only",0.9895,13.4176306886476,0,"LogNormal",28,3
"SCP",0.985,9.97287165439226,0,"Student-t",28,0.25
"RSA-CP (OT) (Ours)",0.972,8.0837123640386,0.0200000000000031,"Student-t",28,0.25
"SPI",0.954,6.75139322720121,0.0399999999999991,"Student-t",28,0.25
"Synthetic-only",0.953,6.57891447208862,0,"Student-t",28,0.25
"SCP",0.985,9.97287165439226,0,"Student-t",28,0.5
"RSA-CP (OT) (Ours)",0.97,7.94817381706977,0,"Student-t",28,0.5
"SPI",0.96,7.06662838992304,0.0499999999999972,"Student-t",28,0.5
"Synthetic-only",0.959,7.04346749960645,0,"Student-t",28,0.5
"SCP",0.985,9.97287165439226,0,"Student-t",28,1
"RSA-CP (OT) (Ours)",0.97,7.94291999022473,0.0200000000000031,"Student-t",28,1
"SPI",0.964,7.52131509063474,0.0399999999999991,"Student-t",28,1
"Synthetic-only",0.964,7.4942331709622,0,"Student-t",28,1
"SCP",0.985,9.97287165439226,0,"Student-t",28,1.5
"RSA-CP (OT) (Ours)",0.966,7.72897211069926,0,"Student-t",28,1.5
"SPI",0.9775,8.75201263089099,0.0499999999999972,"Student-t",28,1.5
"Synthetic-only",0.9775,8.6942716696897,0,"Student-t",28,1.5
"SCP",0.985,9.97287165439226,0,"Student-t",28,2
"RSA-CP (OT) (Ours)",0.971,8.02991047217663,0,"Student-t",28,2
"SPI",0.985,10.0470727788236,0.0500000000000043,"Student-t",28,2
"Synthetic-only",0.985,10.019094039529,0,"Student-t",28,2
"SCP",0.985,9.97287165439226,0,"Student-t",28,3
"RSA-CP (OT) (Ours)",0.971,8.03224706447589,0,"Student-t",28,3
"SPI",0.991,11.6550580096284,0.0499999999999972,"Student-t",28,3
"Synthetic-only",0.996,13.4251357786801,0,"Student-t",28,3
"SCP",0.9525,8.75388058054443,0,"LogNormal",29,0.25
"RSA-CP (OT) (Ours)",0.922,7.59436792599125,0.0200000000000031,"LogNormal",29,0.25
"SPI",0.8795,6.24734030875273,0.0399999999999991,"LogNormal",29,0.25
"Synthetic-only",0.73,4.31396259049587,0,"LogNormal",29,0.25
"SCP",0.9525,8.75388058054443,0,"LogNormal",29,0.5
"RSA-CP (OT) (Ours)",0.918,7.34308369314595,0,"LogNormal",29,0.5
"SPI",0.8795,6.24734030875273,0.0499999999999972,"LogNormal",29,0.5
"Synthetic-only",0.8055,5.03813581611576,0,"LogNormal",29,0.5
"SCP",0.9525,8.75388058054443,0,"LogNormal",29,1
"RSA-CP (OT) (Ours)",0.918,7.34308369314595,0,"LogNormal",29,1
"SPI",0.902,6.72643828209218,0.0600000000000023,"LogNormal",29,1
"Synthetic-only",0.902,6.72613929840277,0.0200000000000031,"LogNormal",29,1
"SCP",0.9525,8.75388058054443,0,"LogNormal",29,1.5
"RSA-CP (OT) (Ours)",0.921,7.48268604472668,0.0200000000000031,"LogNormal",29,1.5
"SPI",0.939,8.25154917777109,0.0399999999999991,"LogNormal",29,1.5
"Synthetic-only",0.939,8.24717734179523,0,"LogNormal",29,1.5
"SCP",0.9525,8.75388058054443,0,"LogNormal",29,2
"RSA-CP (OT) (Ours)",0.9135,7.20348134156523,0,"LogNormal",29,2
"SPI",0.9705,10.0326705146506,0.0499999999999972,"LogNormal",29,2
"Synthetic-only",0.9705,10.0175191842081,0,"LogNormal",29,2
"SCP",0.9525,8.75388058054443,0,"LogNormal",29,3
"RSA-CP (OT) (Ours)",0.9205,7.44359275690482,0.0200000000000031,"LogNormal",29,3
"SPI",0.9885,13.1626750956341,0.0399999999999991,"LogNormal",29,3
"Synthetic-only",0.9885,13.1412681312531,0,"LogNormal",29,3
"SCP",0.874,4.34157550403024,0,"Student-t",29,0.25
"RSA-CP (OT) (Ours)",0.855,3.97554631764066,0,"Student-t",29,0.25
"SPI",0.949,6.40550296144597,0.0499999999999972,"Student-t",29,0.25
"Synthetic-only",0.949,6.39601852144958,0,"Student-t",29,0.25
"SCP",0.874,4.34157550403024,0,"Student-t",29,0.5
"RSA-CP (OT) (Ours)",0.8585,4.04816972572164,0,"Student-t",29,0.5
"SPI",0.954,6.74394506908269,0.0500000000000043,"Student-t",29,0.5
"Synthetic-only",0.956,6.85649925924715,0,"Student-t",29,0.5
"SCP",0.874,4.34157550403024,0,"Student-t",29,1
"RSA-CP (OT) (Ours)",0.8575,4.02458985415751,0,"Student-t",29,1
"SPI",0.954,6.74394506908269,0.0499999999999972,"Student-t",29,1
"Synthetic-only",0.957,6.92493527596117,0,"Student-t",29,1
"SCP",0.874,4.34157550403024,0,"Student-t",29,1.5
"RSA-CP (OT) (Ours)",0.8595,4.06875037854248,0,"Student-t",29,1.5
"SPI",0.954,6.74394506908269,0.0600000000000023,"Student-t",29,1.5
"Synthetic-only",0.975,8.41577453045639,0,"Student-t",29,1.5
"SCP",0.874,4.34157550403024,0,"Student-t",29,2
"RSA-CP (OT) (Ours)",0.857,4.01239221848536,0,"Student-t",29,2
"SPI",0.954,6.74394506908269,0.0499999999999972,"Student-t",29,2
"Synthetic-only",0.985,9.9244373096418,0,"Student-t",29,2
"SCP",0.874,4.34157550403024,0,"Student-t",29,3
"RSA-CP (OT) (Ours)",0.8575,4.02583892935007,0,"Student-t",29,3
"SPI",0.954,6.74394506908269,0.0500000000000043,"Student-t",29,3
"Synthetic-only",0.9955,13.3648330617073,0,"Student-t",29,3
"SCP",0.935,8.07107395483743,0,"LogNormal",30,0.25
"RSA-CP (OT) (Ours)",0.91,7.04085016505562,0,"LogNormal",30,0.25
"SPI",0.879,6.2291183517283,0.0600000000000023,"LogNormal",30,0.25
"Synthetic-only",0.7265,4.26716570629344,0,"LogNormal",30,0.25
"SCP",0.935,8.07107395483743,0,"LogNormal",30,0.5
"RSA-CP (OT) (Ours)",0.916,7.27343080113853,0,"LogNormal",30,0.5
"SPI",0.879,6.2291183517283,0.0499999999999972,"LogNormal",30,0.5
"Synthetic-only",0.8055,5.03153152161237,0,"LogNormal",30,0.5
"SCP",0.935,8.07107395483743,0,"LogNormal",30,1
"RSA-CP (OT) (Ours)",0.909,6.99123550826087,0,"LogNormal",30,1
"SPI",0.899,6.60140996021128,0.0600000000000023,"LogNormal",30,1
"Synthetic-only",0.8985,6.59092942413811,0.0200000000000031,"LogNormal",30,1
"SCP",0.935,8.07107395483743,0,"LogNormal",30,1.5
"RSA-CP (OT) (Ours)",0.9095,7.01517253789187,0,"LogNormal",30,1.5
"SPI",0.9435,8.3844362970653,0.0700000000000003,"LogNormal",30,1.5
"Synthetic-only",0.943,8.37163861594691,0.019999999999996,"LogNormal",30,1.5
"SCP",0.935,8.07107395483743,0,"LogNormal",30,2
"RSA-CP (OT) (Ours)",0.91,7.04011244808532,0.00999999999999801,"LogNormal",30,2
"SPI",0.946,8.45042977767936,0.0500000000000043,"LogNormal",30,2
"Synthetic-only",0.968,9.81136504505651,0,"LogNormal",30,2
"SCP",0.935,8.07107395483743,0,"LogNormal",30,3
"RSA-CP (OT) (Ours)",0.909,6.99115165812628,0,"LogNormal",30,3
"SPI",0.946,8.45042977767936,0.0499999999999972,"LogNormal",30,3
"Synthetic-only",0.9875,12.9768175320373,0,"LogNormal",30,3
"SCP",0.997,16.8232167081016,0,"Student-t",30,0.25
"RSA-CP (OT) (Ours)",0.988,10.8482366491217,0.00999999999999801,"Student-t",30,0.25
"SPI",0.9625,7.21811671067328,0.0500000000000043,"Student-t",30,0.25
"Synthetic-only",0.9455,6.25922584293683,0,"Student-t",30,0.25
"SCP",0.997,16.8232167081016,0,"Student-t",30,0.5
"RSA-CP (OT) (Ours)",0.989,10.8899744952576,0,"Student-t",30,0.5
"SPI",0.9625,7.21811671067328,0.0499999999999972,"Student-t",30,0.5
"Synthetic-only",0.94,6.03893530064992,0,"Student-t",30,0.5
"SCP",0.997,16.8232167081016,0,"Student-t",30,1
"RSA-CP (OT) (Ours)",0.99,11.1270493453682,0.00999999999999801,"Student-t",30,1
"SPI",0.9655,7.63487580049162,0.0300000000000011,"Student-t",30,1
"Synthetic-only",0.9655,7.63076796001001,0,"Student-t",30,1
"SCP",0.997,16.8232167081016,0,"Student-t",30,1.5
"RSA-CP (OT) (Ours)",0.9905,11.2082309699342,0,"Student-t",30,1.5
"SPI",0.977,8.656100041756,0.0399999999999991,"Student-t",30,1.5
"Synthetic-only",0.9765,8.61925376210661,0,"Student-t",30,1.5
"SCP",0.997,16.8232167081016,0,"Student-t",30,2
"RSA-CP (OT) (Ours)",0.99,11.1936131501786,0,"Student-t",30,2
"SPI",0.986,10.1928389395945,0.0499999999999972,"Student-t",30,2
"Synthetic-only",0.986,10.1746134686159,0,"Student-t",30,2
"SCP",0.997,16.8232167081016,0,"Student-t",30,3
"RSA-CP (OT) (Ours)",0.9905,11.5671050233315,0.0200000000000031,"Student-t",30,3
"SPI",0.996,13.6104077615624,0.0399999999999991,"Student-t",30,3
"Synthetic-only",0.996,13.6084665464188,0,"Student-t",30,3
"SCP",0.923,7.63785522867146,0,"LogNormal",31,0.25
"RSA-CP (OT) (Ours)",0.915,7.22923244781117,0.019999999999996,"LogNormal",31,0.25
"SPI",0.908,6.92851800584526,0.0300000000000011,"LogNormal",31,0.25
"Synthetic-only",0.7265,4.27098833259684,0.0200000000000031,"LogNormal",31,0.25
"SCP",0.923,7.63785522867146,0,"LogNormal",31,0.5
"RSA-CP (OT) (Ours)",0.916,7.27213590447473,0,"LogNormal",31,0.5
"SPI",0.908,6.92851800584526,0.0399999999999991,"LogNormal",31,0.5
"Synthetic-only",0.802,5.00336311574512,0,"LogNormal",31,0.5
"SCP",0.923,7.63785522867146,0,"LogNormal",31,1
"RSA-CP (OT) (Ours)",0.915,7.21637389566332,0.0200000000000031,"LogNormal",31,1
"SPI",0.908,6.92851800584526,0.0499999999999972,"LogNormal",31,1
"Synthetic-only",0.9045,6.78707343356557,0,"LogNormal",31,1
"SCP",0.923,7.63785522867146,0,"LogNormal",31,1.5
"RSA-CP (OT) (Ours)",0.916,7.26935217832674,0,"LogNormal",31,1.5
"SPI",0.9405,8.29104375208616,0.0399999999999991,"LogNormal",31,1.5
"Synthetic-only",0.9405,8.28502155453414,0,"LogNormal",31,1.5
"SCP",0.923,7.63785522867146,0,"LogNormal",31,2
"RSA-CP (OT) (Ours)",0.916,7.27876499291671,0.0200000000000031,"LogNormal",31,2
"SPI",0.9495,8.57354075660295,0.029999999999994,"LogNormal",31,2
"Synthetic-only",0.9705,9.97133911051174,0.0200000000000031,"LogNormal",31,2
"SCP",0.923,7.63785522867146,0,"LogNormal",31,3
"RSA-CP (OT) (Ours)",0.9135,7.19005363669149,0,"LogNormal",31,3
"SPI",0.9495,8.57354075660295,0.0399999999999991,"LogNormal",31,3
"Synthetic-only",0.9885,13.1921700394891,0,"LogNormal",31,3
"SCP",0.918,5.33736839945951,0,"Student-t",31,0.25
"RSA-CP (OT) (Ours)",0.916,5.27890284707699,0.0200000000000031,"Student-t",31,0.25
"SPI",0.923,5.48210926701486,0.0300000000000011,"Student-t",31,0.25
"Synthetic-only",0.956,6.83740335116942,0,"Student-t",31,0.25
"SCP",0.918,5.33736839945951,0,"Student-t",31,0.5
"RSA-CP (OT) (Ours)",0.9165,5.31129302215546,0,"Student-t",31,0.5
"SPI",0.923,5.48210926701486,0.0599999999999952,"Student-t",31,0.5
"Synthetic-only",0.954,6.66396534252739,0.00999999999999801,"Student-t",31,0.5
"SCP",0.918,5.33736839945951,0,"Student-t",31,1
"RSA-CP (OT) (Ours)",0.916,5.27956535798802,0,"Student-t",31,1
"SPI",0.923,5.48210926701486,0.0500000000000043,"Student-t",31,1
"Synthetic-only",0.9615,7.1743749233145,0,"Student-t",31,1
"SCP",0.918,5.33736839945951,0,"Student-t",31,1.5
"RSA-CP (OT) (Ours)",0.9155,5.26930229291375,0.00999999999999801,"Student-t",31,1.5
"SPI",0.923,5.48210926701486,0.0499999999999972,"Student-t",31,1.5
"Synthetic-only",0.9745,8.38193191529455,0,"Student-t",31,1.5
"SCP",0.918,5.33736839945951,0,"Student-t",31,2
"RSA-CP (OT) (Ours)",0.9155,5.2675521125988,0,"Student-t",31,2
"SPI",0.923,5.48210926701486,0.0500000000000043,"Student-t",31,2
"Synthetic-only",0.985,9.83941963014951,0,"Student-t",31,2
"SCP",0.918,5.33736839945951,0,"Student-t",31,3
"RSA-CP (OT) (Ours)",0.916,5.28487844995471,0.00999999999999801,"Student-t",31,3
"SPI",0.923,5.48210926701486,0.0499999999999972,"Student-t",31,3
"Synthetic-only",0.996,13.9284247628868,0,"Student-t",31,3
"SCP",0.946,8.45558725514155,0,"LogNormal",32,0.25
"RSA-CP (OT) (Ours)",0.9405,8.29902137386651,0.0200000000000031,"LogNormal",32,0.25
"SPI",0.939,8.22239918141891,0.0399999999999991,"LogNormal",32,0.25
"Synthetic-only",0.726,4.26376520328996,0,"LogNormal",32,0.25
"SCP",0.946,8.45558725514155,0,"LogNormal",32,0.5
"RSA-CP (OT) (Ours)",0.9405,8.31400155685183,0,"LogNormal",32,0.5
"SPI",0.939,8.22239918141891,0.0499999999999972,"LogNormal",32,0.5
"Synthetic-only",0.809,5.07954105104259,0,"LogNormal",32,0.5
"SCP",0.946,8.45558725514155,0,"LogNormal",32,1
"RSA-CP (OT) (Ours)",0.9405,8.31400155685183,0.0200000000000031,"LogNormal",32,1
"SPI",0.939,8.22239918141891,0.0399999999999991,"LogNormal",32,1
"Synthetic-only",0.8945,6.48589330485283,0,"LogNormal",32,1
"SCP",0.946,8.45558725514155,0,"LogNormal",32,1.5
"RSA-CP (OT) (Ours)",0.9405,8.31174772080552,0.0200000000000031,"LogNormal",32,1.5
"SPI",0.939,8.22239918141891,0.0399999999999991,"LogNormal",32,1.5
"Synthetic-only",0.939,8.19697092310872,0,"LogNormal",32,1.5
"SCP",0.946,8.45558725514155,0,"LogNormal",32,2
"RSA-CP (OT) (Ours)",0.941,8.32985259660711,0,"LogNormal",32,2
