"Cov","Width","Dataset","Trial","Score_Distribution"
0.9855,9.76253059679023,"Student-t",11,"RSA-CP Beta"
0.988,13.7245114484162,"LogNormal",12,"SCP"
0.98,11.1151631694999,"LogNormal",12,"RSA-CP Gamma"
0.9805,11.3099062282291,"LogNormal",12,"RSA-CP Normal"
0.982,11.7981987235065,"LogNormal",12,"RSA-CP Beta"
0.9935,11.8269914269168,"Student-t",12,"SCP"
0.9835,9.18132276659506,"Student-t",12,"RSA-CP Gamma"
0.984,9.28933733005119,"Student-t",12,"RSA-CP Normal"
0.9835,9.06909839538008,"Student-t",12,"RSA-CP Beta"
0.9735,10.0701137521879,"LogNormal",13,"SCP"
0.9435,7.40262103693095,"LogNormal",13,"RSA-CP Gamma"
0.9515,7.88699481014469,"LogNormal",13,"RSA-CP Normal"
0.944,7.41548405879734,"LogNormal",13,"RSA-CP Beta"
0.9795,8.50893582242168,"Student-t",13,"SCP"
0.948,6.21341300061884,"Student-t",13,"RSA-CP Gamma"
0.9565,6.60428150437255,"Student-t",13,"RSA-CP Normal"
0.9525,6.38914307738696,"Student-t",13,"RSA-CP Beta"
0.994,18.8126434919874,"LogNormal",14,"SCP"
0.99,16.3859400624462,"LogNormal",14,"RSA-CP Gamma"
0.99,16.360991094786,"LogNormal",14,"RSA-CP Normal"
0.99,16.2679288791862,"LogNormal",14,"RSA-CP Beta"
0.9665,7.40968836190148,"Student-t",14,"SCP"
0.962,6.93466429244168,"Student-t",14,"RSA-CP Gamma"
0.962,6.97413412417168,"Student-t",14,"RSA-CP Normal"
0.962,6.99076404135915,"Student-t",14,"RSA-CP Beta"
0.9815,11.6678504515602,"LogNormal",15,"SCP"
0.969,9.63271238281943,"LogNormal",15,"RSA-CP Gamma"
0.969,9.61310441941939,"LogNormal",15,"RSA-CP Normal"
0.9685,9.57612294776051,"LogNormal",15,"RSA-CP Beta"
0.884,4.40674005140469,"Student-t",15,"SCP"
0.8835,4.39369690685287,"Student-t",15,"RSA-CP Gamma"
0.8835,4.39724547029474,"Student-t",15,"RSA-CP Normal"
0.8835,4.39894854084945,"Student-t",15,"RSA-CP Beta"
0.979,10.5455875467658,"LogNormal",16,"SCP"
0.9595,8.68438437363372,"LogNormal",16,"RSA-CP Gamma"
0.9575,8.49183808904281,"LogNormal",16,"RSA-CP Normal"
0.959,8.6183122733477,"LogNormal",16,"RSA-CP Beta"
0.9235,5.35152798796979,"Student-t",16,"SCP"
0.8985,4.65507850365734,"Student-t",16,"RSA-CP Gamma"
0.896,4.57828619290909,"Student-t",16,"RSA-CP Normal"
0.9015,4.70655304295527,"Student-t",16,"RSA-CP Beta"
0.947,7.56392957307292,"LogNormal",17,"SCP"
0.939,7.30388316639746,"LogNormal",17,"RSA-CP Gamma"
0.939,7.29984249992686,"LogNormal",17,"RSA-CP Normal"
0.939,7.31262212177451,"LogNormal",17,"RSA-CP Beta"
0.983,9.01901340347491,"Student-t",17,"SCP"
0.9825,8.8830811667433,"Student-t",17,"RSA-CP Gamma"
0.9825,8.89443546574985,"Student-t",17,"RSA-CP Normal"
0.983,8.90070937641812,"Student-t",17,"RSA-CP Beta"
0.953,8.04947800592909,"LogNormal",18,"SCP"
0.916,6.66213198513801,"LogNormal",18,"RSA-CP Gamma"
0.9175,6.78820750173222,"LogNormal",18,"RSA-CP Normal"
0.91,6.56170539843763,"LogNormal",18,"RSA-CP Beta"
0.951,6.36444441884323,"Student-t",18,"SCP"
0.946,6.10217975432233,"Student-t",18,"RSA-CP Gamma"
0.946,6.1322659555393,"Student-t",18,"RSA-CP Normal"
0.946,6.12704788150727,"Student-t",18,"RSA-CP Beta"
0.918,6.84337007055796,"LogNormal",19,"SCP"
0.917,6.75585361813467,"LogNormal",19,"RSA-CP Gamma"
0.917,6.76428122195278,"LogNormal",19,"RSA-CP Normal"
0.917,6.7712405004728,"LogNormal",19,"RSA-CP Beta"
0.946,6.12584638669704,"Student-t",19,"SCP"
0.912,5.02179464788238,"Student-t",19,"RSA-CP Gamma"
0.917,5.1752441362349,"Student-t",19,"RSA-CP Normal"
0.916,5.15796391521786,"Student-t",19,"RSA-CP Beta"
0.978,10.4493231637083,"LogNormal",20,"SCP"
0.955,8.17489446402154,"LogNormal",20,"RSA-CP Gamma"
0.953,7.99946373097013,"LogNormal",20,"RSA-CP Normal"
0.957,8.44304432314154,"LogNormal",20,"RSA-CP Beta"
0.927,5.56767642757304,"Student-t",20,"SCP"
0.923,5.33564971811151,"Student-t",20,"RSA-CP Gamma"
0.9255,5.3990354675076,"Student-t",20,"RSA-CP Normal"
0.923,5.3365171241051,"Student-t",20,"RSA-CP Beta"
0.969,9.65403350455178,"LogNormal",21,"SCP"
0.953,8.04899256549527,"LogNormal",21,"RSA-CP Gamma"
0.955,8.21595111497106,"LogNormal",21,"RSA-CP Normal"
0.9565,8.31672155421356,"LogNormal",21,"RSA-CP Beta"
0.946,6.08326049137032,"Student-t",21,"SCP"
0.94,5.92295245629902,"Student-t",21,"RSA-CP Gamma"
0.94,5.91803239366317,"Student-t",21,"RSA-CP Normal"
0.9395,5.89390327683336,"Student-t",21,"RSA-CP Beta"
0.979,10.5800576680381,"LogNormal",22,"SCP"
0.9665,9.17473463025427,"LogNormal",22,"RSA-CP Gamma"
0.967,9.2770585038749,"LogNormal",22,"RSA-CP Normal"
0.9675,9.35736947573184,"LogNormal",22,"RSA-CP Beta"
0.926,5.4129758498887,"Student-t",22,"SCP"
0.9185,5.1859506419265,"Student-t",22,"RSA-CP Gamma"
0.916,5.16912718740646,"Student-t",22,"RSA-CP Normal"
0.919,5.21207297761448,"Student-t",22,"RSA-CP Beta"
0.942,7.35388001508767,"LogNormal",23,"SCP"
0.929,7.09354740498398,"LogNormal",23,"RSA-CP Gamma"
0.93,7.12419129968974,"LogNormal",23,"RSA-CP Normal"
0.931,7.14500344020199,"LogNormal",23,"RSA-CP Beta"
0.9715,7.79005488442854,"Student-t",23,"SCP"
0.9625,7.03868676371072,"Student-t",23,"RSA-CP Gamma"
0.9635,7.08542669460169,"Student-t",23,"RSA-CP Normal"
0.962,7.00546996124013,"Student-t",23,"RSA-CP Beta"
0.978,10.4534789858358,"LogNormal",24,"SCP"
0.963,8.86834537012487,"LogNormal",24,"RSA-CP Gamma"
0.9665,9.13997142538431,"LogNormal",24,"RSA-CP Normal"
0.9665,9.16993756306385,"LogNormal",24,"RSA-CP Beta"
0.984,9.21850892866889,"Student-t",24,"SCP"
0.9745,8.16551576927986,"Student-t",24,"RSA-CP Gamma"
0.9775,8.32195383139893,"Student-t",24,"RSA-CP Normal"
0.9775,8.31984908014269,"Student-t",24,"RSA-CP Beta"
0.979,10.7197383946277,"LogNormal",25,"SCP"
0.9775,10.4379420060225,"LogNormal",25,"RSA-CP Gamma"
0.977,10.40254184084,"LogNormal",25,"RSA-CP Normal"
0.977,10.4023056462898,"LogNormal",25,"RSA-CP Beta"
0.996,13.3416273137292,"Student-t",25,"SCP"
0.988,10.4853829435261,"Student-t",25,"RSA-CP Gamma"
0.988,10.480680437571,"Student-t",25,"RSA-CP Normal"
0.9885,10.6095095411767,"Student-t",25,"RSA-CP Beta"
0.9665,9.08113980793706,"LogNormal",26,"SCP"
0.9485,7.66600505122738,"LogNormal",26,"RSA-CP Gamma"
0.9485,7.67873135343199,"LogNormal",26,"RSA-CP Normal"
0.9485,7.72506442280824,"LogNormal",26,"RSA-CP Beta"
0.9665,7.39065297597626,"Student-t",26,"SCP"
0.935,5.80268031881886,"Student-t",26,"RSA-CP Gamma"
0.936,5.8199254000419,"Student-t",26,"RSA-CP Normal"
0.9355,5.80891287087744,"Student-t",26,"RSA-CP Beta"
0.9735,10.0830323081333,"LogNormal",27,"SCP"
0.957,8.38520980624764,"LogNormal",27,"RSA-CP Gamma"
0.9585,8.5884898822388,"LogNormal",27,"RSA-CP Normal"
0.957,8.43552224990316,"LogNormal",27,"RSA-CP Beta"
0.9665,7.3908669602746,"Student-t",27,"SCP"
0.9585,6.72499832177799,"Student-t",27,"RSA-CP Gamma"
0.9605,6.76938387384956,"Student-t",27,"RSA-CP Normal"
0.9615,6.84636141217326,"Student-t",27,"RSA-CP Beta"
0.855,5.47045402295762,"LogNormal",28,"SCP"
0.8435,5.2952248883997,"LogNormal",28,"RSA-CP Gamma"
0.844,5.31236879997565,"LogNormal",28,"RSA-CP Normal"
0.8445,5.31913981529328,"LogNormal",28,"RSA-CP Beta"
0.906,4.85449023898088,"Student-t",28,"SCP"
0.9005,4.6673185360981,"Student-t",28,"RSA-CP Gamma"
0.901,4.68566056180819,"Student-t",28,"RSA-CP Normal"
0.901,4.69215479100856,"Student-t",28,"RSA-CP Beta"
0.9055,6.47724854815302,"LogNormal",29,"SCP"
0.902,6.40884881740638,"LogNormal",29,"RSA-CP Gamma"
0.902,6.41762215419276,"LogNormal",29,"RSA-CP Normal"
0.902,6.41398345708296,"LogNormal",29,"RSA-CP Beta"
0.8685,4.18507810344096,"Student-t",29,"SCP"
0.8535,3.98089764661747,"Student-t",29,"RSA-CP Gamma"
0.8535,3.96971593675331,"Student-t",29,"RSA-CP Normal"
0.854,3.98389349367028,"Student-t",29,"RSA-CP Beta"
0.947,7.58265723993032,"LogNormal",30,"SCP"
0.9455,7.45368922064689,"LogNormal",30,"RSA-CP Gamma"
0.946,7.4748738397606,"LogNormal",30,"RSA-CP Normal"
0.946,7.48396474910603,"LogNormal",30,"RSA-CP Beta"
0.9675,7.44172116151411,"Student-t",30,"SCP"
0.965,7.14738063782874,"Student-t",30,"RSA-CP Gamma"
0.965,7.16033679784851,"Student-t",30,"RSA-CP Normal"
0.965,7.16640767188663,"Student-t",30,"RSA-CP Beta"
0.9765,10.3500625558401,"LogNormal",31,"SCP"
0.961,8.77770002134018,"LogNormal",31,"RSA-CP Gamma"
0.9615,8.81258115213834,"LogNormal",31,"RSA-CP Normal"
0.963,8.86697980122562,"LogNormal",31,"RSA-CP Beta"
0.987,10.3570810452201,"Student-t",31,"SCP"
0.983,8.9525175476259,"Student-t",31,"RSA-CP Gamma"
0.983,8.94656795456562,"Student-t",31,"RSA-CP Normal"
0.9825,8.85333757737561,"Student-t",31,"RSA-CP Beta"
0.8945,6.24888470870226,"LogNormal",32,"SCP"
