"Cov","Width","Dataset","Trial","Score_Distribution"
0.906,4.83948916010715,"Student-t",55,"RSA-CP Normal"
0.905,4.82954842085946,"Student-t",55,"RSA-CP Beta"
0.981,11.6546200692675,"LogNormal",56,"SCP"
0.965,8.95505106815328,"LogNormal",56,"RSA-CP Gamma"
0.9695,9.7650829511233,"LogNormal",56,"RSA-CP Normal"
0.9675,9.30734468778939,"LogNormal",56,"RSA-CP Beta"
0.928,5.60403284431014,"Student-t",56,"SCP"
0.915,5.11687546628349,"Student-t",56,"RSA-CP Gamma"
0.917,5.17278683613899,"Student-t",56,"RSA-CP Normal"
0.913,5.087972387755,"Student-t",56,"RSA-CP Beta"
0.9515,7.90235351018227,"LogNormal",57,"SCP"
0.9285,7.08408376413132,"LogNormal",57,"RSA-CP Gamma"
0.928,7.02746419684505,"LogNormal",57,"RSA-CP Normal"
0.9285,7.07970936094379,"LogNormal",57,"RSA-CP Beta"
0.9875,10.401816502851,"Student-t",57,"SCP"
0.9795,8.4439441606655,"Student-t",57,"RSA-CP Gamma"
0.9805,8.58922577744411,"Student-t",57,"RSA-CP Normal"
0.9815,8.70215761077244,"Student-t",57,"RSA-CP Beta"
0.953,7.97361369378681,"LogNormal",58,"SCP"
0.949,7.73898209925377,"LogNormal",58,"RSA-CP Gamma"
0.949,7.74662245212576,"LogNormal",58,"RSA-CP Normal"
0.9495,7.76337515279802,"LogNormal",58,"RSA-CP Beta"
0.9615,6.85396911100306,"Student-t",58,"SCP"
0.951,6.33095684783693,"Student-t",58,"RSA-CP Gamma"
0.949,6.2693671652563,"Student-t",58,"RSA-CP Normal"
0.9525,6.39638403867375,"Student-t",58,"RSA-CP Beta"
0.9915,17.4857551720229,"LogNormal",59,"SCP"
0.9845,12.5343390198852,"LogNormal",59,"RSA-CP Gamma"
0.984,12.2278996093521,"LogNormal",59,"RSA-CP Normal"
0.9795,10.9965355658935,"LogNormal",59,"RSA-CP Beta"
0.9775,8.29933089293177,"Student-t",59,"SCP"
0.97,7.682025272659,"Student-t",59,"RSA-CP Gamma"
0.9715,7.79838938941551,"Student-t",59,"RSA-CP Normal"
0.971,7.75444647519041,"Student-t",59,"RSA-CP Beta"
0.967,9.25136982119149,"LogNormal",60,"SCP"
0.9665,9.01012101343581,"LogNormal",60,"RSA-CP Gamma"
0.9665,9.00760230541614,"LogNormal",60,"RSA-CP Normal"
0.9665,9.04792657742852,"LogNormal",60,"RSA-CP Beta"
0.994,11.9162839623621,"Student-t",60,"SCP"
0.9855,9.79218754061338,"Student-t",60,"RSA-CP Gamma"
0.9865,10.0444001385038,"Student-t",60,"RSA-CP Normal"
0.986,9.97101651295478,"Student-t",60,"RSA-CP Beta"
0.9675,9.32589626186296,"LogNormal",61,"SCP"
0.9665,9.1869108958041,"LogNormal",61,"RSA-CP Gamma"
0.9665,9.21907176745903,"LogNormal",61,"RSA-CP Normal"
0.9665,9.22954974669637,"LogNormal",61,"RSA-CP Beta"
0.985,9.41824314358173,"Student-t",61,"SCP"
0.9795,8.42571435797193,"Student-t",61,"RSA-CP Gamma"
0.9795,8.54242191100546,"Student-t",61,"RSA-CP Normal"
0.9805,8.61431895383851,"Student-t",61,"RSA-CP Beta"
0.9665,9.23933371450171,"LogNormal",62,"SCP"
0.9475,7.61833648536549,"LogNormal",62,"RSA-CP Gamma"
0.9475,7.60649472598945,"LogNormal",62,"RSA-CP Normal"
0.948,7.62715108817338,"LogNormal",62,"RSA-CP Beta"
0.9565,6.67637944846365,"Student-t",62,"SCP"
0.937,5.84061505739592,"Student-t",62,"RSA-CP Gamma"
0.935,5.79721269811312,"Student-t",62,"RSA-CP Normal"
0.9405,5.92799561894943,"Student-t",62,"RSA-CP Beta"
0.981,11.6415306838075,"LogNormal",63,"SCP"
0.962,8.84515964751223,"LogNormal",63,"RSA-CP Gamma"
0.959,8.64655396980058,"LogNormal",63,"RSA-CP Normal"
0.957,8.40602713659328,"LogNormal",63,"RSA-CP Beta"
0.9745,8.0698880404468,"Student-t",63,"SCP"
0.9615,6.86992003462785,"Student-t",63,"RSA-CP Gamma"
0.9635,7.09265963050728,"Student-t",63,"RSA-CP Normal"
0.962,6.98689812213659,"Student-t",63,"RSA-CP Beta"
0.953,8.01760687159156,"LogNormal",64,"SCP"
0.9515,7.89520458428724,"LogNormal",64,"RSA-CP Gamma"
0.9515,7.93143152791659,"LogNormal",64,"RSA-CP Normal"
0.9515,7.92426105932759,"LogNormal",64,"RSA-CP Beta"
0.9665,7.29534875512699,"Student-t",64,"SCP"
0.9605,6.77849415457663,"Student-t",64,"RSA-CP Gamma"
0.9615,6.84180650548567,"Student-t",64,"RSA-CP Normal"
0.9615,6.85023590625662,"Student-t",64,"RSA-CP Beta"
0.9625,8.85326198769971,"LogNormal",65,"SCP"
0.9615,8.80128629920777,"LogNormal",65,"RSA-CP Gamma"
0.9615,8.819937109819,"LogNormal",65,"RSA-CP Normal"
0.9615,8.80370445554775,"LogNormal",65,"RSA-CP Beta"
0.967,7.42532532177951,"Student-t",65,"SCP"
0.9565,6.63592507452205,"Student-t",65,"RSA-CP Gamma"
0.954,6.50177914060307,"Student-t",65,"RSA-CP Normal"
0.9565,6.67779879051967,"Student-t",65,"RSA-CP Beta"
0.9495,7.76469099168034,"LogNormal",66,"SCP"
0.9475,7.60886345521787,"LogNormal",66,"RSA-CP Gamma"
0.9475,7.60837070810712,"LogNormal",66,"RSA-CP Normal"
0.948,7.63819797923729,"LogNormal",66,"RSA-CP Beta"
0.953,6.48119575376218,"Student-t",66,"SCP"
0.927,5.53165368609766,"Student-t",66,"RSA-CP Gamma"
0.9305,5.6716464546108,"Student-t",66,"RSA-CP Normal"
0.9275,5.57273138557633,"Student-t",66,"RSA-CP Beta"
0.956,8.26121075078852,"LogNormal",67,"SCP"
0.953,8.01854831546262,"LogNormal",67,"RSA-CP Gamma"
0.953,7.99300135848264,"LogNormal",67,"RSA-CP Normal"
0.953,8.04654550257104,"LogNormal",67,"RSA-CP Beta"
0.9795,8.41430545729687,"Student-t",67,"SCP"
0.97,7.67811707529158,"Student-t",67,"RSA-CP Gamma"
0.97,7.65481971956967,"Student-t",67,"RSA-CP Normal"
0.9705,7.73563979724747,"Student-t",67,"RSA-CP Beta"
0.9515,7.9043816726818,"LogNormal",68,"SCP"
0.942,7.3595090410914,"LogNormal",68,"RSA-CP Gamma"
0.9435,7.40458864821981,"LogNormal",68,"RSA-CP Normal"
0.9405,7.33430673109935,"LogNormal",68,"RSA-CP Beta"
0.994,11.9015446353872,"Student-t",68,"SCP"
0.9865,10.0401573662867,"Student-t",68,"RSA-CP Gamma"
0.9855,9.73643091747678,"Student-t",68,"RSA-CP Normal"
0.986,9.89664758566055,"Student-t",68,"RSA-CP Beta"
0.9495,7.75417852960099,"LogNormal",69,"SCP"
0.942,7.37933939041198,"LogNormal",69,"RSA-CP Gamma"
0.942,7.36138273834321,"LogNormal",69,"RSA-CP Normal"
0.9435,7.40693188336641,"LogNormal",69,"RSA-CP Beta"
0.9625,7.05146145146369,"Student-t",69,"SCP"
0.9545,6.52431163444923,"Student-t",69,"RSA-CP Gamma"
0.9555,6.55720385649789,"Student-t",69,"RSA-CP Normal"
0.953,6.47225508061339,"Student-t",69,"RSA-CP Beta"
0.9675,9.35113692399605,"LogNormal",70,"SCP"
0.9545,8.16122261081226,"LogNormal",70,"RSA-CP Gamma"
0.9545,8.16258630066471,"LogNormal",70,"RSA-CP Normal"
0.9565,8.3197906371526,"LogNormal",70,"RSA-CP Beta"
0.9365,5.82359776932824,"Student-t",70,"SCP"
0.935,5.79515010061701,"Student-t",70,"RSA-CP Gamma"
0.935,5.80008868818082,"Student-t",70,"RSA-CP Normal"
0.935,5.79859700106388,"Student-t",70,"RSA-CP Beta"
0.9655,8.96842932502892,"LogNormal",71,"SCP"
0.965,8.93773871473865,"LogNormal",71,"RSA-CP Gamma"
0.9635,8.92306737646415,"LogNormal",71,"RSA-CP Normal"
0.9645,8.93098791523551,"LogNormal",71,"RSA-CP Beta"
0.8775,4.30640915670049,"Student-t",71,"SCP"
0.873,4.22845040681182,"Student-t",71,"RSA-CP Gamma"
0.872,4.21801960398296,"Student-t",71,"RSA-CP Normal"
0.873,4.23185614517787,"Student-t",71,"RSA-CP Beta"
0.902,6.41506565990528,"LogNormal",72,"SCP"
0.9015,6.39969174939856,"LogNormal",72,"RSA-CP Gamma"
0.901,6.39937092100876,"LogNormal",72,"RSA-CP Normal"
0.9015,6.40093112252187,"LogNormal",72,"RSA-CP Beta"
0.993,11.6892956088536,"Student-t",72,"SCP"
0.9825,8.83910390076585,"Student-t",72,"RSA-CP Gamma"
0.984,9.23776671140522,"Student-t",72,"RSA-CP Normal"
0.9835,9.14657363886075,"Student-t",72,"RSA-CP Beta"
0.979,10.5121537086819,"LogNormal",73,"SCP"
0.9665,8.99823395599579,"LogNormal",73,"RSA-CP Gamma"
0.9665,9.04945483586419,"LogNormal",73,"RSA-CP Normal"
0.9665,9.1556690945011,"LogNormal",73,"RSA-CP Beta"
0.9465,6.17104513563695,"Student-t",73,"SCP"
0.932,5.71007195858958,"Student-t",73,"RSA-CP Gamma"
0.9305,5.68137225911246,"Student-t",73,"RSA-CP Normal"
0.9325,5.71502205537811,"Student-t",73,"RSA-CP Beta"
0.9335,7.18896808818898,"LogNormal",74,"SCP"
0.928,7.0186782129481,"LogNormal",74,"RSA-CP Gamma"
0.928,7.04273893853638,"LogNormal",74,"RSA-CP Normal"
0.928,7.05912705113116,"LogNormal",74,"RSA-CP Beta"
0.8515,3.92730776915768,"Student-t",74,"SCP"
0.847,3.82132042103063,"Student-t",74,"RSA-CP Gamma"
0.848,3.82944916082942,"Student-t",74,"RSA-CP Normal"
0.848,3.82966384698402,"Student-t",74,"RSA-CP Beta"
0.953,8.02219854643721,"LogNormal",75,"SCP"
0.9345,7.217827927239,"LogNormal",75,"RSA-CP Gamma"
0.9365,7.26023654268598,"LogNormal",75,"RSA-CP Normal"
0.939,7.309553153648,"LogNormal",75,"RSA-CP Beta"
0.97,7.66286604387837,"Student-t",75,"SCP"
0.911,4.96451260500056,"Student-t",75,"RSA-CP Gamma"
0.926,5.46156691447915,"Student-t",75,"RSA-CP Normal"
0.9145,5.11023804863546,"Student-t",75,"RSA-CP Beta"
0.9575,8.49619158209627,"LogNormal",76,"SCP"
0.955,8.23322109703921,"LogNormal",76,"RSA-CP Gamma"
0.955,8.22136128854108,"LogNormal",76,"RSA-CP Normal"
0.955,8.24810248215725,"LogNormal",76,"RSA-CP Beta"
0.9835,9.10516305003584,"Student-t",76,"SCP"
0.9745,8.08231721450021,"Student-t",76,"RSA-CP Gamma"
0.976,8.22156364616449,"Student-t",76,"RSA-CP Normal"
0.9745,8.08753065743135,"Student-t",76,"RSA-CP Beta"
0.959,8.62164072600991,"LogNormal",77,"SCP"
0.9565,8.3105042404938,"LogNormal",77,"RSA-CP Gamma"
0.9565,8.33535988743591,"LogNormal",77,"RSA-CP Normal"
0.9565,8.33863674603516,"LogNormal",77,"RSA-CP Beta"
0.9815,8.65371931364398,"Student-t",77,"SCP"
0.9775,8.37560050624925,"Student-t",77,"RSA-CP Gamma"
0.9775,8.3440465918304,"Student-t",77,"RSA-CP Normal"
0.9785,8.38977588376683,"Student-t",77,"RSA-CP Beta"
0.9215,6.8954514537838,"LogNormal",78,"SCP"
0.918,6.84987497101001,"LogNormal",78,"RSA-CP Gamma"
0.9185,6.86566535132406,"LogNormal",78,"RSA-CP Normal"
0.9185,6.86565940954644,"LogNormal",78,"RSA-CP Beta"
0.9865,10.1076458737194,"Student-t",78,"SCP"
0.97,7.7069696668596,"Student-t",78,"RSA-CP Gamma"
0.97,7.68010854150533,"Student-t",78,"RSA-CP Normal"
0.9735,7.99451385473193,"Student-t",78,"RSA-CP Beta"
0.946,7.50159713326104,"LogNormal",79,"SCP"
0.9375,7.28505750101742,"LogNormal",79,"RSA-CP Gamma"
0.9365,7.26253220424967,"LogNormal",79,"RSA-CP Normal"
0.937,7.26702677513963,"LogNormal",79,"RSA-CP Beta"
0.927,5.53943305134625,"Student-t",79,"SCP"
0.9075,4.91180764371414,"Student-t",79,"RSA-CP Gamma"
0.912,5.01414544607254,"Student-t",79,"RSA-CP Normal"
0.912,4.99321598034388,"Student-t",79,"RSA-CP Beta"
0.928,7.04534569745939,"LogNormal",80,"SCP"
0.918,6.84798995974889,"LogNormal",80,"RSA-CP Gamma"
0.9185,6.86615441288672,"LogNormal",80,"RSA-CP Normal"
0.9195,6.87253499831577,"LogNormal",80,"RSA-CP Beta"
0.938,5.85672341502612,"Student-t",80,"SCP"
0.9315,5.70080282345022,"Student-t",80,"RSA-CP Gamma"
0.933,5.71746572328901,"Student-t",80,"RSA-CP Normal"
0.932,5.70979407726809,"Student-t",80,"RSA-CP Beta"
0.946,7.46348208597856,"LogNormal",81,"SCP"
0.942,7.36419802051822,"LogNormal",81,"RSA-CP Gamma"
0.942,7.36983706413509,"LogNormal",81,"RSA-CP Normal"
0.9425,7.38772123008868,"LogNormal",81,"RSA-CP Beta"
0.9545,6.52744754805585,"Student-t",81,"SCP"
0.946,6.14540843452497,"Student-t",81,"RSA-CP Gamma"
0.9465,6.18127918395871,"Student-t",81,"RSA-CP Normal"
0.946,6.15828759080371,"Student-t",81,"RSA-CP Beta"
0.9665,9.1254994971249,"LogNormal",82,"SCP"
0.9535,8.07662478738776,"LogNormal",82,"RSA-CP Gamma"
0.9535,8.07958875195626,"LogNormal",82,"RSA-CP Normal"
0.953,8.03838310795961,"LogNormal",82,"RSA-CP Beta"
0.8245,3.56293585639343,"Student-t",82,"SCP"
0.806,3.36587869176577,"Student-t",82,"RSA-CP Gamma"
0.8045,3.33056053874191,"Student-t",82,"RSA-CP Normal"
0.8045,3.32575523287889,"Student-t",82,"RSA-CP Beta"
0.953,7.98817545873825,"LogNormal",83,"SCP"
0.939,7.31833324303563,"LogNormal",83,"RSA-CP Gamma"
0.9435,7.40010192389812,"LogNormal",83,"RSA-CP Normal"
0.946,7.47639163445377,"LogNormal",83,"RSA-CP Beta"
0.945,6.02832846611106,"Student-t",83,"SCP"
0.912,5.02582852647389,"Student-t",83,"RSA-CP Gamma"
0.9065,4.90026475524942,"Student-t",83,"RSA-CP Normal"
0.916,5.1608933735226,"Student-t",83,"RSA-CP Beta"
0.946,7.51918255991841,"LogNormal",84,"SCP"
0.944,7.41691946926994,"LogNormal",84,"RSA-CP Gamma"
0.9435,7.40341411967221,"LogNormal",84,"RSA-CP Normal"
0.9435,7.4118404400846,"LogNormal",84,"RSA-CP Beta"
0.923,5.34112564502696,"Student-t",84,"SCP"
0.9065,4.88861336343745,"Student-t",84,"RSA-CP Gamma"
0.909,4.93211105735422,"Student-t",84,"RSA-CP Normal"
0.906,4.85827705948963,"Student-t",84,"RSA-CP Beta"
0.9665,9.16213110121623,"LogNormal",85,"SCP"
0.953,7.95317300109399,"LogNormal",85,"RSA-CP Gamma"
0.953,8.01661009474096,"LogNormal",85,"RSA-CP Normal"
0.953,7.95093215629733,"LogNormal",85,"RSA-CP Beta"
0.9885,10.5557166356425,"Student-t",85,"SCP"
0.9855,9.83420191209584,"Student-t",85,"RSA-CP Gamma"
0.9855,9.67391294792348,"Student-t",85,"RSA-CP Normal"
0.9855,9.67831431395268,"Student-t",85,"RSA-CP Beta"
0.9195,6.87125724938872,"LogNormal",86,"SCP"
0.9115,6.58971806743135,"LogNormal",86,"RSA-CP Gamma"
0.912,6.59531131898711,"LogNormal",86,"RSA-CP Normal"
0.911,6.5800027208191,"LogNormal",86,"RSA-CP Beta"
0.912,5.02435801935814,"Student-t",86,"SCP"
0.9085,4.91841286775842,"Student-t",86,"RSA-CP Gamma"
0.9075,4.91403160500091,"Student-t",86,"RSA-CP Normal"
0.9075,4.91242698039652,"Student-t",86,"RSA-CP Beta"
0.981,11.6308031871423,"LogNormal",87,"SCP"
0.981,11.5541671206329,"LogNormal",87,"RSA-CP Gamma"
0.981,11.530699466739,"LogNormal",87,"RSA-CP Normal"
0.981,11.5420269928067,"LogNormal",87,"RSA-CP Beta"
0.984,9.30094706221812,"Student-t",87,"SCP"
0.9745,8.18196704278857,"Student-t",87,"RSA-CP Gamma"
0.976,8.2038228812754,"Student-t",87,"RSA-CP Normal"
0.9745,8.1923186246773,"Student-t",87,"RSA-CP Beta"
0.988,13.5644284923601,"LogNormal",88,"SCP"
0.9795,11.0752041420226,"LogNormal",88,"RSA-CP Gamma"
0.98,11.1420674687727,"LogNormal",88,"RSA-CP Normal"
0.979,10.6124286269886,"LogNormal",88,"RSA-CP Beta"
0.964,7.09908293227837,"Student-t",88,"SCP"
0.95,6.31262376655375,"Student-t",88,"RSA-CP Gamma"
0.952,6.38185100644885,"Student-t",88,"RSA-CP Normal"
0.9495,6.29473692599569,"Student-t",88,"RSA-CP Beta"
0.9765,10.3431135331207,"LogNormal",89,"SCP"
0.9665,9.06441308501398,"LogNormal",89,"RSA-CP Gamma"
0.9665,9.21521129929611,"LogNormal",89,"RSA-CP Normal"
0.9665,9.23197856036849,"LogNormal",89,"RSA-CP Beta"
0.984,9.33830911134791,"Student-t",89,"SCP"
0.9815,8.67116674210967,"Student-t",89,"RSA-CP Gamma"
0.982,8.7235110782152,"Student-t",89,"RSA-CP Normal"
0.9825,8.79674868285822,"Student-t",89,"RSA-CP Beta"
0.9755,10.2828588852026,"LogNormal",90,"SCP"
0.975,10.2467763442786,"LogNormal",90,"RSA-CP Gamma"
0.975,10.2348769760908,"LogNormal",90,"RSA-CP Normal"
0.975,10.2673490207523,"LogNormal",90,"RSA-CP Beta"
0.934,5.72775117684137,"Student-t",90,"SCP"
0.906,4.84598520790714,"Student-t",90,"RSA-CP Gamma"
0.9065,4.8843301867046,"Student-t",90,"RSA-CP Normal"
0.909,4.93256261466292,"Student-t",90,"RSA-CP Beta"
0.9665,9.08129966838933,"LogNormal",91,"SCP"
0.9625,8.86037217052447,"LogNormal",91,"RSA-CP Gamma"
0.962,8.8452260301649,"LogNormal",91,"RSA-CP Normal"
0.9625,8.8507185921252,"LogNormal",91,"RSA-CP Beta"
0.9635,7.09267768534405,"Student-t",91,"SCP"
0.9575,6.69616031288511,"Student-t",91,"RSA-CP Gamma"
0.9565,6.67708027457819,"Student-t",91,"RSA-CP Normal"
0.9565,6.66756582530056,"Student-t",91,"RSA-CP Beta"
0.855,5.47055764879065,"LogNormal",92,"SCP"
0.851,5.4068399760508,"LogNormal",92,"RSA-CP Gamma"
0.852,5.42430810940118,"LogNormal",92,"RSA-CP Normal"
0.851,5.41390201602929,"LogNormal",92,"RSA-CP Beta"
0.9825,8.85141445724649,"Student-t",92,"SCP"
0.9805,8.61384270623021,"Student-t",92,"RSA-CP Gamma"
0.981,8.62258198096824,"Student-t",92,"RSA-CP Normal"
0.9805,8.61602662023047,"Student-t",92,"RSA-CP Beta"
0.9505,7.77334160198506,"LogNormal",93,"SCP"
0.9485,7.67800647597708,"LogNormal",93,"RSA-CP Gamma"
0.9485,7.6883914266252,"LogNormal",93,"RSA-CP Normal"
0.9485,7.68088334221562,"LogNormal",93,"RSA-CP Beta"
0.953,6.4628905537438,"Student-t",93,"SCP"
0.951,6.32789848450483,"Student-t",93,"RSA-CP Gamma"
0.951,6.345048091223,"Student-t",93,"RSA-CP Normal"
0.951,6.32428350257935,"Student-t",93,"RSA-CP Beta"
0.8995,6.38093220449422,"LogNormal",94,"SCP"
0.8945,6.2389837530638,"LogNormal",94,"RSA-CP Gamma"
0.8955,6.26163270817939,"LogNormal",94,"RSA-CP Normal"
0.8945,6.24650566895399,"LogNormal",94,"RSA-CP Beta"
0.966,7.24324389612268,"Student-t",94,"SCP"
0.9385,5.86909791708871,"Student-t",94,"RSA-CP Gamma"
0.943,5.9815926647215,"Student-t",94,"RSA-CP Normal"
0.946,6.08749703264115,"Student-t",94,"RSA-CP Beta"
0.981,11.410998383729,"LogNormal",95,"SCP"
0.979,10.8423639483511,"LogNormal",95,"RSA-CP Gamma"
0.979,10.9283895828867,"LogNormal",95,"RSA-CP Normal"
0.979,10.9283317578011,"LogNormal",95,"RSA-CP Beta"
0.9825,8.75986188189838,"Student-t",95,"SCP"
0.9625,7.05554986618191,"Student-t",95,"RSA-CP Gamma"
0.962,6.94027410361819,"Student-t",95,"RSA-CP Normal"
0.962,6.95287248963596,"Student-t",95,"RSA-CP Beta"
0.984,12.442221057015,"LogNormal",96,"SCP"
0.984,12.3074921342359,"LogNormal",96,"RSA-CP Gamma"
0.984,12.2872958601214,"LogNormal",96,"RSA-CP Normal"
0.984,12.2843263621979,"LogNormal",96,"RSA-CP Beta"
0.987,10.3559774938943,"Student-t",96,"SCP"
0.965,7.18219488576482,"Student-t",96,"RSA-CP Gamma"
0.97,7.69959673351788,"Student-t",96,"RSA-CP Normal"
0.9665,7.38537365728166,"Student-t",96,"RSA-CP Beta"
0.9665,9.23404368805866,"LogNormal",97,"SCP"
0.9615,8.78516609597635,"LogNormal",97,"RSA-CP Gamma"
0.9615,8.80847943616684,"LogNormal",97,"RSA-CP Normal"
0.963,8.8714246305244,"LogNormal",97,"RSA-CP Beta"
0.9555,6.5570357128688,"Student-t",97,"SCP"
0.9485,6.2194864306174,"Student-t",97,"RSA-CP Gamma"
0.9495,6.27348067824822,"Student-t",97,"RSA-CP Normal"
0.9495,6.28731392112018,"Student-t",97,"RSA-CP Beta"
0.9665,9.17821607822755,"LogNormal",98,"SCP"
0.957,8.34623048196548,"LogNormal",98,"RSA-CP Gamma"
0.9585,8.51746402521494,"LogNormal",98,"RSA-CP Normal"
0.957,8.42343722315191,"LogNormal",98,"RSA-CP Beta"
0.965,7.14638145657071,"Student-t",98,"SCP"
0.9645,7.10342648092604,"Student-t",98,"RSA-CP Gamma"
0.965,7.11212961744595,"Student-t",98,"RSA-CP Normal"
0.965,7.1117688320983,"Student-t",98,"RSA-CP Beta"
0.9605,8.76587862274836,"LogNormal",99,"SCP"
0.953,7.97370520398005,"LogNormal",99,"RSA-CP Gamma"
0.953,8.04849681786989,"LogNormal",99,"RSA-CP Normal"
0.9485,7.73399113751239,"LogNormal",99,"RSA-CP Beta"
0.9775,8.26549552739904,"Student-t",99,"SCP"
0.9555,6.55096897284316,"Student-t",99,"RSA-CP Gamma"
0.961,6.81162553308861,"Student-t",99,"RSA-CP Normal"
0.9565,6.6160085061671,"Student-t",99,"RSA-CP Beta"
0.9475,7.61314445020488,"LogNormal",100,"SCP"
0.928,7.0501482396365,"LogNormal",100,"RSA-CP Gamma"
0.928,7.03585950408831,"LogNormal",100,"RSA-CP Normal"
0.923,6.92858318665764,"LogNormal",100,"RSA-CP Beta"
0.8065,3.37434448301709,"Student-t",100,"SCP"
0.7875,3.20556946790654,"Student-t",100,"RSA-CP Gamma"
0.7875,3.20234265276538,"Student-t",100,"RSA-CP Normal"
0.791,3.22683063588045,"Student-t",100,"RSA-CP Beta"
