"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"RSA-CP (OT) (Ours)",0.8745,4.06584589445728,0,"Student-t",30,3000,30
"SPI",0.993,11.8251489159266,0.0400000000000063,"Student-t",30,3000,30
"Synthetic-only",0.993,11.7212684932827,0,"Student-t",30,3000,30
"SCP",0.9735,11.0278268085952,0,"LogNormal",31,3000,30
"RSA-CP (OT) (Ours)",0.973,11.002608321422,0,"LogNormal",31,3000,30
"SPI",0.9725,10.8485619539119,0.0499999999999972,"LogNormal",31,3000,30
"Synthetic-only",0.9525,8.99556687789969,0,"LogNormal",31,3000,30
"SCP",0.999,18.1686177793752,0,"Student-t",31,3000,30
"RSA-CP (OT) (Ours)",0.972,7.24821068729487,0,"Student-t",31,3000,30
"SPI",0.9945,12.446430352491,0.0300000000000011,"Student-t",31,3000,30
"Synthetic-only",0.9945,12.3051085553079,0,"Student-t",31,3000,30
"SCP",0.9875,13.6580501811773,0,"LogNormal",32,3000,30
"RSA-CP (OT) (Ours)",0.969,10.4421264480771,0,"LogNormal",32,3000,30
"SPI",0.9695,10.5943292448401,0.0400000000000063,"LogNormal",32,3000,30
"Synthetic-only",0.969,10.4794063798913,0.0100000000000051,"LogNormal",32,3000,30
"SCP",0.9895,10.010308184526,0,"Student-t",32,3000,30
"RSA-CP (OT) (Ours)",0.9855,9.0744966340061,0,"Student-t",32,3000,30
"SPI",0.9915,11.1581232023783,0.0499999999999972,"Student-t",32,3000,30
"Synthetic-only",0.9915,11.1201842351682,0,"Student-t",32,3000,30
"SCP",0.992,16.2388788038096,0,"LogNormal",33,3000,30
"RSA-CP (OT) (Ours)",0.9905,14.9253259089323,0,"LogNormal",33,3000,30
"SPI",0.9415,8.3037770061889,0.0499999999999972,"LogNormal",33,3000,30
"Synthetic-only",0.941,8.26506277625746,0.00999999999999091,"LogNormal",33,3000,30
"SCP",0.9885,9.85301865348929,0,"Student-t",33,3000,30
"RSA-CP (OT) (Ours)",0.9525,5.99693325370207,0,"Student-t",33,3000,30
"SPI",0.9945,12.2991784639844,0.0400000000000063,"Student-t",33,3000,30
"Synthetic-only",0.9945,12.2981980615478,0,"Student-t",33,3000,30
"SCP",0.9535,9.08982481406822,0,"LogNormal",34,3000,30
"RSA-CP (OT) (Ours)",0.9135,7.41423337242917,0.019999999999996,"LogNormal",34,3000,30
"SPI",0.9605,9.50651432888048,0.0300000000000011,"LogNormal",34,3000,30
"Synthetic-only",0.96,9.43980597053039,0,"LogNormal",34,3000,30
"SCP",0.9735,7.34029010291458,0,"Student-t",34,3000,30
"RSA-CP (OT) (Ours)",0.8595,3.7946366946467,0,"Student-t",34,3000,30
"SPI",0.9945,12.1090394017175,0.0499999999999972,"Student-t",34,3000,30
"Synthetic-only",0.9945,12.1052934635637,0,"Student-t",34,3000,30
"SCP",0.953,9.01310526403695,0,"LogNormal",35,3000,30
"RSA-CP (OT) (Ours)",0.915,7.44177903069202,0.0100000000000051,"LogNormal",35,3000,30
"SPI",0.9525,8.99190896527423,0.0299999999999869,"LogNormal",35,3000,30
"Synthetic-only",0.9525,8.97998582666601,0,"LogNormal",35,3000,30
"SCP",0.957,6.1595928193963,0,"Student-t",35,3000,30
"RSA-CP (OT) (Ours)",0.928,5.06614137675391,0,"Student-t",35,3000,30
"SPI",0.994,12.0841482364183,0.0500000000000114,"Student-t",35,3000,30
"Synthetic-only",0.994,11.9837228425251,0,"Student-t",35,3000,30
"SCP",0.991,15.332533051918,0,"LogNormal",36,3000,30
"RSA-CP (OT) (Ours)",0.976,11.5156474495148,0.019999999999996,"LogNormal",36,3000,30
"SPI",0.9675,10.2767699253295,0.0300000000000011,"LogNormal",36,3000,30
"Synthetic-only",0.967,10.1888225049767,0,"LogNormal",36,3000,30
"SCP",0.9945,12.2072984321037,0,"Student-t",36,3000,30
"RSA-CP (OT) (Ours)",0.9525,5.99693325370207,0.0100000000000051,"Student-t",36,3000,30
"SPI",0.9915,10.961314737977,0.0299999999999869,"Student-t",36,3000,30
"Synthetic-only",0.9915,10.9364281884274,0,"Student-t",36,3000,30
"SCP",0.989,13.842771837868,0,"LogNormal",37,3000,30
"RSA-CP (OT) (Ours)",0.96,9.43728335781663,0.0200000000000102,"LogNormal",37,3000,30
"SPI",0.9575,9.28548965222391,0.0300000000000011,"LogNormal",37,3000,30
"Synthetic-only",0.9535,9.08181808039939,0,"LogNormal",37,3000,30
"SCP",0.9975,13.7114615049048,0,"Student-t",37,3000,30
"RSA-CP (OT) (Ours)",0.9675,6.79776333441613,0.019999999999996,"Student-t",37,3000,30
"SPI",0.993,11.8252346745914,0.0300000000000011,"Student-t",37,3000,30
"Synthetic-only",0.9925,11.6896129849867,0,"Student-t",37,3000,30
"SCP",0.957,9.26451762337015,0,"LogNormal",38,3000,30
"RSA-CP (OT) (Ours)",0.9375,8.17256376835389,0.00999999999999091,"LogNormal",38,3000,30
"SPI",0.936,8.1409524485432,0.0300000000000011,"LogNormal",38,3000,30
"Synthetic-only",0.935,8.10778783569658,0,"LogNormal",38,3000,30
"SCP",0.987,9.21408965727489,0,"Student-t",38,3000,30
"RSA-CP (OT) (Ours)",0.9675,6.78722678325971,0.0200000000000102,"Student-t",38,3000,30
"SPI",0.9935,11.9031611012082,0.0300000000000011,"Student-t",38,3000,30
"Synthetic-only",0.9935,11.8458898378829,0,"Student-t",38,3000,30
"SCP",0.972,10.8090237335571,0,"LogNormal",39,3000,30
"RSA-CP (OT) (Ours)",0.894,6.82578310212426,0,"LogNormal",39,3000,30
"SPI",0.9895,14.3699324273686,0.039999999999992,"LogNormal",39,3000,30
"Synthetic-only",0.989,14.1599552947749,0,"LogNormal",39,3000,30
"SCP",0.971,7.10091578911566,0,"Student-t",39,3000,30
"RSA-CP (OT) (Ours)",0.967,6.74070971592076,0,"Student-t",39,3000,30
"SPI",0.9915,11.3247549313047,0.0400000000000063,"Student-t",39,3000,30
"Synthetic-only",0.9915,11.2822470190549,0,"Student-t",39,3000,30
"SCP",0.9835,12.685724009265,0,"LogNormal",40,3000,30
"RSA-CP (OT) (Ours)",0.9695,10.594247839324,0,"LogNormal",40,3000,30
"SPI",0.989,13.9373924917319,0.0499999999999972,"LogNormal",40,3000,30
"Synthetic-only",0.989,13.927939577135,0.019999999999996,"LogNormal",40,3000,30
"SCP",0.956,6.11803966145602,0,"Student-t",40,3000,30
"RSA-CP (OT) (Ours)",0.928,5.07136806782573,0,"Student-t",40,3000,30
"SPI",0.9945,12.256096616751,0.039999999999992,"Student-t",40,3000,30
"Synthetic-only",0.9945,12.2474680058819,0,"Student-t",40,3000,30
"SCP",0.843,5.77008806517928,0,"LogNormal",41,3000,30
"RSA-CP (OT) (Ours)",0.767,4.77892701447767,0.0200000000000102,"LogNormal",41,3000,30
"SPI",0.987,13.436067684275,0.0300000000000011,"LogNormal",41,3000,30
"Synthetic-only",0.9845,12.8662515693808,0,"LogNormal",41,3000,30
"SCP",0.9855,9.06347053252204,0,"Student-t",41,3000,30
"RSA-CP (OT) (Ours)",0.928,5.07590001452773,0,"Student-t",41,3000,30
"SPI",0.993,11.7793139151284,0.0499999999999972,"Student-t",41,3000,30
"Synthetic-only",0.993,11.7691670446791,0,"Student-t",41,3000,30
"SCP",0.9095,7.28207322942625,0,"LogNormal",42,3000,30
"RSA-CP (OT) (Ours)",0.891,6.7414602792814,0.00999999999999091,"LogNormal",42,3000,30
"SPI",0.983,12.6642585804216,0.0400000000000063,"LogNormal",42,3000,30
"Synthetic-only",0.983,12.6203583050157,0,"LogNormal",42,3000,30
"SCP",0.99,10.599255843295,0,"Student-t",42,3000,30
"RSA-CP (OT) (Ours)",0.979,7.82123611315181,0.0100000000000051,"Student-t",42,3000,30
"SPI",0.9945,12.1335948197851,0.0300000000000011,"Student-t",42,3000,30
"Synthetic-only",0.9935,11.8298625999459,0,"Student-t",42,3000,30
"SCP",0.9835,12.6905785071981,0,"LogNormal",43,3000,30
"RSA-CP (OT) (Ours)",0.9115,7.34478364015519,0,"LogNormal",43,3000,30
"SPI",0.989,13.7660266949336,0.0300000000000011,"LogNormal",43,3000,30
"Synthetic-only",0.989,13.7562441731227,0,"LogNormal",43,3000,30
"SCP",0.9645,6.64008143230578,0,"Student-t",43,3000,30
"RSA-CP (OT) (Ours)",0.9495,5.78592242132934,0,"Student-t",43,3000,30
"SPI",0.9915,11.4063565222657,0.0400000000000063,"Student-t",43,3000,30
"Synthetic-only",0.9915,11.3976036721094,0,"Student-t",43,3000,30
"SCP",0.9905,14.9859579968546,0,"LogNormal",44,3000,30
"RSA-CP (OT) (Ours)",0.9865,13.3756747390818,0,"LogNormal",44,3000,30
"SPI",0.948,8.59877597872741,0.0499999999999972,"LogNormal",44,3000,30
"Synthetic-only",0.924,7.73687718493187,0,"LogNormal",44,3000,30
"SCP",0.966,6.71253465137984,0,"Student-t",44,3000,30
"RSA-CP (OT) (Ours)",0.96,6.42107250687227,0,"Student-t",44,3000,30
"SPI",0.9915,10.9185965641718,0.0300000000000011,"Student-t",44,3000,30
"Synthetic-only",0.9915,10.9026174148028,0,"Student-t",44,3000,30
"SCP",0.9215,7.69090038324418,0,"LogNormal",45,3000,30
"RSA-CP (OT) (Ours)",0.9115,7.35017244476774,0,"LogNormal",45,3000,30
"SPI",0.976,11.4417078675195,0.0400000000000063,"LogNormal",45,3000,30
"Synthetic-only",0.9695,10.5625593046958,0,"LogNormal",45,3000,30
"SCP",0.9645,6.5694888330063,0,"Student-t",45,3000,30
"RSA-CP (OT) (Ours)",0.9585,6.31272814665595,0,"Student-t",45,3000,30
"SPI",0.992,11.5642715913599,0.0299999999999869,"Student-t",45,3000,30
"Synthetic-only",0.992,11.5590782211135,0,"Student-t",45,3000,30
"SCP",0.976,11.3818212595817,0,"LogNormal",46,3000,30
"RSA-CP (OT) (Ours)",0.9305,7.98940295940603,0,"LogNormal",46,3000,30
"SPI",0.9875,13.6135929171002,0.0499999999999972,"LogNormal",46,3000,30
"Synthetic-only",0.9845,13.0064803187226,0.00999999999999091,"LogNormal",46,3000,30
"SCP",0.9875,9.35651115637579,0,"Student-t",46,3000,30
"RSA-CP (OT) (Ours)",0.972,7.25210533005832,0,"Student-t",46,3000,30
"SPI",0.9945,12.242676843496,0.0300000000000011,"Student-t",46,3000,30
"Synthetic-only",0.9945,12.2279992110482,0,"Student-t",46,3000,30
"SCP",0.9275,7.85582105608003,0,"LogNormal",47,3000,30
"RSA-CP (OT) (Ours)",0.852,5.94432017360215,0,"LogNormal",47,3000,30
"SPI",0.963,9.79956647455862,0.0499999999999972,"LogNormal",47,3000,30
"Synthetic-only",0.9615,9.57594424021682,0,"LogNormal",47,3000,30
"SCP",0.9815,8.12925727166594,0,"Student-t",47,3000,30
"RSA-CP (OT) (Ours)",0.9675,6.87897433961617,0,"Student-t",47,3000,30
"SPI",0.992,11.5344555748921,0.0300000000000011,"Student-t",47,3000,30
"Synthetic-only",0.992,11.500872633057,0,"Student-t",47,3000,30
"SCP",0.9055,7.13600259356393,0,"LogNormal",48,3000,30
"RSA-CP (OT) (Ours)",0.868,6.1950938825912,0,"LogNormal",48,3000,30
"SPI",0.989,13.829427922355,0.039999999999992,"LogNormal",48,3000,30
"Synthetic-only",0.987,13.4838233208464,0,"LogNormal",48,3000,30
"SCP",0.958,6.28292008074302,0,"Student-t",48,3000,30
"RSA-CP (OT) (Ours)",0.928,5.04786866134198,0,"Student-t",48,3000,30
"SPI",0.993,11.7928944904486,0.0300000000000011,"Student-t",48,3000,30
"Synthetic-only",0.993,11.7646636078195,0,"Student-t",48,3000,30
"SCP",0.967,10.198896496667,0,"LogNormal",49,3000,30
"RSA-CP (OT) (Ours)",0.903,7.05661714199715,0,"LogNormal",49,3000,30
"SPI",0.9835,12.7867014051423,0.0499999999999972,"LogNormal",49,3000,30
"Synthetic-only",0.9835,12.7491167945808,0.019999999999996,"LogNormal",49,3000,30
"SCP",0.9875,9.78140162453682,0,"Student-t",49,3000,30
"RSA-CP (OT) (Ours)",0.9645,6.6063144064432,0,"Student-t",49,3000,30
"SPI",0.9945,12.6070563963106,0.039999999999992,"Student-t",49,3000,30
"Synthetic-only",0.9945,12.4767384689059,0,"Student-t",49,3000,30
"SCP",0.967,10.2162396200791,0,"LogNormal",50,3000,30
"RSA-CP (OT) (Ours)",0.9615,9.57874384454365,0.0200000000000102,"LogNormal",50,3000,30
"SPI",0.989,14.0736465627207,0.0300000000000011,"LogNormal",50,3000,30
"Synthetic-only",0.989,14.0546272577067,0,"LogNormal",50,3000,30
"SCP",1,22.7848884602846,0,"Student-t",50,3000,30
"RSA-CP (OT) (Ours)",0.9895,10.1762366726292,0,"Student-t",50,3000,30
"SPI",0.9945,12.0883988706593,0.0499999999999972,"Student-t",50,3000,30
"Synthetic-only",0.994,11.9689576235534,0.019999999999996,"Student-t",50,3000,30
"SCP",0.963,9.6927628717705,0,"LogNormal",51,3000,30
"RSA-CP (OT) (Ours)",0.9505,8.81042240393273,0.00999999999999091,"LogNormal",51,3000,30
"SPI",0.9505,8.77944843176402,0.0300000000000011,"LogNormal",51,3000,30
"Synthetic-only",0.9495,8.71923798978308,0,"LogNormal",51,3000,30
"SCP",0.9875,9.58698682620065,0,"Student-t",51,3000,30
"RSA-CP (OT) (Ours)",0.966,6.69886775515293,0,"Student-t",51,3000,30
"SPI",0.9935,11.8838839452439,0.0500000000000114,"Student-t",51,3000,30
"Synthetic-only",0.9935,11.8695109952999,0.0200000000000102,"Student-t",51,3000,30
"SCP",0.999,25.5445123515262,0,"LogNormal",52,3000,30
"RSA-CP (OT) (Ours)",0.856,6.00917155435593,0.019999999999996,"LogNormal",52,3000,30
"SPI",0.9875,13.6512366790507,0.0300000000000011,"LogNormal",52,3000,30
"Synthetic-only",0.9845,12.8714377708376,0,"LogNormal",52,3000,30
"SCP",0.9495,5.78260147720344,0,"Student-t",52,3000,30
"RSA-CP (OT) (Ours)",0.8855,4.27560907518966,0.00999999999999091,"Student-t",52,3000,30
"SPI",0.9915,11.1936121640371,0.0400000000000063,"Student-t",52,3000,30
"Synthetic-only",0.9915,11.1672972175844,0,"Student-t",52,3000,30
"SCP",0.945,8.47442609571316,0,"LogNormal",53,3000,30
"RSA-CP (OT) (Ours)",0.8805,6.44495727811887,0,"LogNormal",53,3000,30
"SPI",0.985,13.116588222123,0.0300000000000011,"LogNormal",53,3000,30
"Synthetic-only",0.9845,13.0238706524586,0,"LogNormal",53,3000,30
"SCP",0.98,7.85193799381926,0,"Student-t",53,3000,30
"RSA-CP (OT) (Ours)",0.928,5.08703582104482,0,"Student-t",53,3000,30
"SPI",0.994,12.0081611194558,0.0300000000000011,"Student-t",53,3000,30
"Synthetic-only",0.994,11.9898031058376,0,"Student-t",53,3000,30
"SCP",0.99,14.5101565084714,0,"LogNormal",54,3000,30
"RSA-CP (OT) (Ours)",0.982,12.4830723645645,0,"LogNormal",54,3000,30
"SPI",0.9865,13.3631988801105,0.0500000000000114,"LogNormal",54,3000,30
"Synthetic-only",0.9845,13.0079642240903,0,"LogNormal",54,3000,30
"SCP",0.9865,9.1181404487152,0,"Student-t",54,3000,30
"RSA-CP (OT) (Ours)",0.9495,5.80556618131404,0,"Student-t",54,3000,30
"SPI",0.9945,12.27823465871,0.0300000000000011,"Student-t",54,3000,30
"Synthetic-only",0.9945,12.1955298968311,0,"Student-t",54,3000,30
"SCP",0.973,10.9653763304171,0,"LogNormal",55,3000,30
"RSA-CP (OT) (Ours)",0.897,6.86094207115286,0,"LogNormal",55,3000,30
"SPI",0.973,11.0211639391096,0.0499999999999972,"LogNormal",55,3000,30
"Synthetic-only",0.9725,10.8456814245402,0.00999999999999091,"LogNormal",55,3000,30
"SCP",0.965,6.64271331687627,0,"Student-t",55,3000,30
"RSA-CP (OT) (Ours)",0.9585,6.28936336309021,0.0100000000000051,"Student-t",55,3000,30
"SPI",0.9915,11.3986625216828,0.0300000000000011,"Student-t",55,3000,30
"Synthetic-only",0.9915,11.3689060960876,0,"Student-t",55,3000,30
"SCP",0.932,8.04914747798468,0,"LogNormal",56,3000,30
"RSA-CP (OT) (Ours)",0.929,7.90747271410197,0.019999999999996,"LogNormal",56,3000,30
"SPI",0.976,11.5341568376094,0.0300000000000011,"LogNormal",56,3000,30
"Synthetic-only",0.976,11.5280658729776,0,"LogNormal",56,3000,30
"SCP",0.977,7.59650901334613,0,"Student-t",56,3000,30
"RSA-CP (OT) (Ours)",0.974,7.40393331328127,0.00999999999999091,"Student-t",56,3000,30
"SPI",0.9895,10.2787659476955,0.0400000000000063,"Student-t",56,3000,30
"Synthetic-only",0.9895,10.2722469488744,0,"Student-t",56,3000,30
"SCP",0.992,16.0923867150721,0.0100000000000051,"LogNormal",57,3000,30
"RSA-CP (OT) (Ours)",0.911,7.33025710531417,0,"LogNormal",57,3000,30
"SPI",0.9615,9.56388532328884,0.0300000000000011,"LogNormal",57,3000,30
"Synthetic-only",0.9605,9.50494842533135,0,"LogNormal",57,3000,30
"SCP",0.8375,3.54297104178227,0,"Student-t",57,3000,30
"RSA-CP (OT) (Ours)",0.821,3.34342134229828,0.019999999999996,"Student-t",57,3000,30
"SPI",0.991,10.8739785272708,0.0300000000000011,"Student-t",57,3000,30
"Synthetic-only",0.991,10.8532023216402,0,"Student-t",57,3000,30
"SCP",0.953,9.0398390954517,0,"LogNormal",58,3000,30
"RSA-CP (OT) (Ours)",0.951,8.84745926110419,0,"LogNormal",58,3000,30
"SPI",0.9815,12.218131442631,0.0300000000000011,"LogNormal",58,3000,30
"Synthetic-only",0.9755,11.3558664785418,0,"LogNormal",58,3000,30
"SCP",0.9515,5.9057136155693,0,"Student-t",58,3000,30
"RSA-CP (OT) (Ours)",0.888,4.31371143675798,0.0100000000000051,"Student-t",58,3000,30
"SPI",0.9915,11.2606335085672,0.0299999999999869,"Student-t",58,3000,30
"Synthetic-only",0.9915,11.2486793659092,0,"Student-t",58,3000,30
"SCP",0.893,6.80027049020752,0,"LogNormal",59,3000,30
"RSA-CP (OT) (Ours)",0.843,5.77146599449271,0,"LogNormal",59,3000,30
"SPI",0.9835,12.7394678000983,0.0300000000000011,"LogNormal",59,3000,30
"Synthetic-only",0.9825,12.5239408922825,0,"LogNormal",59,3000,30
"SCP",0.99,10.5946522953033,0,"Student-t",59,3000,30
"RSA-CP (OT) (Ours)",0.928,5.08703582104482,0.019999999999996,"Student-t",59,3000,30
"SPI",0.991,10.8669836435123,0.0300000000000011,"Student-t",59,3000,30
"Synthetic-only",0.991,10.8551628421047,0,"Student-t",59,3000,30
"SCP",0.9845,13.055399780725,0,"LogNormal",60,3000,30
"RSA-CP (OT) (Ours)",0.973,11.0168145163192,0,"LogNormal",60,3000,30
"SPI",0.954,9.13672435037234,0.0299999999999869,"LogNormal",60,3000,30
"Synthetic-only",0.9535,9.08118528423683,0,"LogNormal",60,3000,30
"SCP",0.9865,9.14534933113352,0,"Student-t",60,3000,30
"RSA-CP (OT) (Ours)",0.8715,4.0261860043091,0.0200000000000102,"Student-t",60,3000,30
"SPI",0.9945,12.4498419471434,0.0300000000000011,"Student-t",60,3000,30
"Synthetic-only",0.9945,12.4040566335303,0,"Student-t",60,3000,30
"SCP",0.964,9.86533875488334,0,"LogNormal",61,3000,30
"RSA-CP (OT) (Ours)",0.9495,8.70224621578815,0,"LogNormal",61,3000,30
"SPI",0.969,10.4515024701476,0.0300000000000011,"LogNormal",61,3000,30
"Synthetic-only",0.967,10.1866049523945,0,"LogNormal",61,3000,30
"SCP",0.999,18.4130622099736,0,"Student-t",61,3000,30
"RSA-CP (OT) (Ours)",0.976,7.52743049002966,0.00999999999999091,"Student-t",61,3000,30
"SPI",0.9915,11.2813666717316,0.0300000000000011,"Student-t",61,3000,30
"Synthetic-only",0.9915,11.2620847431594,0,"Student-t",61,3000,30
"SCP",0.9995,31.8663543357929,0,"LogNormal",62,3000,30
"RSA-CP (OT) (Ours)",0.96,9.44341411649619,0,"LogNormal",62,3000,30
"SPI",0.9485,8.63635365306102,0.0300000000000011,"LogNormal",62,3000,30
"Synthetic-only",0.948,8.6109128362288,0,"LogNormal",62,3000,30
"SCP",0.9905,10.7334538810924,0,"Student-t",62,3000,30
"RSA-CP (OT) (Ours)",0.9265,5.00338715717733,0.019999999999996,"Student-t",62,3000,30
"SPI",0.9905,10.8145856873611,0.0300000000000011,"Student-t",62,3000,30
"Synthetic-only",0.9905,10.7738442024778,0,"Student-t",62,3000,30
"SCP",0.9985,20.5335820414821,0,"LogNormal",63,3000,30
"RSA-CP (OT) (Ours)",0.9525,8.9526927026019,0,"LogNormal",63,3000,30
"SPI",0.967,10.2209363173605,0.0500000000000114,"LogNormal",63,3000,30
"Synthetic-only",0.9665,10.1232333884047,0,"LogNormal",63,3000,30
"SCP",0.919,4.79511277664628,0,"Student-t",63,3000,30
"RSA-CP (OT) (Ours)",0.8325,3.45978970663514,0,"Student-t",63,3000,30
"SPI",0.994,11.9832316941528,0.0499999999999972,"Student-t",63,3000,30
"Synthetic-only",0.994,11.9675099252574,0,"Student-t",63,3000,30
"SCP",0.964,9.86169544210738,0,"LogNormal",64,3000,30
"RSA-CP (OT) (Ours)",0.9605,9.51530504106601,0,"LogNormal",64,3000,30
"SPI",0.982,12.4794375715718,0.039999999999992,"LogNormal",64,3000,30
"Synthetic-only",0.9815,12.3695607481502,0.00999999999999091,"LogNormal",64,3000,30
"SCP",0.9645,6.61566466920314,0,"Student-t",64,3000,30
"RSA-CP (OT) (Ours)",0.886,4.2798156926481,0,"Student-t",64,3000,30
"SPI",0.9915,10.8891986502326,0.0500000000000114,"Student-t",64,3000,30
"Synthetic-only",0.991,10.8306630756579,0.0200000000000102,"Student-t",64,3000,30
"SCP",0.9,6.97665216447431,0,"LogNormal",65,3000,30
"RSA-CP (OT) (Ours)",0.8935,6.813034598334,0.019999999999996,"LogNormal",65,3000,30
"SPI",0.9775,11.7530845242931,0.0300000000000011,"LogNormal",65,3000,30
"Synthetic-only",0.9635,9.83868002549158,0,"LogNormal",65,3000,30
"SCP",0.975,7.48147581909673,0,"Student-t",65,3000,30
"RSA-CP (OT) (Ours)",0.974,7.39752267440201,0.00999999999999091,"Student-t",65,3000,30
"SPI",0.993,11.7834903492788,0.0400000000000063,"Student-t",65,3000,30
"Synthetic-only",0.993,11.7160892489437,0,"Student-t",65,3000,30
"SCP",0.96,9.47389663785461,0,"LogNormal",66,3000,30
"RSA-CP (OT) (Ours)",0.957,9.26318399401082,0.0100000000000051,"LogNormal",66,3000,30
"SPI",0.969,10.3978681723353,0.0300000000000011,"LogNormal",66,3000,30
"Synthetic-only",0.969,10.3541911282075,0,"LogNormal",66,3000,30
"SCP",0.9575,6.22462689145537,0,"Student-t",66,3000,30
"RSA-CP (OT) (Ours)",0.9105,4.6642409371699,0.019999999999996,"Student-t",66,3000,30
"SPI",0.9915,11.1956738987624,0.0300000000000011,"Student-t",66,3000,30
"Synthetic-only",0.9915,11.1865400041906,0,"Student-t",66,3000,30
"SCP",0.9905,14.9859579968546,0,"LogNormal",67,3000,30
"RSA-CP (OT) (Ours)",0.927,7.82124539960545,0.00999999999999091,"LogNormal",67,3000,30
"SPI",0.953,9.06504096935255,0.0400000000000063,"LogNormal",67,3000,30
"Synthetic-only",0.953,9.02728379549789,0,"LogNormal",67,3000,30
"SCP",0.9545,6.04821651714254,0,"Student-t",67,3000,30
"RSA-CP (OT) (Ours)",0.9405,5.47486527920627,0.0100000000000051,"Student-t",67,3000,30
"SPI",0.9915,11.2777109520767,0.0300000000000011,"Student-t",67,3000,30
"Synthetic-only",0.9915,11.2676525790991,0,"Student-t",67,3000,30
"SCP",0.82,5.42323230898953,0,"LogNormal",68,3000,30
"RSA-CP (OT) (Ours)",0.7085,4.18997040019429,0,"LogNormal",68,3000,30
"SPI",0.942,8.35406869751538,0.0300000000000011,"LogNormal",68,3000,30
"Synthetic-only",0.942,8.35372192890151,0,"LogNormal",68,3000,30
"SCP",0.9745,7.46675249599704,0,"Student-t",68,3000,30
"RSA-CP (OT) (Ours)",0.958,6.24608209873147,0,"Student-t",68,3000,30
"SPI",0.9925,11.6799276778492,0.0300000000000011,"Student-t",68,3000,30
"Synthetic-only",0.9925,11.6710830336718,0,"Student-t",68,3000,30
"SCP",0.962,9.64576297873341,0,"LogNormal",69,3000,30
"RSA-CP (OT) (Ours)",0.9415,8.34872791685859,0,"LogNormal",69,3000,30
"SPI",0.9695,10.5073434343544,0.0499999999999972,"LogNormal",69,3000,30
"Synthetic-only",0.9675,10.2715618178607,0,"LogNormal",69,3000,30
"SCP",0.99,10.6741593653124,0,"Student-t",69,3000,30
"RSA-CP (OT) (Ours)",0.952,5.91322050846986,0,"Student-t",69,3000,30
"SPI",0.9935,11.9039665061892,0.0300000000000011,"Student-t",69,3000,30
"Synthetic-only",0.9935,11.8935570249398,0,"Student-t",69,3000,30
"SCP",0.975,11.2529716417373,0,"LogNormal",70,3000,30
"RSA-CP (OT) (Ours)",0.93,7.97034812085031,0.0100000000000051,"LogNormal",70,3000,30
"SPI",0.978,11.8069283769706,0.0300000000000011,"LogNormal",70,3000,30
"Synthetic-only",0.9775,11.7252295924958,0,"LogNormal",70,3000,30
"SCP",0.95,5.81860775434818,0,"Student-t",70,3000,30
"RSA-CP (OT) (Ours)",0.945,5.62171182629334,0.019999999999996,"Student-t",70,3000,30
"SPI",0.994,11.9335326634529,0.0300000000000011,"Student-t",70,3000,30
"Synthetic-only",0.9935,11.8858256366645,0,"Student-t",70,3000,30
"SCP",0.989,14.0393143348484,0,"LogNormal",71,3000,30
"RSA-CP (OT) (Ours)",0.9575,9.2831036024281,0.019999999999996,"LogNormal",71,3000,30
"SPI",0.9415,8.29824749699107,0.0300000000000011,"LogNormal",71,3000,30
"Synthetic-only",0.941,8.28543271347847,0,"LogNormal",71,3000,30
"SCP",0.9895,10.4802837468387,0,"Student-t",71,3000,30
"RSA-CP (OT) (Ours)",0.9825,8.5596313852962,0.0100000000000051,"Student-t",71,3000,30
"SPI",0.9925,11.6524860539167,0.0299999999999869,"Student-t",71,3000,30
"Synthetic-only",0.992,11.5288731976347,0,"Student-t",71,3000,30
"SCP",0.9735,11.106461796569,0,"LogNormal",72,3000,30
"RSA-CP (OT) (Ours)",0.909,7.25564197970931,0,"LogNormal",72,3000,30
"SPI",0.982,12.3811357453379,0.0300000000000011,"LogNormal",72,3000,30
"Synthetic-only",0.9815,12.2746725788179,0,"LogNormal",72,3000,30
"SCP",0.9825,8.56980382422929,0,"Student-t",72,3000,30
"RSA-CP (OT) (Ours)",0.9815,8.06360297612423,0.019999999999996,"Student-t",72,3000,30
"SPI",0.9915,11.2261208242416,0.0300000000000011,"Student-t",72,3000,30
"Synthetic-only",0.9915,11.2097090643088,0,"Student-t",72,3000,30
"SCP",0.905,7.09165469420599,0,"LogNormal",73,3000,30
"RSA-CP (OT) (Ours)",0.8815,6.50510872819896,0,"LogNormal",73,3000,30
"SPI",0.9605,9.4821222958545,0.0299999999999869,"LogNormal",73,3000,30
"Synthetic-only",0.9595,9.36936806308635,0,"LogNormal",73,3000,30
"SCP",0.991,10.8684778014996,0,"Student-t",73,3000,30
"RSA-CP (OT) (Ours)",0.9495,5.78592242132934,0,"Student-t",73,3000,30
"SPI",0.9925,11.6239810425198,0.0899999999999892,"Student-t",73,3000,30
"Synthetic-only",0.992,11.5678534048287,0,"Student-t",73,3000,30
"SCP",0.8715,6.23480575994292,0,"LogNormal",74,3000,30
"RSA-CP (OT) (Ours)",0.8095,5.28734007409631,0.0200000000000102,"LogNormal",74,3000,30
"SPI",0.9545,9.1430333342584,0.0300000000000011,"LogNormal",74,3000,30
"Synthetic-only",0.954,9.13445170160477,0,"LogNormal",74,3000,30
"SCP",0.972,7.17441564714357,0,"Student-t",74,3000,30
